Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1996,S,ECED,336, ,98A,"HIST EARLY CHLD","",6,81.83,6.94,91,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1
UBC,1996,S,ECED,336, ,OVERALL,"HIST EARLY CHLD"," ",6,81.83,6.94,91,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1
UBC,1996,S,ECED,438, ,951,"OBSVTN & RECRDNG","",13,88.85,4.12,94,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5
UBC,1996,S,ECED,438, ,98A,"OBSVTN & RECRDNG","",6,88.17,3.06,94,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
UBC,1996,S,ECED,438, ,OVERALL,"OBSVTN & RECRDNG"," ",19,88.63,3.74,94,80,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,6
UBC,1996,S,ECED,585,B,951,"RES EARLY CHLDHD","",6,87.83,4.02,90,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
UBC,1996,S,ECED,585, ,OVERALL,"RES EARLY CHLDHD"," ",6,87.83,4.02,90,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
UBC,1996,S,ECED,599,A,941,"MASTER'S THESIS","",4,93,0,93,93,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UBC,1996,S,ECED,599, ,OVERALL,"MASTER'S THESIS"," ",4,93,0,93,93,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UBC,1996,S,ECED,599, ,OVERALL,"MASTER'S THESIS"," ",4,93,0,93,93,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
