Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1996,S,EPSE,301, ,951,"INTRO EDUC PSYC","",9,84.25,5.7,91,73,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1
UBC,1996,S,EPSE,301, ,98A,"INTRO EDUC PSYC","",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,S,EPSE,301, ,98B,"INTRO EDUC PSYC","",4,,,,,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,S,EPSE,301, ,GIS,"INTRO EDUC PSYC","",9,75.5,8.7,84,64,4,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0
UBC,1996,S,EPSE,301, ,OVERALL,"INTRO EDUC PSYC"," ",30,81.33,7.74,91,64,12,0,2,0,16,0,0,0,0,0,0,0,0,0,1,0,2,0,5,3,1
UBC,1996,S,EPSE,303, ,951,"INTR GIFT & CREA","",20,85.95,2.68,92,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,2
UBC,1996,S,EPSE,303, ,OVERALL,"INTR GIFT & CREA"," ",20,85.95,2.68,92,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,2
UBC,1996,S,EPSE,306, ,964,"EDUC ADOLESC YRS","",14,92.64,5.6,99,78,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11
UBC,1996,S,EPSE,306, ,OVERALL,"EDUC ADOLESC YRS"," ",14,92.64,5.6,99,78,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11
UBC,1996,S,EPSE,313, ,964,"EDUC APPL DEV TH","",18,92.39,3.47,98,86,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14
UBC,1996,S,EPSE,313, ,OVERALL,"EDUC APPL DEV TH"," ",18,92.39,3.47,98,86,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14
UBC,1996,S,EPSE,316, ,951,"SPECIFIC LRN DIS","",26,82.5,6.93,93,68,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,8,8,3
UBC,1996,S,EPSE,316, ,OVERALL,"SPECIFIC LRN DIS"," ",26,82.5,6.93,93,68,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,8,8,3
UBC,1996,S,EPSE,317, ,951,"DEV&EX REG CLASS","",10,87.8,3.22,92,82,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4
UBC,1996,S,EPSE,317, ,97A,"DEV&EX REG CLASS","",32,88.78,4.01,96,79,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,12,15
UBC,1996,S,EPSE,317, ,97B,"DEV&EX REG CLASS","",37,91.59,4.25,99,83,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,26
UBC,1996,S,EPSE,317, ,97C,"DEV&EX REG CLASS","",43,88.21,3.75,97,80,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,17
UBC,1996,S,EPSE,317, ,97D,"DEV&EX REG CLASS","",42,95.12,3.25,99,83,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40
UBC,1996,S,EPSE,317, ,97E,"DEV&EX REG CLASS","",21,87.48,5.59,94,74,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,9
UBC,1996,S,EPSE,317, ,97F,"DEV&EX REG CLASS","",23,93.74,1.86,98,91,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
UBC,1996,S,EPSE,317, ,OVERALL,"DEV&EX REG CLASS"," ",208,90.81,4.77,99,74,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,23,48,134
UBC,1996,S,EPSE,342, ,96A,"FIELD EXP IND AT","",15,90.73,3.99,95,81,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11
UBC,1996,S,EPSE,342, ,OVERALL,"FIELD EXP IND AT"," ",15,90.73,3.99,95,81,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11
UBC,1996,S,EPSE,390,A,921,"SELECTED TOPICS","",29,92.31,18.1,100,0,28,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,26
UBC,1996,S,EPSE,390,A,951,"SELECTED TOPICS","",9,93.63,4.24,97,84,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
UBC,1996,S,EPSE,390, ,OVERALL,"SELECTED TOPICS"," ",119,87.12,11.73,100,0,117,1,1,0,0,1,0,0,0,0,1,0,0,1,2,1,6,14,16,21,56
UBC,1996,S,EPSE,390,B,952,"SELECTED TOPICS","",5,92.6,3.97,96,86,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
UBC,1996,S,EPSE,390, ,OVERALL,"SELECTED TOPICS"," ",119,87.12,11.73,100,0,117,1,1,0,0,1,0,0,0,0,1,0,0,1,2,1,6,14,16,21,56
UBC,1996,S,EPSE,390,D,96D,"SELECTED TOPICS","",6,82.83,8.16,95,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1
