Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1996,S,MECH,549, ,941,"MAJOR ESSAY","",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,S,MECH,549, ,OVERALL,"MAJOR ESSAY"," ",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,S,MECH,551, ,941,"ADV MCH DSGN PRJ","",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,S,MECH,551, ,OVERALL,"ADV MCH DSGN PRJ"," ",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,S,MECH,552, ,941,"EL-MH SY DSGN PR","",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,S,MECH,552, ,OVERALL,"EL-MH SY DSGN PR"," ",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,S,MECH,599, ,OVERALL,"MASC THESIS"," ",34,83,7.55,92,72,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
UBC,1996,S,MECH,599,B,942,"MASC THESIS","",34,83,7.55,92,72,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
UBC,1996,S,MECH,599, ,OVERALL,"MASC THESIS"," ",34,83,7.55,92,72,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
UBC,1996,S,MECH,599, ,OVERALL,"MASC THESIS"," ",34,83,7.55,92,72,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
UBC,1996,S,MECH,699, ,941,"PHD THESIS","",28,,,,,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,S,MECH,699, ,OVERALL,"PHD THESIS"," ",28,,,,,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
