Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1996,S,MLED,393,B,951,"TCH FREN EL SCHL","",14,85.43,25.19,98,0,13,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,10
UBC,1996,S,MLED,393, ,OVERALL,"TCH FREN EL SCHL"," ",27,85.22,19.3,98,0,26,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,4,16
UBC,1996,S,MLED,393,C,952,"TCH FREN EL SCHL","",13,85,10.93,93,52,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,6
UBC,1996,S,MLED,393, ,OVERALL,"TCH FREN EL SCHL"," ",27,85.22,19.3,98,0,26,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,4,16
UBC,1996,S,MLED,480,A,93C,"ADV STUD LANG ED","",8,83.57,6.75,90,73,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1
UBC,1996,S,MLED,480,A,941,"ADV STUD LANG ED","",15,86.87,4.03,95,80,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4
UBC,1996,S,MLED,480, ,OVERALL,"ADV STUD LANG ED"," ",54,86.75,4.56,95,73,52,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,6,25,17
UBC,1996,S,MLED,480,B,971,"ADV STUD LANG ED","",17,88.31,3.46,93,79,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9
UBC,1996,S,MLED,480,B,972,"ADV STUD LANG ED","",14,86.43,4.55,93,76,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,3
UBC,1996,S,MLED,480, ,OVERALL,"ADV STUD LANG ED"," ",54,86.75,4.56,95,73,52,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,6,25,17
UBC,1996,S,MLED,508,B,951,"THRY/RES IN MLED","",9,88.67,2.6,92,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
UBC,1996,S,MLED,508, ,OVERALL,"THRY/RES IN MLED"," ",9,88.67,2.6,92,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
UBC,1996,S,MLED,565,B,951,"SP CRS SBJCT FLD","",5,88.8,3.9,95,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
UBC,1996,S,MLED,565, ,OVERALL,"SP CRS SBJCT FLD"," ",5,88.8,3.9,95,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
UBC,1996,S,MLED,599,C,941,"MASTER'S THESIS","",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,S,MLED,599, ,OVERALL,"MASTER'S THESIS"," ",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,S,MLED,599, ,OVERALL,"MASTER'S THESIS"," ",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
