Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1996,W,AGSC,100, ,001,"INTRO TO AGSC","",162,,,,,0,0,2,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,W,AGSC,100, ,OVERALL,"INTRO TO AGSC"," ",162,,,,,0,0,2,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,W,AGSC,200, ,001,"STWRDSH MNG LAND","",152,72.49,12.02,91,13,144,4,4,0,0,0,2,0,2,0,4,6,4,10,16,10,27,29,32,6,4
UBC,1996,W,AGSC,200, ,OVERALL,"STWRDSH MNG LAND"," ",155,72.49,12.02,91,13,144,4,7,0,0,0,2,0,2,0,4,6,4,10,16,10,27,29,32,6,4
UBC,1996,W,AGSC,210, ,001,"INTR FOOD PRD SY","",119,66.69,13.71,95,27,96,15,1,0,7,0,0,1,2,12,15,8,13,5,9,13,20,8,6,10,4
UBC,1996,W,AGSC,210, ,99A,"INTR FOOD PRD SY","",21,78.81,7.05,90,61,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,8,3,1
UBC,1996,W,AGSC,210, ,OVERALL,"INTR FOOD PRD SY"," ",141,68.62,13.6,95,27,117,15,2,0,7,0,0,1,2,12,15,8,13,7,9,13,24,11,14,13,5
UBC,1996,W,AGSC,213, ,001,"GENETICS IN AGRI","",49,66.27,13.09,91,30,42,2,3,0,2,0,0,0,2,0,2,4,6,7,5,6,3,4,3,3,1
UBC,1996,W,AGSC,213, ,OVERALL,"GENETICS IN AGRI"," ",51,66.27,13.09,91,30,42,2,5,0,2,0,0,0,2,0,2,4,6,7,5,6,3,4,3,3,1
UBC,1996,W,AGSC,220, ,001,"CRITICAL THINK'G","",49,76.57,12.11,89,4,48,1,0,0,0,1,0,0,0,0,1,1,0,0,0,5,6,12,20,4,0
UBC,1996,W,AGSC,220, ,002,"CRITICAL THINK'G","",50,76.46,8.62,95,57,50,0,0,0,0,0,0,0,0,0,0,0,3,2,1,5,12,9,9,6,3
UBC,1996,W,AGSC,220, ,OVERALL,"CRITICAL THINK'G"," ",99,76.52,10.44,95,4,98,1,0,0,0,1,0,0,0,0,1,1,3,2,1,10,18,21,29,10,3
UBC,1996,W,AGSC,300, ,001,"FIELD TRIP","",69,,,,,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,W,AGSC,300, ,OVERALL,"FIELD TRIP"," ",69,,,,,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1996,W,AGSC,320, ,001,"AGRICULT ETHICS","",39,74.55,7.02,87,59,38,0,1,0,0,0,0,0,0,0,0,0,1,1,5,6,10,4,7,4,0
UBC,1996,W,AGSC,320, ,002,"AGRICULT ETHICS","",30,76.67,7.98,92,50,30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,5,6,10,1,2
UBC,1996,W,AGSC,320, ,OVERALL,"AGRICULT ETHICS"," ",69,75.49,7.48,92,50,68,0,1,0,0,0,0,0,0,0,0,1,1,2,5,10,15,10,17,5,2
UBC,1996,W,AGSC,323, ,001,"PROF COMMUNICATN","",24,71.08,9.03,86,52,24,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,5,4,5,1,0
UBC,1996,W,AGSC,323, ,002,"PROF COMMUNICATN","",23,75.05,7.96,87,58,22,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,6,1,9,1,0
UBC,1996,W,AGSC,323, ,003,"PROF COMMUNICATN","",23,68.17,6.81,82,52,23,0,0,0,0,0,0,0,0,0,0,1,0,4,7,4,4,1,2,0,0
UBC,1996,W,AGSC,323, ,004,"PROF COMMUNICATN","",27,71.48,8.05,84,55,27,0,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,7,6,0,0
UBC,1996,W,AGSC,323, ,OVERALL,"PROF COMMUNICATN"," ",97,71.41,8.24,87,52,96,0,0,0,1,0,0,0,0,0,0,2,6,10,16,9,16,13,22,2,0
