Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1996,W,ARTE,303, ,001,"CERAM & MODLNG 1","",19,79,15.98,90,22,15,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,3,5,1
UBC,1996,W,ARTE,303, ,OVERALL,"CERAM & MODLNG 1"," ",19,79,15.98,90,22,15,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,3,5,1
UBC,1996,W,ARTE,305, ,001,"DESIGN 1","",13,77.69,20.24,92,16,12,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,4,4,2
UBC,1996,W,ARTE,305, ,OVERALL,"DESIGN 1"," ",13,77.69,20.24,92,16,12,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,4,4,2
UBC,1996,W,ARTE,314, ,301,"C & I ART SEC","",20,82.65,5.89,93,68,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,8,2
UBC,1996,W,ARTE,314, ,OVERALL,"C & I ART SEC"," ",20,82.65,5.89,93,68,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,8,2
UBC,1996,W,ARTE,320, ,101,"CRC&INS ART ELEM","",41,81,4.56,90,69,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,21,6,1
UBC,1996,W,ARTE,320, ,102,"CRC&INS ART ELEM","",44,81.73,4.76,93,68,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,20,10,1
UBC,1996,W,ARTE,320, ,103,"CRC&INS ART ELEM","",37,81.89,4.66,92,74,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,9,2
UBC,1996,W,ARTE,320, ,104,"CRC&INS ART ELEM","",35,78.8,5.07,86,67,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,10,15,3,0
UBC,1996,W,ARTE,320, ,107,"CRC&INS ART ELEM","",28,80.82,4.06,87,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,5,0
UBC,1996,W,ARTE,320, ,108,"CRC&INS ART ELEM","",23,81.39,5.76,90,65,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,6,8,1
UBC,1996,W,ARTE,320, ,201,"CRC&INS ART ELEM","",35,79.57,4.45,88,68,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,15,5,0
UBC,1996,W,ARTE,320, ,202,"CRC&INS ART ELEM","",36,79.5,8.27,95,61,36,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,5,10,7,3
UBC,1996,W,ARTE,320, ,203,"CRC&INS ART ELEM","",20,78.85,5.25,91,66,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,8,0,1
UBC,1996,W,ARTE,320, ,204,"CRC&INS ART ELEM","",37,82.54,7.65,95,63,37,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,7,9,10,6
UBC,1996,W,ARTE,320, ,640,"CRC&INS ART ELEM","",23,84.65,4.52,93,75,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,8,3
UBC,1996,W,ARTE,320, ,OVERALL,"CRC&INS ART ELEM"," ",359,80.96,5.7,95,61,359,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,31,78,140,71,18
UBC,1996,W,ARTE,321, ,001,"MICROCMPTR EDUC","",8,83,4.14,91,78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1
UBC,1996,W,ARTE,321, ,OVERALL,"MICROCMPTR EDUC"," ",11,80.09,14.29,91,39,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,4,2,2
UBC,1996,W,ARTE,401, ,001,"DRW&PAINT ART CL","",11,80,7.11,92,72,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,2
UBC,1996,W,ARTE,401, ,OVERALL,"DRW&PAINT ART CL"," ",11,80,7.11,92,72,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,2
UBC,1996,W,ARTE,402, ,301,"GRPH&PHTO CNT AR","",5,82.4,10.01,91,68,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2
UBC,1996,W,ARTE,402, ,OVERALL,"GRPH&PHTO CNT AR"," ",5,82.4,10.01,91,68,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2
UBC,1996,W,ARTE,403, ,001,"CRM&SCLPT ART CL","",12,79.92,7.53,84,58,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,8,0,0
UBC,1996,W,ARTE,403, ,301,"CRM&SCLPT ART CL","",6,81.4,3.36,85,78,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0
UBC,1996,W,ARTE,403, ,61A,"CRM&SCLPT ART CL","",13,89.77,7.37,98,71,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,9
UBC,1996,W,ARTE,403, ,OVERALL,"CRM&SCLPT ART CL"," ",31,84.43,8.27,98,58,30,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,4,10,4,9
UBC,1996,W,ARTE,404, ,301,"DSGN CNT FOR ART","",12,82.45,2.58,86,78,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0
UBC,1996,W,ARTE,404, ,OVERALL,"DSGN CNT FOR ART"," ",12,82.45,2.58,86,78,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0
UBC,1996,W,ARTE,508,B,091,"REV RES ARTE MTH","",6,88.33,1.37,90,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
UBC,1996,W,ARTE,508, ,OVERALL,"REV RES ARTE MTH"," ",6,88.33,1.37,90,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
UBC,1996,W,ARTE,580, ,OVERALL,"PROB IN EDUC"," ",4,90,4.08,95,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,1996,W,ARTE,580, ,OVERALL,"PROB IN EDUC"," ",4,90,4.08,95,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,1996,W,ARTE,580, ,OVERALL,"PROB IN EDUC"," ",4,90,4.08,95,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,1996,W,ARTE,599,C,091,"MASTER'S THESIS","",5,93,2.83,95,91,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
UBC,1996,W,ARTE,599, ,OVERALL,"MASTER'S THESIS"," ",8,89.33,6.66,95,82,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
