Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1996,W,JAPN,100, ,001,"INTEN BEGIN JAPN","",37,71.51,11.3,94,46,34,1,0,2,0,0,0,0,0,1,1,1,3,2,6,7,4,0,7,2,2
UBC,1996,W,JAPN,100, ,002,"INTEN BEGIN JAPN","",44,71.15,13.16,90,38,37,4,1,1,1,0,0,0,1,3,4,1,1,3,5,7,1,6,6,6,1
UBC,1996,W,JAPN,100, ,OVERALL,"INTEN BEGIN JAPN"," ",84,71.32,12.26,94,38,71,5,2,5,1,0,0,0,1,4,5,2,4,5,11,14,5,6,13,8,3
UBC,1996,W,JAPN,101, ,001,"INTEN BEGIN JAPN","",29,74.07,9.06,90,55,27,0,0,2,0,0,0,0,0,0,0,0,2,1,5,3,2,5,6,2,1
UBC,1996,W,JAPN,101, ,002,"INTEN BEGIN JAPN","",40,71.81,11.15,93,37,35,2,1,1,1,0,0,0,1,1,2,0,1,3,5,4,5,9,6,1,1
UBC,1996,W,JAPN,101, ,OVERALL,"INTEN BEGIN JAPN"," ",72,72.77,10.3,93,37,62,2,2,5,1,0,0,0,1,1,2,0,3,4,10,7,7,14,12,3,2
UBC,1996,W,JAPN,102, ,001,"BEGIN JAPANESE","",35,81.8,13.37,97,48,34,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,4,6,7,12
UBC,1996,W,JAPN,102, ,002,"BEGIN JAPANESE","",27,78.48,11.64,94,52,27,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,2,0,8,7,3
UBC,1996,W,JAPN,102, ,003,"BEGIN JAPANESE","",28,78.67,11.46,93,43,26,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,4,4,7,3,5
UBC,1996,W,JAPN,102, ,901,"BEGIN JAPANESE","",26,74.62,8.39,90,63,21,0,4,1,0,0,0,0,0,0,0,0,0,1,5,2,5,1,4,2,1
UBC,1996,W,JAPN,102, ,902,"BEGIN JAPANESE","",26,77.12,9.88,95,55,25,0,1,0,0,0,0,0,0,0,0,0,1,0,2,4,6,4,3,1,4
