Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1996,W,POLI,200, ,001,"GOVT CANADA","",119,71.42,7.71,86,50,118,0,1,0,0,0,0,0,0,0,0,3,4,9,20,25,20,17,18,2,0
UBC,1996,W,POLI,200, ,002,"GOVT CANADA","",82,70.38,12.57,91,27,73,4,2,0,3,0,0,1,1,2,4,5,5,8,8,8,7,12,10,9,1
UBC,1996,W,POLI,200, ,003,"GOVT CANADA","",109,71.9,7.97,86,45,104,1,1,0,3,0,0,0,0,1,1,4,2,7,10,21,24,18,17,1,0
UBC,1996,W,POLI,200, ,901,"GOVT CANADA","",37,70.14,5.43,80,55,37,0,0,0,0,0,0,0,0,0,0,0,1,2,9,8,12,4,1,0,0
UBC,1996,W,POLI,200, ,OVERALL,"GOVT CANADA"," ",351,71.19,8.93,91,27,332,5,8,0,6,0,0,1,1,3,5,12,12,26,47,62,63,51,46,12,1
UBC,1996,W,POLI,220, ,001,"INTR COMP POLTCS","",53,73.88,10.6,90,43,49,2,1,1,0,0,0,0,0,2,2,0,3,3,2,7,7,12,9,5,1
UBC,1996,W,POLI,220, ,002,"INTR COMP POLTCS","",95,71.09,11.71,92,23,89,3,2,0,1,0,0,1,0,2,3,3,7,6,6,18,13,12,14,9,1
UBC,1996,W,POLI,220, ,OVERALL,"INTR COMP POLTCS"," ",152,72.08,11.36,92,23,138,5,6,2,1,0,0,1,0,4,5,3,10,9,8,25,20,24,23,14,2
UBC,1996,W,POLI,240, ,001,"INT POLI THOUGHT","",59,69.58,8.84,85,46,56,1,1,0,1,0,0,0,0,1,1,4,0,7,12,9,8,9,6,1,0
UBC,1996,W,POLI,240, ,901,"INT POLI THOUGHT","",46,68.72,20.28,86,0,43,3,0,0,0,3,0,0,0,0,3,0,2,7,5,3,4,8,8,6,0
UBC,1996,W,POLI,240, ,OVERALL,"INT POLI THOUGHT"," ",106,69.19,14.98,86,0,99,4,2,0,1,3,0,0,0,1,4,4,2,14,17,12,12,17,14,7,0
UBC,1996,W,POLI,260, ,001,"INTERNATNL POLI","",136,69.29,10.63,93,32,127,6,2,0,1,0,0,0,3,3,6,5,4,16,25,21,21,12,15,4,4
