Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1996,W,READ,310, ,001,"INT ELE R&LA INS","",23,82.83,5.58,90,65,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,12,6,2
UBC,1996,W,READ,310, ,002,"INT ELE R&LA INS","",25,74.4,13.9,91,45,24,1,0,0,0,0,0,0,0,1,1,4,0,0,2,1,2,2,6,6,1
UBC,1996,W,READ,310, ,003,"INT ELE R&LA INS","",24,79.92,9.82,90,42,23,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,10,5,2
UBC,1996,W,READ,310, ,004,"INT ELE R&LA INS","",25,79.56,4.83,88,68,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,10,5,0
UBC,1996,W,READ,310, ,005,"INT ELE R&LA INS","",26,78.12,6.55,90,59,25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,6,10,2,1
UBC,1996,W,READ,310, ,006,"INT ELE R&LA INS","",26,79.23,5.64,89,68,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,5,6,0
UBC,1996,W,READ,310, ,007,"INT ELE R&LA INS","",17,84.65,4.49,90,75,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,6,2
UBC,1996,W,READ,310, ,008,"INT ELE R&LA INS","",24,82.42,7.77,93,61,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,3,8,4
UBC,1996,W,READ,310, ,009,"INT ELE R&LA INS","",24,79.71,3.8,92,75,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,9,1,1
UBC,1996,W,READ,310, ,010,"INT ELE R&LA INS","",30,76.87,3.15,84,72,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,8,0,0
UBC,1996,W,READ,310, ,012,"INT ELE R&LA INS","",17,83.24,5.15,91,75,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,3
UBC,1996,W,READ,310, ,103,"INT ELE R&LA INS","",37,78.78,5.88,90,67,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,6,10,8,1
UBC,1996,W,READ,310, ,104,"INT ELE R&LA INS","",35,80.43,5.16,89,68,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,18,7,0
UBC,1996,W,READ,310, ,105,"INT ELE R&LA INS","",23,79.61,4.7,90,72,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,2,1
UBC,1996,W,READ,310, ,106,"INT ELE R&LA INS","",34,75.65,4.24,84,64,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,10,8,0,0
UBC,1996,W,READ,310, ,640,"INT ELE R&LA INS","",33,82.73,5.15,92,69,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,10,14,2
UBC,1996,W,READ,310, ,OVERALL,"INT ELE R&LA INS"," ",423,79.62,6.84,93,42,420,2,0,0,1,0,0,0,0,2,2,4,1,1,5,21,66,83,138,81,20
UBC,1996,W,READ,320, ,101,"C&I READING ELEM","",44,77.41,5.89,93,66,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,15,7,2,3
UBC,1996,W,READ,320, ,102,"C&I READING ELEM","",42,80.86,3.22,86,74,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,20,8,0
UBC,1996,W,READ,320, ,103,"C&I READING ELEM","",36,81.31,5.74,93,70,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,4,10,4
UBC,1996,W,READ,320, ,104,"C&I READING ELEM","",37,82.24,4.17,90,74,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,18,8,3
UBC,1996,W,READ,320, ,105,"C&I READING ELEM","",23,83.39,5.54,95,73,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,9,2
UBC,1996,W,READ,320, ,107,"C&I READING ELEM","",48,80.98,4.55,88,73,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,16,15,0
UBC,1996,W,READ,320, ,201,"C&I READING ELEM","",36,78.44,5.18,90,66,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,12,14,1,1
UBC,1996,W,READ,320, ,202,"C&I READING ELEM","",35,79.57,3.35,90,73,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,21,0,1
UBC,1996,W,READ,320, ,203,"C&I READING ELEM","",21,77.52,6.88,88,58,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,7,7,3,0
UBC,1996,W,READ,320, ,204,"C&I READING ELEM","",36,78.11,6.55,87,52,36,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,9,17,2,0
UBC,1996,W,READ,320, ,640,"C&I READING ELEM","",23,85.74,5.79,94,74,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,8,7
UBC,1996,W,READ,320, ,OVERALL,"C&I READING ELEM"," ",381,80.31,5.57,95,52,381,0,0,0,0,0,0,0,0,0,0,1,1,0,7,8,42,103,132,66,21
UBC,1996,W,READ,391, ,99A,"THRY&PRA READ IN","",17,84.24,1.99,88,80,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0
