Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1997,S,COMM,335, ,921,"INFO SYS MNGT","",44,78.16,5.12,88,67,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,14,12,6,0
UBC,1997,S,COMM,335, ,922,"INFO SYS MNGT","",41,74.85,11.07,92,46,38,1,2,0,0,0,0,0,0,1,1,1,1,3,4,3,7,3,7,6,3
UBC,1997,S,COMM,335, ,OVERALL,"INFO SYS MNGT"," ",85,76.6,8.56,92,46,82,1,2,0,0,0,0,0,0,1,1,1,1,3,5,8,13,17,19,12,3
UBC,1997,S,COMM,380, ,94A,"CO-OP WRK PL I","",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1997,S,COMM,380, ,OVERALL,"CO-OP WRK PL I"," ",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1997,S,COMM,391, ,921,"MNGMNT INFO SYS","",40,79.9,6.75,91,62,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,7,11,9,3
UBC,1997,S,COMM,391, ,922,"MNGMNT INFO SYS","",39,76.84,6.45,91,64,38,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7,8,6,11,3,1
UBC,1997,S,COMM,391, ,923,"MNGMNT INFO SYS","",38,77.11,7.99,90,61,38,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,5,4,8,9,1
UBC,1997,S,COMM,391, ,OVERALL,"MNGMNT INFO SYS"," ",117,77.98,7.17,91,61,116,0,0,0,1,0,0,0,0,0,0,0,0,3,3,18,19,17,30,21,5
UBC,1997,S,COMM,392, ,921,"LABOUR RELATIONS","",35,76.56,5.96,93,63,34,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,9,7,9,2,1
UBC,1997,S,COMM,392, ,OVERALL,"LABOUR RELATIONS"," ",35,76.56,5.96,93,63,34,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,9,7,9,2,1
UBC,1997,S,COMM,394, ,921,"GOVT & BUSINESS","",46,70.48,7.57,84,56,46,0,0,0,0,0,0,0,0,0,0,0,5,2,9,11,6,6,7,0,0
UBC,1997,S,COMM,394, ,OVERALL,"GOVT & BUSINESS"," ",46,70.48,7.57,84,56,46,0,0,0,0,0,0,0,0,0,0,0,5,2,9,11,6,6,7,0,0
UBC,1997,S,COMM,397, ,951,"BUSINESS FINANCE","",29,74.21,7.86,93,61,28,0,0,1,0,0,0,0,0,0,0,0,0,2,5,4,6,4,5,1,1
UBC,1997,S,COMM,397, ,OVERALL,"BUSINESS FINANCE"," ",29,74.21,7.86,93,61,28,0,0,1,0,0,0,0,0,0,0,0,0,2,5,4,6,4,5,1,1
UBC,1997,S,COMM,547, ,941,"MBA MAJOR ESSAY","",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1997,S,COMM,547, ,OVERALL,"MBA MAJOR ESSAY"," ",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1997,S,COMM,549,A,941,"MASTERS THESIS","",6,90,0,90,90,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UBC,1997,S,COMM,549, ,OVERALL,"MASTERS THESIS"," ",7,91,1.41,92,90,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
UBC,1997,S,COMM,549, ,OVERALL,"MASTERS THESIS"," ",7,91,1.41,92,90,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
UBC,1997,S,COMM,598, ,921,"INTL BUS ENVT","",17,81.56,5.29,90,72,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,3,1
UBC,1997,S,COMM,598, ,OVERALL,"INTL BUS ENVT"," ",17,81.56,5.29,90,72,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,3,1
UBC,1997,S,COMM,649, ,941,"PHD THESIS","",40,,,,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1997,S,COMM,649, ,OVERALL,"PHD THESIS"," ",40,,,,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
