Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1997,S,LANE,335, ,921,"DRAMA IN EDUC","",16,84.88,2.13,90,82,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1
UBC,1997,S,LANE,335, ,951,"DRAMA IN EDUC","",21,86.76,3.58,95,80,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,4
UBC,1997,S,LANE,335, ,952,"DRAMA IN EDUC","",22,88.32,3.87,95,83,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,6
UBC,1997,S,LANE,335, ,OVERALL,"DRAMA IN EDUC"," ",59,86.83,3.59,95,80,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36,11
UBC,1997,S,LANE,338, ,951,"TEACH WRIT COMP","",28,85.54,5.69,95,75,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,9,9
UBC,1997,S,LANE,338, ,OVERALL,"TEACH WRIT COMP"," ",28,85.54,5.69,95,75,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,9,9
UBC,1997,S,LANE,340, ,951,"CNDN LIT IN CLSR","",26,84.77,3.87,93,77,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,4
UBC,1997,S,LANE,340, ,OVERALL,"CNDN LIT IN CLSR"," ",26,84.77,3.87,93,77,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,4
UBC,1997,S,LANE,341, ,921,"TEACH CHILD LIT","",27,86.78,6.1,95,70,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,11,10
UBC,1997,S,LANE,341, ,OVERALL,"TEACH CHILD LIT"," ",27,86.78,6.1,95,70,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,11,10
UBC,1997,S,LANE,345, ,951,"POETRY IN EDUC","",30,85.6,6.38,96,67,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,9,8,9
UBC,1997,S,LANE,345, ,OVERALL,"POETRY IN EDUC"," ",30,85.6,6.38,96,67,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,9,8,9
UBC,1997,S,LANE,349, ,951,"TCH LIT ADLSCNT1","",41,84.34,3.59,90,76,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,23,3
UBC,1997,S,LANE,349, ,OVERALL,"TCH LIT ADLSCNT1"," ",41,84.34,3.59,90,76,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,23,3
UBC,1997,S,LANE,379, ,921,"ED IMMGRNT STDNT","",29,83.29,5.05,93,75,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,8,4
UBC,1997,S,LANE,379, ,951,"ED IMMGRNT STDNT","",20,82.37,5.8,91,69,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,9,1
UBC,1997,S,LANE,379, ,OVERALL,"ED IMMGRNT STDNT"," ",49,82.91,5.33,93,69,47,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,8,13,17,5
UBC,1997,S,LANE,382, ,951,"SCHL LIB RES CTR","",20,86.8,4.32,95,77,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,5
UBC,1997,S,LANE,382, ,OVERALL,"SCHL LIB RES CTR"," ",20,86.8,4.32,95,77,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,5
UBC,1997,S,LANE,389, ,93Q,"RES-BASED TEACHG","",9,78,11.24,86,53,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,4,0
UBC,1997,S,LANE,389, ,OVERALL,"RES-BASED TEACHG"," ",9,78,11.24,86,53,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,4,0
UBC,1997,S,LANE,426, ,940,"LANG CIRCLM SEC","",25,77.4,5.2,91,69,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,8,1,1
UBC,1997,S,LANE,426, ,941,"LANG CIRCLM SEC","",42,82.74,3.01,88,72,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,30,9,0
UBC,1997,S,LANE,426, ,942,"LANG CIRCLM SEC","",42,80.02,4.81,90,65,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,11,17,7,1
UBC,1997,S,LANE,426, ,943,"LANG CIRCLM SEC","",39,82.59,4.54,90,69,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,17,15,1
UBC,1997,S,LANE,426, ,944,"LANG CIRCLM SEC","",40,76.8,8.68,90,44,39,1,0,0,0,0,0,0,0,1,1,0,0,2,2,2,9,6,10,6,2
UBC,1997,S,LANE,426, ,945,"LANG CIRCLM SEC","",35,80.37,4.22,89,72,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,15,6,0
UBC,1997,S,LANE,426, ,946,"LANG CIRCLM SEC","",40,80.48,4.91,90,70,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,21,6,2
UBC,1997,S,LANE,426, ,947,"LANG CIRCLM SEC","",41,81.34,4.16,92,70,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,18,8,1
UBC,1997,S,LANE,426, ,948,"LANG CIRCLM SEC","",42,83.43,5.21,90,70,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,20,5
