Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1997,W,FMSC,200, ,001,"INTROD TO FMSC","",109,72.42,11.05,94,50,103,0,5,0,1,0,0,0,0,0,0,6,8,5,13,17,11,10,15,11,7
UBC,1997,W,FMSC,200, ,002,"INTROD TO FMSC","",117,72.65,11.48,97,42,113,2,0,0,2,0,0,0,0,2,2,5,9,9,12,16,17,9,16,12,8
UBC,1997,W,FMSC,200, ,901,"INTROD TO FMSC","",78,69.94,10.59,88,40,75,2,0,0,1,0,0,0,0,2,2,5,7,3,14,8,8,16,9,5,0
UBC,1997,W,FMSC,200, ,902,"INTROD TO FMSC","",84,72.66,9.39,91,36,82,1,1,0,0,0,0,0,1,0,1,1,2,8,14,11,12,16,8,8,2
UBC,1997,W,FMSC,200, ,OVERALL,"INTROD TO FMSC"," ",388,72.04,10.76,97,36,373,5,6,0,4,0,0,0,1,4,5,17,26,25,53,52,48,51,48,36,17
UBC,1997,W,FMSC,312, ,001,"PARENT-CHILD REL","",118,74.77,8.21,96,51,117,0,0,0,1,0,0,0,0,0,0,1,1,8,17,12,22,16,26,11,3
UBC,1997,W,FMSC,312, ,901,"PARENT-CHILD REL","",70,69.75,7.15,83,51,69,0,1,0,0,0,0,0,0,0,0,3,1,11,7,19,13,8,7,0,0
UBC,1997,W,FMSC,312, ,OVERALL,"PARENT-CHILD REL"," ",188,72.91,8.18,96,51,186,0,1,0,1,0,0,0,0,0,0,4,2,19,24,31,35,24,33,11,3
UBC,1997,W,FMSC,314, ,001,"DEV OF RELATIONS","",93,71.23,12.84,94,35,91,1,1,0,0,0,0,0,1,0,1,9,12,8,6,8,8,14,11,8,7
UBC,1997,W,FMSC,314, ,OVERALL,"DEV OF RELATIONS"," ",93,71.23,12.84,94,35,91,1,1,0,0,0,0,0,1,0,1,9,12,8,6,8,8,14,11,8,7
UBC,1997,W,FMSC,320, ,001,"CONT N AMER FAM","",113,72.04,9.35,93,46,111,1,0,0,1,0,0,0,0,1,1,2,6,9,17,22,18,6,21,7,3
UBC,1997,W,FMSC,320, ,OVERALL,"CONT N AMER FAM"," ",113,72.04,9.35,93,46,111,1,0,0,1,0,0,0,0,1,1,2,6,9,17,22,18,6,21,7,3
UBC,1997,W,FMSC,322, ,001,"MARITAL&FAM INTR","",69,75.84,8.27,96,54,62,0,3,0,4,0,0,0,0,0,0,1,1,2,8,5,10,13,16,4,2
UBC,1997,W,FMSC,322, ,OVERALL,"MARITAL&FAM INTR"," ",72,75.84,8.27,96,54,62,0,6,0,4,0,0,0,0,0,0,1,1,2,8,5,10,13,16,4,2
UBC,1997,W,FMSC,324, ,001,"DEV FAM CAREERS","",120,70.65,8.58,89,53,119,0,1,0,0,0,0,0,0,0,0,4,13,9,14,21,19,18,16,5,0
UBC,1997,W,FMSC,324, ,OVERALL,"DEV FAM CAREERS"," ",120,70.65,8.58,89,53,119,0,1,0,0,0,0,0,0,0,0,4,13,9,14,21,19,18,16,5,0
UBC,1997,W,FMSC,338, ,001,"FAM RESRC MNGMT","",114,71.61,9.48,96,51,114,0,0,0,0,0,0,0,0,0,0,3,11,11,15,18,15,12,20,7,2
UBC,1997,W,FMSC,338, ,OVERALL,"FAM RESRC MNGMT"," ",114,71.61,9.48,96,51,114,0,0,0,0,0,0,0,0,0,0,3,11,11,15,18,15,12,20,7,2
UBC,1997,W,FMSC,340, ,001,"FAM FINANC MNGMT","",119,71.21,9.78,92,50,118,0,1,0,0,0,0,0,0,0,0,6,10,13,13,18,13,14,24,6,1
UBC,1997,W,FMSC,340, ,OVERALL,"FAM FINANC MNGMT"," ",119,71.21,9.78,92,50,118,0,1,0,0,0,0,0,0,0,0,6,10,13,13,18,13,14,24,6,1
UBC,1997,W,FMSC,414, ,001,"AGING & FAMILY","",37,77.49,10.93,96,40,36,1,0,0,0,0,0,0,0,1,1,0,0,2,3,4,4,6,5,8,4
UBC,1997,W,FMSC,414, ,OVERALL,"AGING & FAMILY"," ",37,77.49,10.93,96,40,36,1,0,0,0,0,0,0,0,1,1,0,0,2,3,4,4,6,5,8,4
UBC,1997,W,FMSC,420, ,001,"THEOR FAM ANLY","",48,75.55,10.83,90,52,47,0,1,0,0,0,0,0,0,0,0,1,2,8,1,1,4,7,11,11,1
UBC,1997,W,FMSC,420, ,OVERALL,"THEOR FAM ANLY"," ",48,75.55,10.83,90,52,47,0,1,0,0,0,0,0,0,0,0,1,2,8,1,1,4,7,11,11,1
UBC,1997,W,FMSC,422, ,001,"FAMILY RESEARCH","",19,68.26,9.24,83,50,19,0,0,0,0,0,0,0,0,0,0,2,2,0,3,6,2,1,3,0,0
UBC,1997,W,FMSC,422, ,OVERALL,"FAMILY RESEARCH"," ",19,68.26,9.24,83,50,19,0,0,0,0,0,0,0,0,0,0,2,2,0,3,6,2,1,3,0,0
UBC,1997,W,FMSC,440, ,001,"FAM CANADA ECON","",46,75.6,8.46,91,55,45,0,1,0,0,0,0,0,0,0,0,0,3,2,2,4,7,9,15,2,1
UBC,1997,W,FMSC,440, ,OVERALL,"FAM CANADA ECON"," ",46,75.6,8.46,91,55,45,0,1,0,0,0,0,0,0,0,0,0,3,2,2,4,7,9,15,2,1
