Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1997,W,HMEC,100, ,001,"INTRO TO HOME EC","",40,77.43,8.72,94,58,40,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,4,4,9,6,4
UBC,1997,W,HMEC,100, ,OVERALL,"INTRO TO HOME EC"," ",40,77.43,8.72,94,58,40,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,4,4,9,6,4
UBC,1997,W,HMEC,300, ,001,"ELEMENTS PROF PR","",45,83.27,6.21,93,68,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,12,13,7
UBC,1997,W,HMEC,300, ,OVERALL,"ELEMENTS PROF PR"," ",45,83.27,6.21,93,68,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,12,13,7
UBC,1997,W,HMEC,352, ,001,"INT TEXTILE SCIE","",27,77.52,9.62,95,62,27,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,4,5,2,5
UBC,1997,W,HMEC,352, ,OVERALL,"INT TEXTILE SCIE"," ",27,77.52,9.62,95,62,27,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,4,5,2,5
UBC,1997,W,HMEC,354, ,001,"APP ANLY & ASBLY","",15,75.6,9.85,95,63,15,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,4,2,0,2
UBC,1997,W,HMEC,354, ,OVERALL,"APP ANLY & ASBLY"," ",15,75.6,9.85,95,63,15,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,4,2,0,2
UBC,1997,W,HMEC,356, ,901,"CONSM ASP CLOTHG","",24,85.38,5.09,97,72,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,10,4
UBC,1997,W,HMEC,356, ,OVERALL,"CONSM ASP CLOTHG"," ",24,85.38,5.09,97,72,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,10,4
UBC,1997,W,HMEC,360, ,001,"DESG FUNDMNTLS","",27,75.67,7.16,88,59,27,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,6,4,7,3,0
UBC,1997,W,HMEC,360, ,OVERALL,"DESG FUNDMNTLS"," ",27,75.67,7.16,88,59,27,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,6,4,7,3,0
UBC,1997,W,HMEC,366, ,001,"TEXTILE DESIGN","",13,79,6.44,89,66,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,0
UBC,1997,W,HMEC,366, ,OVERALL,"TEXTILE DESIGN"," ",13,79,6.44,89,66,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,0
UBC,1997,W,HMEC,450, ,001,"HIST OF COSTUME","",5,75.8,5.12,82,68,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0
UBC,1997,W,HMEC,450, ,OVERALL,"HIST OF COSTUME"," ",5,75.8,5.12,82,68,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0
UBC,1997,W,HMEC,452, ,001,"ADV TEXTILE SCIE","",9,72,6.5,83,62,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2,0,0
UBC,1997,W,HMEC,452, ,OVERALL,"ADV TEXTILE SCIE"," ",9,72,6.5,83,62,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2,0,0
UBC,1997,W,HMEC,454, ,001,"APPAREL DESGN I","",10,77.9,7.39,92,67,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,1
UBC,1997,W,HMEC,454, ,OVERALL,"APPAREL DESGN I"," ",10,77.9,7.39,92,67,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,1
