Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1997,W,MMPE,290, ,101,"INTRO TO MMPE","",34,68.42,15.27,91,24,30,3,1,0,0,0,0,1,1,1,3,1,3,4,4,3,4,2,3,5,1
UBC,1997,W,MMPE,290, ,OVERALL,"INTRO TO MMPE"," ",35,68.42,15.27,91,24,30,3,2,0,0,0,0,1,1,1,3,1,3,4,4,3,4,2,3,5,1
UBC,1997,W,MMPE,293, ,001,"SEMINAR","",32,77.59,21.28,100,5,27,2,3,0,0,1,0,0,1,0,2,0,3,0,0,4,3,0,3,2,12
UBC,1997,W,MMPE,293, ,OVERALL,"SEMINAR"," ",32,77.59,21.28,100,5,27,2,3,0,0,1,0,0,1,0,2,0,3,0,0,4,3,0,3,2,12
UBC,1997,W,MMPE,295, ,201,"COMPUTER IN MMPE","",27,75.93,10.61,91,39,26,1,0,0,0,0,0,0,1,0,1,0,0,3,1,0,5,8,5,3,1
UBC,1997,W,MMPE,295, ,OVERALL,"COMPUTER IN MMPE"," ",27,75.93,10.61,91,39,26,1,0,0,0,0,0,0,1,0,1,0,0,3,1,0,5,8,5,3,1
UBC,1997,W,MMPE,301, ,201,"MINE SERVICES","",24,77.75,8.18,90,60,24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,2,6,5,1
UBC,1997,W,MMPE,301, ,OVERALL,"MINE SERVICES"," ",24,77.75,8.18,90,60,24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,2,6,5,1
UBC,1997,W,MMPE,302, ,101,"MIN MTHDS&EQUIP","",15,73.87,10.75,95,55,15,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3,4,0,1
UBC,1997,W,MMPE,302, ,OVERALL,"MIN MTHDS&EQUIP"," ",15,73.87,10.75,95,55,15,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3,4,0,1
UBC,1997,W,MMPE,303, ,201,"ROCK PROPERTIES","",41,69,13.53,83,0,40,1,0,0,0,1,0,0,0,0,1,1,3,3,7,6,5,9,6,0,0
UBC,1997,W,MMPE,303, ,OVERALL,"ROCK PROPERTIES"," ",41,69,13.53,83,0,40,1,0,0,0,1,0,0,0,0,1,1,3,3,7,6,5,9,6,0,0
UBC,1997,W,MMPE,304, ,101,"ROCK FRAGMENT","",15,66.93,9.34,83,52,15,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,4,1,1,0,0
UBC,1997,W,MMPE,304, ,OVERALL,"ROCK FRAGMENT"," ",15,66.93,9.34,83,52,15,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,4,1,1,0,0
UBC,1997,W,MMPE,331, ,101,"UNIT OPERATIONS","",15,75,10.66,94,56,15,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,1,4,1,1
UBC,1997,W,MMPE,331, ,OVERALL,"UNIT OPERATIONS"," ",15,75,10.66,94,56,15,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,1,4,1,1
UBC,1997,W,MMPE,333, ,201,"FLOTATION","",8,63.38,13.67,81,45,6,2,0,0,0,0,0,0,0,2,2,0,1,0,1,1,2,0,1,0,0
UBC,1997,W,MMPE,333, ,OVERALL,"FLOTATION"," ",8,63.38,13.67,81,45,6,2,0,0,0,0,0,0,0,2,2,0,1,0,1,1,2,0,1,0,0
UBC,1997,W,MMPE,391, ,201,"MIN & ENVIORNMNT","",34,73.32,9.19,93,50,34,0,0,0,0,0,0,0,0,0,0,2,1,1,2,5,9,7,4,1,2
