Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1997,W,SURG,425, ,001,"INTRO TO SURGERY","",122,84.07,7.13,96,64,121,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,6,12,40,22,33
UBC,1997,W,SURG,425, ,OVERALL,"INTRO TO SURGERY"," ",123,84.11,7.12,96,64,122,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,6,12,40,22,34
UBC,1997,W,SURG,430, ,001,"SURGERY","",125,77.8,5.53,90,61,124,0,1,0,0,0,0,0,0,0,0,0,0,2,2,10,26,38,30,15,1
UBC,1997,W,SURG,430, ,OVERALL,"SURGERY"," ",125,77.8,5.53,90,61,124,0,1,0,0,0,0,0,0,0,0,0,0,2,2,10,26,38,30,15,1
UBC,1997,W,SURG,475, ,001,"SURGERY","",123,74.97,4.72,85,62,123,0,0,0,0,0,0,0,0,0,0,0,0,2,7,17,41,30,25,1,0
UBC,1997,W,SURG,475, ,OVERALL,"SURGERY"," ",123,74.97,4.72,85,62,123,0,0,0,0,0,0,0,0,0,0,0,0,2,7,17,41,30,25,1,0
UBC,1997,W,SURG,500, ,201,"SURGICAL RSRCH","",4,77.75,10.05,88,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
UBC,1997,W,SURG,500, ,OVERALL,"SURGICAL RSRCH"," ",4,77.75,10.05,88,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
UBC,1997,W,SURG,549,C,001,"MASTERS THESIS","",9,42.5,60.1,85,0,1,1,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
UBC,1997,W,SURG,549, ,OVERALL,"MASTERS THESIS"," ",11,56.67,49.07,85,0,2,1,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
