Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1998,S,FINA,100, ,921,"INTRO ART HIST","",20,78.21,5.76,88,69,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,7,1,5,0
UBC,1998,S,FINA,100, ,OVERALL,"INTRO ART HIST"," ",20,78.21,5.76,88,69,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,7,1,5,0
UBC,1998,S,FINA,181, ,921,"BASC STUDIO PRAC","",27,78.46,5.96,88,69,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,4,6,0
UBC,1998,S,FINA,181, ,951,"BASC STUDIO PRAC","",19,74.21,6.96,82,60,19,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,6,0,0
UBC,1998,S,FINA,181, ,OVERALL,"BASC STUDIO PRAC"," ",46,76.67,6.67,88,60,45,0,1,0,0,0,0,0,0,0,0,0,0,1,3,7,7,11,10,6,0
UBC,1998,S,FINA,300, ,921,"APPRCHS ART HIST","",12,79.83,3.86,85,74,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,0
UBC,1998,S,FINA,300, ,OVERALL,"APPRCHS ART HIST"," ",12,79.83,3.86,85,74,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,0
UBC,1998,S,FINA,337, ,921,"W EUR 1600-1800","",31,77.13,4.98,86,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,10,3,0
UBC,1998,S,FINA,337, ,OVERALL,"W EUR 1600-1800"," ",31,77.13,4.98,86,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,10,3,0
UBC,1998,S,FINA,390, ,951,"STUD MED: PHOTO","",14,73.64,7.94,86,59,14,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,1,2,2,0
UBC,1998,S,FINA,390, ,OVERALL,"STUD MED: PHOTO"," ",14,73.64,7.94,86,59,14,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,1,2,2,0
UBC,1998,S,FINA,599, ,941,"MASTERS THESIS","",12,85,0,85,85,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UBC,1998,S,FINA,599, ,OVERALL,"MASTERS THESIS"," ",12,85,0,85,85,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UBC,1998,S,FINA,649, ,941,"PHD THESIS","",11,,,,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1998,S,FINA,649, ,OVERALL,"PHD THESIS"," ",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
