Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1998,S,HCEP,517, ,941,"HLTH MGMT PROJ","",5,88.67,3.06,92,86,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
UBC,1998,S,HCEP,517, ,OVERALL,"HLTH MGMT PROJ"," ",5,88.67,3.06,92,86,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
UBC,1998,S,HCEP,540, ,941,"CLERKSHIP","",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1998,S,HCEP,540, ,OVERALL,"CLERKSHIP"," ",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1998,S,HCEP,598, ,941,"MAJOR ESSAY","",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1998,S,HCEP,598, ,OVERALL,"MAJOR ESSAY"," ",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1998,S,HCEP,599, ,941,"MAJOR ESSAY","",6,87.25,1.5,89,86,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
UBC,1998,S,HCEP,599, ,OVERALL,"MAJOR ESSAY"," ",6,87.25,1.5,89,86,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
UBC,1998,S,HCEP,649, ,941,"PHD THESIS","",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1998,S,HCEP,649, ,OVERALL,"PHD THESIS"," ",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
