Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1998,S,SOWK,415, ,94A,"PRACTICUM II","",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1998,S,SOWK,415, ,OVERALL,"PRACTICUM II"," ",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1998,S,SOWK,440,A,941,"INTGRTV SEM SOWK","",8,78.5,1.93,82,77,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0
UBC,1998,S,SOWK,440, ,OVERALL,"INTGRTV SEM SOWK"," ",16,78.5,1.86,82,77,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0
UBC,1998,S,SOWK,440,B,942,"INTGRTV SEM SOWK","",8,78.5,1.93,82,77,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0
UBC,1998,S,SOWK,440, ,OVERALL,"INTGRTV SEM SOWK"," ",16,78.5,1.86,82,77,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0
UBC,1998,S,SOWK,548, ,941,"GRADUATING ESSAY","",25,80.8,3.19,85,77,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0
UBC,1998,S,SOWK,548, ,OVERALL,"GRADUATING ESSAY"," ",26,81,2.9,85,77,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0
UBC,1998,S,SOWK,549,A,941,"MSTR THESIS","",4,80,0,80,80,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UBC,1998,S,SOWK,549, ,OVERALL,"MSTR THESIS"," ",21,83.29,4.35,90,77,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1
UBC,1998,S,SOWK,549,B,943,"MSTR THESIS","",17,83.83,4.49,90,77,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1
UBC,1998,S,SOWK,549, ,OVERALL,"MSTR THESIS"," ",21,83.29,4.35,90,77,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1
UBC,1998,S,SOWK,560,C,941,"DIR FLD STUDIES","",5,87,5.96,95,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
UBC,1998,S,SOWK,560, ,OVERALL,"DIR FLD STUDIES"," ",5,87,5.96,95,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
