Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1998,W,ADED,327, ,089,"TEACHING ADULTS","",27,83.38,4.38,92,73,24,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,11,7,2
UBC,1998,W,ADED,327, ,63A,"TEACHING ADULTS","",14,81.08,5.01,89,69,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,3,0
UBC,1998,W,ADED,327, ,63C,"TEACHING ADULTS","",31,81.74,12.46,96,20,30,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,5,13,8,3
UBC,1998,W,ADED,327, ,OVERALL,"TEACHING ADULTS"," ",72,82.19,9.02,96,20,67,1,3,0,1,0,0,1,0,0,1,0,0,0,0,1,2,10,31,18,5
UBC,1998,W,ADED,329, ,089,"DEV CRS WKSP SMS","",27,83.77,12.17,95,48,25,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,3,9,9
UBC,1998,W,ADED,329, ,63A,"DEV CRS WKSP SMS","",19,80.28,18.45,97,13,17,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,3,3,2,6
UBC,1998,W,ADED,329, ,63C,"DEV CRS WKSP SMS","",14,76.21,18.08,96,24,13,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,3,0,2,4,2
UBC,1998,W,ADED,329, ,OVERALL,"DEV CRS WKSP SMS"," ",60,80.86,15.82,97,13,55,3,2,0,0,0,1,1,0,1,3,1,2,0,1,0,7,4,8,15,17
UBC,1998,W,ADED,330, ,63C,"COMM PRACT AD ED","",4,59.5,39.68,80,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0
UBC,1998,W,ADED,330, ,OVERALL,"COMM PRACT AD ED"," ",6,66.5,32.72,85,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0
UBC,1998,W,ADED,412, ,089,"OVERVIEW ADLT ED","",19,83.59,3.99,90,78,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,2
UBC,1998,W,ADED,412, ,63A,"OVERVIEW ADLT ED","",11,80.71,4.86,88,76,7,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0
UBC,1998,W,ADED,412, ,OVERALL,"OVERVIEW ADLT ED"," ",30,82.75,4.36,90,76,24,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,2
UBC,1998,W,ADED,500, ,021,"FOUNDATIONS ADED","",22,83.9,4.23,96,77,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,10,1
UBC,1998,W,ADED,500, ,OVERALL,"FOUNDATIONS ADED"," ",22,83.9,4.23,96,77,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,10,1
UBC,1998,W,ADED,501, ,99C,"AD ED & SOCIETY","",7,88.75,2.5,92,86,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
UBC,1998,W,ADED,501, ,OVERALL,"AD ED & SOCIETY"," ",7,88.75,2.5,92,86,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
UBC,1998,W,ADED,514, ,021,"ADED PRGM THEORY","",19,85.28,4.62,94,74,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,11,2
UBC,1998,W,ADED,514, ,OVERALL,"ADED PRGM THEORY"," ",19,85.28,4.62,94,74,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,11,2
UBC,1998,W,ADED,518, ,021,"T&R AD LEARNING","",22,85.62,4.19,93,74,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,5
UBC,1998,W,ADED,518, ,OVERALL,"T&R AD LEARNING"," ",22,85.62,4.19,93,74,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,5
UBC,1998,W,ADED,519, ,901,"T&R AD INSTRUCTN","",10,85.44,10.43,98,60,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,3
UBC,1998,W,ADED,519, ,OVERALL,"T&R AD INSTRUCTN"," ",10,85.44,10.43,98,60,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,3
UBC,1998,W,ADED,565,A,901,"SP CRS SBJCT FLD","",14,86.18,3.82,91,78,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,2
UBC,1998,W,ADED,565, ,OVERALL,"SP CRS SBJCT FLD"," ",20,86.53,3.61,94,78,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,3
UBC,1998,W,ADED,565,B,021,"SP CRS SBJCT FLD","",6,87.17,3.43,94,85,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
UBC,1998,W,ADED,565, ,OVERALL,"SP CRS SBJCT FLD"," ",20,86.53,3.61,94,78,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,3
UBC,1998,W,ADED,580, ,OVERALL,"PROB IN EDUC"," ",7,85.4,3.71,90,80,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
UBC,1998,W,ADED,580,B,022,"PROB IN EDUC","",4,85.33,5.03,90,80,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
UBC,1998,W,ADED,580, ,OVERALL,"PROB IN EDUC"," ",7,85.4,3.71,90,80,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
UBC,1998,W,ADED,580, ,OVERALL,"PROB IN EDUC"," ",7,85.4,3.71,90,80,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
UBC,1998,W,ADED,590, ,021,"GRADUATING PAPER","",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1998,W,ADED,590, ,023,"GRADUATING PAPER","",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1998,W,ADED,590, ,OVERALL,"GRADUATING PAPER"," ",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1998,W,ADED,599,C,021,"MASTER'S THESIS","",19,84,1.73,85,82,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
UBC,1998,W,ADED,599,C,022,"MASTER'S THESIS","",4,82.5,3.54,85,80,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
UBC,1998,W,ADED,599, ,OVERALL,"MASTER'S THESIS"," ",26,83.5,2.07,85,80,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
