Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1998,W,ANSC,258, ,001,"ANIM PROD SYSTEM","",26,65.58,17.31,88,0,25,1,0,0,0,1,0,0,0,0,1,4,3,1,4,3,2,3,2,3,0
UBC,1998,W,ANSC,258, ,99C,"ANIM PROD SYSTEM","",20,68.16,14.83,94,38,18,1,1,0,0,0,0,0,1,0,1,4,0,1,2,2,3,2,2,1,1
UBC,1998,W,ANSC,258, ,OVERALL,"ANIM PROD SYSTEM"," ",46,66.67,16.19,94,0,43,2,1,0,0,1,0,0,1,0,2,8,3,2,6,5,5,5,4,4,1
UBC,1998,W,ANSC,313, ,001,"PRINC ANIM BREED","",12,80.17,10.43,91,50,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,3,1
UBC,1998,W,ANSC,313, ,OVERALL,"PRINC ANIM BREED"," ",12,80.17,10.43,91,50,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,3,1
UBC,1998,W,ANSC,316, ,001,"EQU-BIO HLTH,NUT","",17,77,10.03,92,55,17,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,5,1,2
UBC,1998,W,ANSC,316, ,OVERALL,"EQU-BIO HLTH,NUT"," ",17,77,10.03,92,55,17,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,5,1,2
UBC,1998,W,ANSC,319, ,001,"ANIMAL PHYSIO I","",30,79.07,6.48,92,61,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,9,8,4,2
UBC,1998,W,ANSC,319, ,OVERALL,"ANIMAL PHYSIO I"," ",30,79.07,6.48,92,61,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,9,8,4,2
UBC,1998,W,ANSC,320, ,001,"ANIMAL PHYSIO II","",25,75.96,7.55,90,58,25,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,5,6,4,3,1
UBC,1998,W,ANSC,320, ,OVERALL,"ANIMAL PHYSIO II"," ",25,75.96,7.55,90,58,25,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,5,6,4,3,1
UBC,1998,W,ANSC,321, ,001,"ANALY ANIML NUTR","",21,75.1,9.65,96,55,21,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,3,2,4,1,2
UBC,1998,W,ANSC,321, ,OVERALL,"ANALY ANIML NUTR"," ",21,75.1,9.65,96,55,21,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,3,2,4,1,2
UBC,1998,W,ANSC,322, ,001,"FUND ANML NUTRN","",39,77.47,7.09,90,64,38,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7,5,10,8,3,3
UBC,1998,W,ANSC,322, ,OVERALL,"FUND ANML NUTRN"," ",39,77.47,7.09,90,64,38,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7,5,10,8,3,3
UBC,1998,W,ANSC,406, ,001,"PHYSIOLGY REPROD","",13,76.69,10.33,88,57,13,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,3,4,0
UBC,1998,W,ANSC,406, ,OVERALL,"PHYSIOLGY REPROD"," ",13,76.69,10.33,88,57,13,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,3,4,0
UBC,1998,W,ANSC,421, ,001,"MONOGASTRIC NUTR","",15,71.4,13.23,91,48,14,1,0,0,0,0,0,0,0,1,1,1,1,2,0,1,4,0,2,1,2
UBC,1998,W,ANSC,421, ,OVERALL,"MONOGASTRIC NUTR"," ",15,71.4,13.23,91,48,14,1,0,0,0,0,0,0,0,1,1,1,1,2,0,1,4,0,2,1,2
UBC,1998,W,ANSC,422, ,001,"RUMINANT NUTR","",13,82.69,9.01,94,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,4
