Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1998,W,ANTH,100, ,001,"INTRO CULT ANTH","",91,76.76,8.67,95,50,89,0,1,0,1,0,0,0,0,0,0,1,1,6,4,11,12,13,23,14,4
UBC,1998,W,ANTH,100, ,002,"INTRO CULT ANTH","",101,70.65,12.24,96,30,90,2,6,0,3,0,0,0,2,0,2,8,5,7,13,10,12,10,14,5,6
UBC,1998,W,ANTH,100, ,003,"INTRO CULT ANTH","",118,67.55,12.88,92,29,109,5,3,0,1,0,0,1,2,2,5,11,14,9,15,18,12,5,9,13,3
UBC,1998,W,ANTH,100, ,004,"INTRO CULT ANTH","",120,72.33,11.15,95,50,116,0,4,0,0,0,0,0,0,0,0,9,9,5,17,15,16,9,18,9,9
UBC,1998,W,ANTH,100, ,005,"INTRO CULT ANTH","",137,75.54,6.6,90,53,133,0,1,0,3,0,0,0,0,0,0,1,0,4,5,21,28,29,31,13,1
UBC,1998,W,ANTH,100, ,006,"INTRO CULT ANTH","",225,72.85,10.12,92,41,216,1,5,1,2,0,0,0,0,1,1,10,11,17,24,31,26,31,35,24,7
UBC,1998,W,ANTH,100, ,007,"INTRO CULT ANTH","",114,76.42,8.94,99,57,110,0,1,0,3,0,0,0,0,0,0,0,3,8,9,9,14,25,22,14,6
UBC,1998,W,ANTH,100, ,901,"INTRO CULT ANTH","",81,74.39,9.37,91,50,79,0,2,0,0,0,0,0,0,0,0,2,2,7,8,6,14,10,19,8,3
UBC,1998,W,ANTH,100, ,902,"INTRO CULT ANTH","",81,77.19,5.62,87,65,70,0,3,1,7,0,0,0,0,0,0,0,0,0,4,8,13,19,20,6,0
UBC,1998,W,ANTH,100, ,OVERALL,"INTRO CULT ANTH"," ",1068,73.5,10.26,99,29,1012,8,26,2,20,0,0,1,4,3,8,42,45,63,99,129,147,151,191,106,39
UBC,1998,W,ANTH,103, ,001,"INTR ARCHAEOLOGY","",132,75.29,7.82,92,53,126,0,1,0,5,0,0,0,0,0,0,1,3,6,10,20,16,30,29,7,4
UBC,1998,W,ANTH,103, ,002,"INTR ARCHAEOLOGY","",118,71.13,10.61,92,21,109,4,4,0,1,0,0,1,1,2,4,2,7,2,10,24,20,24,12,7,1
UBC,1998,W,ANTH,103, ,003,"INTR ARCHAEOLOGY","",96,69.69,11.62,90,35,88,5,1,0,2,0,0,0,2,3,5,7,6,7,6,15,11,16,16,3,1
UBC,1998,W,ANTH,103, ,901,"INTR ARCHAEOLOGY","",44,76.56,7.69,90,57,43,0,0,0,1,0,0,0,0,0,0,0,1,2,2,7,5,7,12,6,1
UBC,1998,W,ANTH,103, ,902,"INTR ARCHAEOLOGY","",62,70.58,12.92,93,37,52,5,5,0,0,0,0,0,1,4,5,3,2,5,3,7,11,5,10,4,2
UBC,1998,W,ANTH,103, ,OVERALL,"INTR ARCHAEOLOGY"," ",452,72.5,10.48,93,21,418,14,11,0,9,0,0,1,4,9,14,13,19,22,31,73,63,82,79,27,9
UBC,1998,W,ANTH,140, ,001,"INTR STDY HUM EV","",98,71.03,8.89,92,50,94,0,1,0,3,0,0,0,0,0,0,4,5,8,12,14,15,15,17,3,1
UBC,1998,W,ANTH,140, ,002,"INTR STDY HUM EV","",126,69.03,8.9,91,50,120,0,1,0,5,0,0,0,0,0,0,2,18,10,15,25,17,13,16,2,2
UBC,1998,W,ANTH,140, ,901,"INTR STDY HUM EV","",42,71.55,8.88,88,55,42,0,0,0,0,0,0,0,0,0,0,0,4,6,3,5,6,8,8,2,0
