Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1998,W,MLED,312, ,301,"C&I FRENCH SEC","",28,89.32,7.14,97,70,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,6,17
UBC,1998,W,MLED,312, ,OVERALL,"C&I FRENCH SEC"," ",28,89.32,7.14,97,70,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,6,17
UBC,1998,W,MLED,313, ,301,"C&I GERMAN SEC","",4,89,3.16,93,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UBC,1998,W,MLED,313, ,OVERALL,"C&I GERMAN SEC"," ",4,89,3.16,93,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UBC,1998,W,MLED,317, ,301,"C&I SPANISH SEC","",7,86.43,3.6,92,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2
UBC,1998,W,MLED,317, ,OVERALL,"C&I SPANISH SEC"," ",7,86.43,3.6,92,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2
UBC,1998,W,MLED,318, ,301,"C&I MD LANG SEC","",9,85.78,3.11,90,81,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2
UBC,1998,W,MLED,318, ,302,"C&I MD LANG SEC","",28,89.07,7.02,97,70,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,7,16
UBC,1998,W,MLED,318, ,OVERALL,"C&I MD LANG SEC"," ",37,88.27,6.42,97,70,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,11,18
UBC,1998,W,MLED,393,C,105,"TCH FREN EL SCHL","",9,88.5,3.66,94,84,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3
UBC,1998,W,MLED,393, ,OVERALL,"TCH FREN EL SCHL"," ",9,88.5,3.66,94,84,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3
UBC,1998,W,MLED,394,C,105,"TCH FREN IMR SCH","",6,85.33,7.15,94,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3
UBC,1998,W,MLED,394, ,OVERALL,"TCH FREN IMR SCH"," ",6,85.33,7.15,94,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3
UBC,1998,W,MLED,396, ,301,"P&P FREN PRG DEV","",11,85.18,4.58,93,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3
UBC,1998,W,MLED,396, ,OVERALL,"P&P FREN PRG DEV"," ",11,85.18,4.58,93,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3
UBC,1998,W,MLED,508,B,062,"THRY/RES IN MLED","",9,90.89,2.98,96,87,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
UBC,1998,W,MLED,508, ,OVERALL,"THRY/RES IN MLED"," ",9,90.89,2.98,96,87,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
UBC,1998,W,MLED,540, ,061,"ASIA-PCF NAR INQ","",18,89.18,4.61,100,83,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9
UBC,1998,W,MLED,540, ,OVERALL,"ASIA-PCF NAR INQ"," ",18,89.18,4.61,100,83,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9
