Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1999,S,BIOL,110, ,951,"CELL & ORG BIOL","",49,66.08,13.48,95,34,44,5,0,0,0,0,0,0,1,4,5,4,5,5,4,9,4,7,2,1,3
UBC,1999,S,BIOL,110, ,OVERALL,"CELL & ORG BIOL"," ",49,66.08,13.48,95,34,44,5,0,0,0,0,0,0,1,4,5,4,5,5,4,9,4,7,2,1,3
UBC,1999,S,BIOL,115, ,951,"ORGANISMAL BIOL","",19,71.56,14.91,84,21,17,1,1,0,0,0,0,1,0,0,1,0,0,3,1,2,2,2,7,0,0
UBC,1999,S,BIOL,115, ,OVERALL,"ORGANISMAL BIOL"," ",20,71.56,14.91,84,21,17,1,2,0,0,0,0,1,0,0,1,0,0,3,1,2,2,2,7,0,0
UBC,1999,S,BIOL,120, ,951,"ECOL,GENE & EVOL","",76,74.88,10.77,97,52,75,0,0,0,1,0,0,0,0,0,0,1,6,4,9,7,7,12,10,14,5
UBC,1999,S,BIOL,120, ,OVERALL,"ECOL,GENE & EVOL"," ",76,74.88,10.77,97,52,75,0,0,0,1,0,0,0,0,0,0,1,6,4,9,7,7,12,10,14,5
UBC,1999,S,BIOL,200, ,951,"CELL BIOLOGY 1","",70,70.91,11.24,91,41,66,4,0,0,0,0,0,0,0,4,4,3,3,5,5,10,13,10,13,3,1
UBC,1999,S,BIOL,200, ,OVERALL,"CELL BIOLOGY 1"," ",70,70.91,11.24,91,41,66,4,0,0,0,0,0,0,0,4,4,3,3,5,5,10,13,10,13,3,1
UBC,1999,S,BIOL,201, ,921,"CELL BIOLOGY 2","",39,63.44,11.42,82,38,33,3,2,0,1,0,0,0,1,2,3,4,5,4,6,5,3,2,4,0,0
UBC,1999,S,BIOL,201, ,951,"CELL BIOLOGY 2","",40,65.33,12.55,91,35,35,4,1,0,0,0,0,0,1,3,4,4,4,3,3,8,3,6,3,0,1
UBC,1999,S,BIOL,201, ,OVERALL,"CELL BIOLOGY 2"," ",79,64.43,11.98,91,35,68,7,3,0,1,0,0,0,2,5,7,8,9,7,9,13,6,8,7,0,1
UBC,1999,S,BIOL,204, ,951,"COMP VERTEBRATE","",8,78.38,15.57,92,44,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,3,1
UBC,1999,S,BIOL,204, ,OVERALL,"COMP VERTEBRATE"," ",8,78.38,15.57,92,44,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,3,1
UBC,1999,S,BIOL,205, ,951,"COMP INVERTBRAT","",14,72.43,9.02,81,59,14,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,1,6,0,0
UBC,1999,S,BIOL,205, ,OVERALL,"COMP INVERTBRAT"," ",14,72.43,9.02,81,59,14,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,1,6,0,0
UBC,1999,S,BIOL,300, ,921,"BIOMETRICS","",87,73.71,15.85,98,26,81,6,0,0,0,0,0,1,4,1,6,3,7,5,4,6,11,13,7,9,16
UBC,1999,S,BIOL,300, ,OVERALL,"BIOMETRICS"," ",87,73.71,15.85,98,26,81,6,0,0,0,0,0,1,4,1,6,3,7,5,4,6,11,13,7,9,16
UBC,1999,S,BIOL,302, ,951,"COMM & ECOSYSTEM","",29,72.34,7.31,85,53,29,0,0,0,0,0,0,0,0,0,0,1,0,1,5,7,3,6,5,1,0
UBC,1999,S,BIOL,302, ,OVERALL,"COMM & ECOSYSTEM"," ",29,72.34,7.31,85,53,29,0,0,0,0,0,0,0,0,0,0,1,0,1,5,7,3,6,5,1,0
UBC,1999,S,BIOL,303, ,951,"POPULATION BIOL","",35,71.97,8.05,86,52,35,0,0,0,0,0,0,0,0,0,0,1,1,4,3,7,7,2,9,1,0
UBC,1999,S,BIOL,303, ,OVERALL,"POPULATION BIOL"," ",35,71.97,8.05,86,52,35,0,0,0,0,0,0,0,0,0,0,1,1,4,3,7,7,2,9,1,0
UBC,1999,S,BIOL,334, ,921,"BASIC GENETICS","",186,78.23,11.91,98,47,181,3,2,0,0,0,0,0,0,3,3,4,9,9,11,11,21,23,29,25,39
UBC,1999,S,BIOL,334, ,951,"BASIC GENETICS","",53,74.06,11.04,93,52,52,0,0,0,1,0,0,0,0,0,0,2,1,8,8,4,6,3,9,6,5
UBC,1999,S,BIOL,334, ,OVERALL,"BASIC GENETICS"," ",242,77.38,11.85,98,47,234,3,4,0,1,0,0,0,0,3,3,6,10,17,19,15,27,26,38,31,45
UBC,1999,S,BIOL,335, ,951,"MOLECULAR GEN","",94,64.77,14,93,29,83,8,1,1,1,0,0,1,3,4,8,18,9,4,12,6,10,9,10,1,4
UBC,1999,S,BIOL,335, ,OVERALL,"MOLECULAR GEN"," ",96,64.77,14,93,29,83,8,2,2,1,0,0,1,3,4,8,18,9,4,12,6,10,9,10,1,4
UBC,1999,S,BIOL,343, ,951,"PLANTS & PEOPLES","",25,72.96,7.99,90,57,25,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,7,4,4,1,1
UBC,1999,S,BIOL,343, ,OVERALL,"PLANTS & PEOPLES"," ",25,72.96,7.99,90,57,25,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,7,4,4,1,1
UBC,1999,S,BIOL,353, ,951,"VERTEBRT PHYSIOL","",42,67.9,6.7,80,53,42,0,0,0,0,0,0,0,0,0,0,1,4,5,7,11,7,6,1,0,0
UBC,1999,S,BIOL,353, ,OVERALL,"VERTEBRT PHYSIOL"," ",42,67.9,6.7,80,53,42,0,0,0,0,0,0,0,0,0,0,1,4,5,7,11,7,6,1,0,0
UBC,1999,S,BIOL,442, ,921,"ETHICAL ISS SCIE","",30,80.04,6.2,95,70,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,6,0,11,7,1
UBC,1999,S,BIOL,442, ,OVERALL,"ETHICAL ISS SCIE"," ",30,80.04,6.2,95,70,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,6,0,11,7,1
UBC,1999,S,BIOL,448,A,943,"DIRECTED STUDIES","",5,82,5.61,88,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
UBC,1999,S,BIOL,448,A,94X,"DIRECTED STUDIES","",21,77.9,7.22,87,53,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,5,8,3,0
UBC,1999,S,BIOL,448, ,OVERALL,"DIRECTED STUDIES"," ",30,79.63,7.05,90,53,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,7,9,8,1
UBC,1999,S,BIOL,448, ,OVERALL,"DIRECTED STUDIES"," ",30,79.63,7.05,90,53,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,7,9,8,1
UBC,1999,S,BIOL,448,D,942,"DIRECTED STUDIES","",4,85.75,3.3,90,82,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
UBC,1999,S,BIOL,448, ,OVERALL,"DIRECTED STUDIES"," ",30,79.63,7.05,90,53,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,7,9,8,1
