Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1999,S,CUST,414, ,951,"C&I APPLIED STDY","",24,88.63,3.76,95,79,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,13
UBC,1999,S,CUST,414, ,OVERALL,"C&I APPLIED STDY"," ",24,88.63,3.76,95,79,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,13
UBC,1999,S,CUST,416,A,951,"SP TPCS CUST","",17,88.35,7.9,97,66,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,10
UBC,1999,S,CUST,416,A,952,"SP TPCS CUST","",14,77.62,10.67,90,60,13,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,4,2
UBC,1999,S,CUST,416, ,OVERALL,"SP TPCS CUST"," ",68,85.49,9.15,100,60,67,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,11,16,27
UBC,1999,S,CUST,416, ,OVERALL,"SP TPCS CUST"," ",68,85.49,9.15,100,60,67,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,11,16,27
UBC,1999,S,CUST,416,D,954,"SP TPCS CUST","",37,86.95,7.71,100,70,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,9,8,15
UBC,1999,S,CUST,416, ,OVERALL,"SP TPCS CUST"," ",68,85.49,9.15,100,60,67,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,11,16,27
UBC,1999,S,CUST,424, ,951,"CURRIC GLOBAL ED","",28,85.04,7.3,95,68,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8,4,11
UBC,1999,S,CUST,424, ,OVERALL,"CURRIC GLOBAL ED"," ",28,85.04,7.3,95,68,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8,4,11
UBC,1999,S,CUST,565,A,952,"SPCL CRS IN SUBJ","",11,86.4,4.65,94,80,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
UBC,1999,S,CUST,565, ,OVERALL,"SPCL CRS IN SUBJ"," ",11,86.4,4.65,94,80,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
UBC,1999,S,CUST,565, ,OVERALL,"SPCL CRS IN SUBJ"," ",11,86.4,4.65,94,80,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
UBC,1999,S,CUST,580,A,941,"PROBLEMS IN EDUC","",7,91.67,1.51,94,90,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
UBC,1999,S,CUST,580, ,OVERALL,"PROBLEMS IN EDUC"," ",12,89.91,4.01,94,80,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9
UBC,1999,S,CUST,580, ,OVERALL,"PROBLEMS IN EDUC"," ",12,89.91,4.01,94,80,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9
UBC,1999,S,CUST,580, ,OVERALL,"PROBLEMS IN EDUC"," ",12,89.91,4.01,94,80,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9
UBC,1999,S,CUST,699, ,941,"DOCTORAL THESIS","",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1999,S,CUST,699, ,OVERALL,"DOCTORAL THESIS"," ",16,,,,,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
