Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1999,S,LING,200, ,921,"LING THRY&ANL I","",39,83.41,8.67,96,62,37,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,1,2,10,10,9
UBC,1999,S,LING,200, ,OVERALL,"LING THRY&ANL I"," ",39,83.41,8.67,96,62,37,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,1,2,10,10,9
UBC,1999,S,LING,201, ,921,"LING THRY&ANL II","",39,82.49,11.17,98,51,37,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5,7,9,10
UBC,1999,S,LING,201, ,OVERALL,"LING THRY&ANL II"," ",39,82.49,11.17,98,51,37,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5,7,9,10
UBC,1999,S,LING,300, ,921,"STUDES GRAMMAR 1","",23,73.91,11.72,91,55,22,0,0,1,0,0,0,0,0,0,0,0,2,4,2,1,3,2,2,5,1
UBC,1999,S,LING,300, ,OVERALL,"STUDES GRAMMAR 1"," ",23,73.91,11.72,91,55,22,0,0,1,0,0,0,0,0,0,0,0,2,4,2,1,3,2,2,5,1
UBC,1999,S,LING,301, ,921,"STUDES GRAMMAR 2","",11,78.4,10.45,93,60,10,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,2,1,2
UBC,1999,S,LING,301, ,OVERALL,"STUDES GRAMMAR 2"," ",11,78.4,10.45,93,60,10,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,2,1,2
UBC,1999,S,LING,400, ,921,"STUDIES PHONOLGY","",21,83.79,10.25,98,57,19,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,6,1,8
UBC,1999,S,LING,400, ,OVERALL,"STUDIES PHONOLGY"," ",21,83.79,10.25,98,57,19,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,6,1,8
UBC,1999,S,LING,401, ,921,"STUDIES PHONOLGY","",13,81.83,5.37,90,72,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,4,4,1
UBC,1999,S,LING,401, ,OVERALL,"STUDIES PHONOLGY"," ",13,81.83,5.37,90,72,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,4,4,1
UBC,1999,S,LING,549,C,941,"MASTERS THESIS","",10,88,0,88,88,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
UBC,1999,S,LING,549, ,OVERALL,"MASTERS THESIS"," ",10,88,0,88,88,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
