Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1999,W,ASTR,101, ,101,"INT ASTRONOMY I","",174,71.65,12.96,98,25,154,5,9,1,5,0,0,2,1,2,5,8,12,16,11,18,16,19,22,25,7
UBC,1999,W,ASTR,101, ,L1E,"INT ASTRONOMY I","",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1999,W,ASTR,101, ,OVERALL,"INT ASTRONOMY I"," ",183,71.65,12.96,98,25,154,5,18,1,5,0,0,2,1,2,5,8,12,16,11,18,16,19,22,25,7
UBC,1999,W,ASTR,102, ,201,"INTR STARS&GALXS","",115,69.93,16.53,100,21,92,11,5,0,7,0,0,2,4,5,11,4,4,12,11,7,6,13,14,8,13
UBC,1999,W,ASTR,102, ,OVERALL,"INTR STARS&GALXS"," ",120,69.93,16.53,100,21,92,11,10,0,7,0,0,2,4,5,11,4,4,12,11,7,6,13,14,8,13
UBC,1999,W,ASTR,201, ,101,"STELLAR ASTRPHYS","",67,75.72,14.38,98,23,63,2,1,0,1,0,0,1,0,1,2,1,4,7,2,9,5,3,11,10,11
UBC,1999,W,ASTR,201, ,OVERALL,"STELLAR ASTRPHYS"," ",67,75.72,14.38,98,23,63,2,1,0,1,0,0,1,0,1,2,1,4,7,2,9,5,3,11,10,11
UBC,1999,W,ASTR,202, ,201,"GALACTIC ASTR","",37,71.09,13.69,97,39,32,1,4,0,0,0,0,0,1,0,1,3,5,1,3,2,5,1,7,3,2
UBC,1999,W,ASTR,202, ,OVERALL,"GALACTIC ASTR"," ",37,71.09,13.69,97,39,32,1,4,0,0,0,0,0,1,0,1,3,5,1,3,2,5,1,7,3,2
UBC,1999,W,ASTR,303, ,101,"EXTRAGALACTIC","",13,72.09,21.2,94,23,10,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,3,2
UBC,1999,W,ASTR,303, ,OVERALL,"EXTRAGALACTIC"," ",13,72.09,21.2,94,23,10,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,3,2
UBC,1999,W,ASTR,304, ,201,"RSRCH TPCS ASTR","",9,78.89,6.19,85,65,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,1,0
UBC,1999,W,ASTR,304, ,OVERALL,"RSRCH TPCS ASTR"," ",9,78.89,6.19,85,65,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,1,0
UBC,1999,W,ASTR,310, ,101,"EXPLRING UNIV I","",209,76.2,12.85,97,35,197,6,4,0,2,0,0,0,3,3,6,4,9,19,13,15,23,19,31,28,36
UBC,1999,W,ASTR,310, ,201,"EXPLRING UNIV I","",247,73.81,13.35,99,34,228,4,12,0,3,0,0,0,2,2,4,12,26,17,15,24,21,20,42,24,27
UBC,1999,W,ASTR,310, ,T2G,"EXPLRING UNIV I","",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1999,W,ASTR,310, ,OVERALL,"EXPLRING UNIV I"," ",472,74.92,13.16,99,34,425,10,32,0,5,0,0,0,5,5,10,16,35,36,28,39,44,39,73,52,63
UBC,1999,W,ASTR,311, ,101,"EXPLRING UNIV II","",216,74,12.08,94,39,203,5,6,0,2,0,0,0,1,4,5,11,12,17,11,21,30,22,31,35,13
UBC,1999,W,ASTR,311, ,201,"EXPLRING UNIV II","",199,75.55,12.23,93,18,181,5,6,0,7,0,1,1,1,2,5,3,7,13,13,16,24,22,41,23,19
UBC,1999,W,ASTR,311, ,OVERALL,"EXPLRING UNIV II"," ",424,74.73,12.16,94,18,384,10,21,0,9,0,1,1,2,6,10,14,19,30,24,37,54,44,72,58,32
UBC,1999,W,ASTR,402, ,101,"ASTROPHYS PROCS","",18,70.22,12.63,92,46,17,1,0,0,0,0,0,0,0,1,1,1,2,1,1,2,5,0,2,2,1
UBC,1999,W,ASTR,402, ,OVERALL,"ASTROPHYS PROCS"," ",18,70.22,12.63,92,46,17,1,0,0,0,0,0,0,0,1,1,1,2,1,1,2,5,0,2,2,1
UBC,1999,W,ASTR,403, ,201,"COSMOLOGY","",13,72.4,13.79,87,50,10,0,2,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,3,2,0
UBC,1999,W,ASTR,403, ,OVERALL,"COSMOLOGY"," ",13,72.4,13.79,87,50,10,0,2,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,3,2,0
UBC,1999,W,ASTR,404, ,101,"ASTR&ASTRPHY MEA","",20,76.1,14.14,94,40,19,1,0,0,0,0,0,0,0,1,1,1,0,0,2,2,4,1,2,4,3
UBC,1999,W,ASTR,404, ,OVERALL,"ASTR&ASTRPHY MEA"," ",20,76.1,14.14,94,40,19,1,0,0,0,0,0,0,0,1,1,1,0,0,2,2,4,1,2,4,3
UBC,1999,W,ASTR,405, ,2LA,"ASTRONOMICAL LAB","",17,81.38,7.19,91,70,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,5,2,3
UBC,1999,W,ASTR,405, ,OVERALL,"ASTRONOMICAL LAB"," ",17,81.38,7.19,91,70,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,5,2,3
UBC,1999,W,ASTR,449, ,OVERALL,"DIRECTED RESEARC"," ",8,84.86,6.04,93,76,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
UBC,1999,W,ASTR,449, ,OVERALL,"DIRECTED RESEARC"," ",8,84.86,6.04,93,76,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
UBC,1999,W,ASTR,449, ,OVERALL,"DIRECTED RESEARC"," ",8,84.86,6.04,93,76,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
UBC,1999,W,ASTR,449, ,OVERALL,"DIRECTED RESEARC"," ",8,84.86,6.04,93,76,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
UBC,1999,W,ASTR,449,E,001,"DIRECTED RESEARC","",7,85.67,6.19,93,76,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
UBC,1999,W,ASTR,449, ,OVERALL,"DIRECTED RESEARC"," ",8,84.86,6.04,93,76,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
