Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,1999,W,PLAN,425, ,001,"URBN PLAN CNCPTS","",48,84.68,5.45,93,73,41,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,10,16,8
UBC,1999,W,PLAN,425, ,OVERALL,"URBN PLAN CNCPTS"," ",48,84.68,5.45,93,73,41,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,10,16,8
UBC,1999,W,PLAN,500, ,001,"FUNDMTLS PLAN PR","",18,89.22,1.63,92,84,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,8
UBC,1999,W,PLAN,500, ,OVERALL,"FUNDMTLS PLAN PR"," ",18,89.22,1.63,92,84,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,8
UBC,1999,W,PLAN,502, ,001,"PLANNING THEORY","",30,86.6,3.18,94,80,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,4
UBC,1999,W,PLAN,502, ,OVERALL,"PLANNING THEORY"," ",30,86.6,3.18,94,80,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,4
UBC,1999,W,PLAN,505, ,001,"COMM DEV PLANNG","",17,85.65,4.4,93,78,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,4
UBC,1999,W,PLAN,505, ,OVERALL,"COMM DEV PLANNG"," ",17,85.65,4.4,93,78,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,4
UBC,1999,W,PLAN,506, ,001,"LEGAL CONTX PLAN","",24,86.52,4.9,94,74,21,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,5
UBC,1999,W,PLAN,506, ,OVERALL,"LEGAL CONTX PLAN"," ",24,86.52,4.9,94,74,21,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,5
UBC,1999,W,PLAN,507, ,001,"REG DEV PLANNG","",14,87.08,2.72,91,84,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4
UBC,1999,W,PLAN,507, ,OVERALL,"REG DEV PLANNG"," ",14,87.08,2.72,91,84,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4
UBC,1999,W,PLAN,513, ,002,"ECON IMPCT&EVAL","",18,90.41,5.37,98,79,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9
UBC,1999,W,PLAN,513, ,OVERALL,"ECON IMPCT&EVAL"," ",18,90.41,5.37,98,79,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9
UBC,1999,W,PLAN,540,A,001,"PLANNING PROJECT","",31,87.33,1.3,90,85,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2
UBC,1999,W,PLAN,540, ,OVERALL,"PLANNING PROJECT"," ",57,88.6,3.03,95,80,55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,14
UBC,1999,W,PLAN,540,B,002,"PLANNING PROJECT","",6,95,0,95,95,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,1999,W,PLAN,540, ,OVERALL,"PLANNING PROJECT"," ",57,88.6,3.03,95,80,55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,14
UBC,1999,W,PLAN,540,D,004,"PLANNING PROJECT","",20,88.9,3.19,95,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,7
UBC,1999,W,PLAN,540, ,OVERALL,"PLANNING PROJECT"," ",57,88.6,3.03,95,80,55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,14
UBC,1999,W,PLAN,548,1,030,"CURRENT ISSUES","",10,86.4,0.52,87,86,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548,2,031,"CURRENT ISSUES","",6,86.2,4.6,89,78,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548,K,011,"CURRENT ISSUES","",12,85.17,3.74,90,80,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548,M,013,"CURRENT ISSUES","",10,85.25,2.6,88,81,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548,N,014,"CURRENT ISSUES","",10,89.44,2.01,92,87,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548,P,015,"CURRENT ISSUES","",17,87,4.91,96,80,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548,T,020,"CURRENT ISSUES","",13,88.42,1.73,92,86,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548,W,005,"CURRENT ISSUES","",12,86.33,1.97,89,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548,X,0X2,"CURRENT ISSUES","",5,90.2,0.45,91,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",99,87.02,3.28,96,78,94,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,22
UBC,1999,W,PLAN,549,C,001,"MASTERS THESIS","",84,88.33,4.03,95,81,9,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4
UBC,1999,W,PLAN,549,C,002,"MASTERS THESIS","",13,85.25,3.65,90,80,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1
UBC,1999,W,PLAN,549, ,OVERALL,"MASTERS THESIS"," ",100,86.73,4,95,80,22,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6
UBC,1999,W,PLAN,550, ,OVERALL,"DIRECTED STUDIES"," ",12,89.42,4.8,98,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7
UBC,1999,W,PLAN,550, ,OVERALL,"DIRECTED STUDIES"," ",12,89.42,4.8,98,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7
UBC,1999,W,PLAN,550, ,OVERALL,"DIRECTED STUDIES"," ",12,89.42,4.8,98,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7
UBC,1999,W,PLAN,550, ,OVERALL,"DIRECTED STUDIES"," ",12,89.42,4.8,98,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7
UBC,1999,W,PLAN,550, ,OVERALL,"DIRECTED STUDIES"," ",12,89.42,4.8,98,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7
UBC,1999,W,PLAN,550, ,OVERALL,"DIRECTED STUDIES"," ",12,89.42,4.8,98,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7
UBC,1999,W,PLAN,561, ,001,"SEM R PRPTY DV&P","",14,92.57,2.1,97,90,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
UBC,1999,W,PLAN,561, ,OVERALL,"SEM R PRPTY DV&P"," ",14,92.57,2.1,97,90,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
UBC,1999,W,PLAN,570, ,001,"URBN PLAN DEV CN","",13,87.58,1.62,90,85,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
UBC,1999,W,PLAN,570, ,OVERALL,"URBN PLAN DEV CN"," ",13,87.58,1.62,90,85,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
UBC,1999,W,PLAN,571, ,001,"HS PL&PR DEV WLD","",7,87.14,2.12,90,84,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
UBC,1999,W,PLAN,571, ,OVERALL,"HS PL&PR DEV WLD"," ",7,87.14,2.12,90,84,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
UBC,1999,W,PLAN,572, ,001,"PRJ&PRG DSGN DEV","",11,87.1,2.13,91,84,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
UBC,1999,W,PLAN,572, ,OVERALL,"PRJ&PRG DSGN DEV"," ",11,87.1,2.13,91,84,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
UBC,1999,W,PLAN,573, ,001,"SHLT&SERV DEV CN","",5,87.2,1.92,90,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
UBC,1999,W,PLAN,573, ,OVERALL,"SHLT&SERV DEV CN"," ",5,87.2,1.92,90,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
UBC,1999,W,PLAN,582,A,001,"RES SITE PLANNG","",9,88,6.26,95,77,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5
UBC,1999,W,PLAN,582, ,OVERALL,"RES SITE PLANNG"," ",9,88,6.26,95,77,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5
UBC,1999,W,PLAN,583, ,001,"HOUSING","",16,89.44,1.75,92,86,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
UBC,1999,W,PLAN,583, ,OVERALL,"HOUSING"," ",16,89.44,1.75,92,86,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
UBC,1999,W,PLAN,586, ,001,"GENDER & PLAN","",5,87.5,3,90,84,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UBC,1999,W,PLAN,586, ,OVERALL,"GENDER & PLAN"," ",5,87.5,3,90,84,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UBC,1999,W,PLAN,587,A,001,"URBAN DESIGN","",8,81.75,33.06,95,0,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
UBC,1999,W,PLAN,587, ,OVERALL,"URBAN DESIGN"," ",8,81.75,33.06,95,0,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
UBC,1999,W,PLAN,587, ,OVERALL,"URBAN DESIGN"," ",8,81.75,33.06,95,0,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
UBC,1999,W,PLAN,588, ,001,"SOC ASPT URBN FM","",11,86.27,1.9,89,83,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0
UBC,1999,W,PLAN,588, ,OVERALL,"SOC ASPT URBN FM"," ",11,86.27,1.9,89,83,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0
UBC,1999,W,PLAN,592, ,001,"URBN RESTRUCTING","",6,88.83,1.33,90,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
UBC,1999,W,PLAN,592, ,OVERALL,"URBN RESTRUCTING"," ",6,88.83,1.33,90,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
UBC,1999,W,PLAN,595, ,001,"NAT RESRCE MNGMT","",25,88.56,1.08,90,87,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7
UBC,1999,W,PLAN,595, ,OVERALL,"NAT RESRCE MNGMT"," ",25,88.56,1.08,90,87,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7
UBC,1999,W,PLAN,597, ,001,"WATER RES MANAGE","",16,87.2,1.42,89,84,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
UBC,1999,W,PLAN,597, ,OVERALL,"WATER RES MANAGE"," ",16,87.2,1.42,89,84,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
UBC,1999,W,PLAN,599, ,001,"ENV POLICY ANLYS","",7,86.71,1.7,89,84,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
UBC,1999,W,PLAN,599, ,OVERALL,"ENV POLICY ANLYS"," ",7,86.71,1.7,89,84,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
UBC,1999,W,PLAN,602, ,001,"PLAN THY ADV SEM","",6,86.67,2.42,90,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
UBC,1999,W,PLAN,602, ,OVERALL,"PLAN THY ADV SEM"," ",6,86.67,2.42,90,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
UBC,1999,W,PLAN,603, ,001,"PHD COLLOQUIUM","",7,86.57,2.23,90,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
UBC,1999,W,PLAN,603, ,OVERALL,"PHD COLLOQUIUM"," ",7,86.57,2.23,90,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
UBC,1999,W,PLAN,649, ,001,"PHD THESIS","",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,1999,W,PLAN,649, ,OVERALL,"PHD THESIS"," ",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
