Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2000,W,BIOE,382, ,101,"BIOPROC FUNDMTLS","",17,70.18,18.08,91,34,15,2,0,0,0,0,0,0,2,0,2,2,0,2,0,2,2,1,1,2,3
UBC,2000,W,BIOE,382, ,OVERALL,"BIOPROC FUNDMTLS"," ",17,70.18,18.08,91,34,15,2,0,0,0,0,0,0,2,0,2,2,0,2,0,2,2,1,1,2,3
UBC,2000,W,BIOE,455, ,201,"PRPTS BIOMTS&ENG","",16,68.81,9.59,82,50,16,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,3,3,2,0,0
UBC,2000,W,BIOE,455, ,OVERALL,"PRPTS BIOMTS&ENG"," ",16,68.81,9.59,82,50,16,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,3,3,2,0,0
UBC,2000,W,BIOE,464, ,101,"IRRIGATN & DRAIN","",13,77.69,6.2,90,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,0,1
UBC,2000,W,BIOE,464, ,OVERALL,"IRRIGATN & DRAIN"," ",13,77.69,6.2,90,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,0,1
UBC,2000,W,BIOE,471, ,101,"BIOSYS ANLY&DSGN","",20,76.74,5.68,86,65,19,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,5,7,1,0
UBC,2000,W,BIOE,471, ,OVERALL,"BIOSYS ANLY&DSGN"," ",20,76.74,5.68,86,65,19,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,5,7,1,0
UBC,2000,W,BIOE,473, ,101,"DSGN BIOWST CONV","",16,80.69,6.27,91,66,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,9,2,1
UBC,2000,W,BIOE,473, ,OVERALL,"DSGN BIOWST CONV"," ",16,80.69,6.27,91,66,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,9,2,1
UBC,2000,W,BIOE,482, ,201,"BIOPROCESS APPL","",13,72.31,13.13,95,50,13,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,1,1,2
UBC,2000,W,BIOE,482, ,OVERALL,"BIOPROCESS APPL"," ",13,72.31,13.13,95,50,13,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,1,1,2
UBC,2000,W,BIOE,489, ,001,"SEMINAR","",17,80.71,7.95,89,65,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,5,7,0
UBC,2000,W,BIOE,489, ,OVERALL,"SEMINAR"," ",17,80.71,7.95,89,65,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,5,7,0
UBC,2000,W,BIOE,549, ,001,"MASTER'S THESIS","",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,BIOE,549, ,OVERALL,"MASTER'S THESIS"," ",5,85,0,85,85,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UBC,2000,W,BIOE,590, ,OVERALL,"WASTE TREATMENT"," ",5,86.5,2.65,90,84,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
UBC,2000,W,BIOE,590,B,002,"WASTE TREATMENT","",5,86.5,2.65,90,84,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
UBC,2000,W,BIOE,590, ,OVERALL,"WASTE TREATMENT"," ",5,86.5,2.65,90,84,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
UBC,2000,W,BIOE,598, ,001,"SEMINAR","",8,86,0,86,86,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UBC,2000,W,BIOE,598, ,OVERALL,"SEMINAR"," ",11,85.67,1.53,87,84,3,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
UBC,2000,W,BIOE,599,B,001,"MASC THESIS","",7,83,0,83,83,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
UBC,2000,W,BIOE,599, ,OVERALL,"MASC THESIS"," ",7,83,0,83,83,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
