Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2000,W,CPSC,100, ,101,"ELEMENTS OF CPSC","",185,74.38,12.92,96,41,165,13,2,1,4,0,0,0,0,13,13,4,6,6,13,25,19,18,27,30,17
UBC,2000,W,CPSC,100, ,202,"ELEMENTS OF CPSC","",187,78.01,11.81,97,31,178,6,2,0,1,0,0,0,1,5,6,3,5,5,12,16,16,22,36,41,22
UBC,2000,W,CPSC,100, ,OVERALL,"ELEMENTS OF CPSC"," ",376,76.22,12.48,97,31,343,19,8,1,5,0,0,0,1,18,19,7,11,11,25,41,35,40,63,71,39
UBC,2000,W,CPSC,122, ,101,"PRINCP CPSC PROG","",146,71.34,17.41,99,28,104,22,14,1,5,0,0,2,5,15,22,0,7,8,3,9,16,17,10,16,18
UBC,2000,W,CPSC,122, ,102,"PRINCP CPSC PROG","",180,68.21,16.86,94,18,134,36,8,1,1,0,1,1,5,29,36,1,13,12,12,11,15,10,33,12,15
UBC,2000,W,CPSC,122, ,203,"PRINCP CPSC PROG","",50,72.35,13.91,92,45,40,3,4,1,2,0,0,0,0,3,3,3,2,3,4,4,5,2,6,7,4
UBC,2000,W,CPSC,122, ,204,"PRINCP CPSC PROG","",19,76.25,14.22,89,45,14,2,3,0,0,0,0,0,0,2,2,0,0,1,0,0,3,0,5,5,0
UBC,2000,W,CPSC,122, ,L1D,"PRINCP CPSC PROG","",5,,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,CPSC,122, ,T1G,"PRINCP CPSC PROG","",5,,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,CPSC,122, ,OVERALL,"PRINCP CPSC PROG"," ",442,70.18,16.7,99,18,292,63,75,4,8,0,1,3,10,49,63,4,22,24,19,24,39,29,54,40,37
UBC,2000,W,CPSC,124, ,101,"PRINCPLS CPSC I","",168,70.29,18.13,100,18,132,26,4,0,6,0,1,2,3,20,26,4,11,11,20,8,14,10,14,13,27
UBC,2000,W,CPSC,124, ,102,"PRINCPLS CPSC I","",163,71.57,17.07,100,26,131,20,8,0,4,0,0,2,6,12,20,4,10,11,10,11,16,11,21,17,20
UBC,2000,W,CPSC,124, ,T1D,"PRINCPLS CPSC I","",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,CPSC,124, ,OVERALL,"PRINCPLS CPSC I"," ",349,70.92,17.61,100,18,263,46,30,0,10,0,1,4,9,32,46,8,21,22,30,19,30,21,35,30,47
UBC,2000,W,CPSC,126, ,201,"PRINCPLS CPSC II","",141,68.89,17.89,98,0,113,15,8,0,5,3,0,0,1,11,15,6,8,13,14,14,11,10,13,9,15
UBC,2000,W,CPSC,126, ,202,"PRINCPLS CPSC II","",96,66.76,18.17,95,0,71,13,10,0,2,2,0,1,1,9,13,3,7,9,5,10,7,9,9,7,5
UBC,2000,W,CPSC,126, ,L2C,"PRINCPLS CPSC II","",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,CPSC,126, ,L2E,"PRINCPLS CPSC II","",5,,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,CPSC,126, ,L2H,"PRINCPLS CPSC II","",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,CPSC,126, ,T2B,"PRINCPLS CPSC II","",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,CPSC,126, ,T2F,"PRINCPLS CPSC II","",5,,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
