Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2000,W,EDCI,363, ,62A,"I/I CURR & INSTR","",13,88.54,3.07,95,85,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
UBC,2000,W,EDCI,363, ,OVERALL,"I/I CURR & INSTR"," ",13,88.54,3.07,95,85,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
UBC,2000,W,EDCI,396,A,377,"CURR DEV & EVAL","",13,80.38,4.54,87,75,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,4,0
UBC,2000,W,EDCI,396,A,63A,"CURR DEV & EVAL","",6,66.2,28.08,92,19,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,1
UBC,2000,W,EDCI,396, ,OVERALL,"CURR DEV & EVAL"," ",40,85.03,13.75,100,19,38,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,3,6,6,18
UBC,2000,W,EDCI,396, ,OVERALL,"CURR DEV & EVAL"," ",40,85.03,13.75,100,19,38,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,3,6,6,18
UBC,2000,W,EDCI,396,C,63H,"CURR DEV & EVAL","",13,93.62,3.73,100,89,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
UBC,2000,W,EDCI,396,C,63J,"CURR DEV & EVAL","",8,90.38,7.35,100,81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5
UBC,2000,W,EDCI,396, ,OVERALL,"CURR DEV & EVAL"," ",40,85.03,13.75,100,19,38,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,3,6,6,18
UBC,2000,W,EDCI,396, ,OVERALL,"CURR DEV & EVAL"," ",40,85.03,13.75,100,19,38,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,3,6,6,18
UBC,2000,W,EDCI,396, ,OVERALL,"CURR DEV & EVAL"," ",40,85.03,13.75,100,19,38,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,3,6,6,18
UBC,2000,W,EDCI,396, ,OVERALL,"CURR DEV & EVAL"," ",40,85.03,13.75,100,19,38,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,3,6,6,18
UBC,2000,W,EDCI,396, ,OVERALL,"CURR DEV & EVAL"," ",40,85.03,13.75,100,19,38,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,3,6,6,18
UBC,2000,W,EDCI,508,A,051,"REV RES ED MTHDS","",24,93.41,2.38,95,90,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
UBC,2000,W,EDCI,508,A,62A,"REV RES ED MTHDS","",21,87.71,2.31,92,82,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,4
UBC,2000,W,EDCI,508, ,OVERALL,"REV RES ED MTHDS"," ",64,90.64,3.21,95,82,58,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,41
UBC,2000,W,EDCI,508,B,052,"REV RES ED MTHDS","",19,90.67,0.98,92,90,15,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
UBC,2000,W,EDCI,508, ,OVERALL,"REV RES ED MTHDS"," ",64,90.64,3.21,95,82,58,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,41
UBC,2000,W,EDCI,561,A,051,"LAB PRACTICUM","",5,97,0,97,97,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,2000,W,EDCI,561, ,OVERALL,"LAB PRACTICUM"," ",5,97,0,97,97,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,2000,W,EDCI,565,A,051,"SP CRS SBJCT FLD","",14,90.93,2.84,95,87,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
UBC,2000,W,EDCI,565,A,62A,"SP CRS SBJCT FLD","",26,84.62,3.83,90,72,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,12,3
UBC,2000,W,EDCI,565, ,OVERALL,"SP CRS SBJCT FLD"," ",76,86.08,4.8,95,68,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,19,32,20
UBC,2000,W,EDCI,565,B,052,"SP CRS SBJCT FLD","",14,82.46,3.41,87,76,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,0
UBC,2000,W,EDCI,565,B,61B,"SP CRS SBJCT FLD","",22,86.86,5.01,92,68,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,13,6
UBC,2000,W,EDCI,565, ,OVERALL,"SP CRS SBJCT FLD"," ",76,86.08,4.8,95,68,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,19,32,20
UBC,2000,W,EDCI,572,A,051,"AD SEM C-F INQRY","",12,89,1.35,90,86,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
UBC,2000,W,EDCI,572,A,61A,"AD SEM C-F INQRY","",12,84.25,5.74,90,72,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,3
UBC,2000,W,EDCI,572,A,61B,"AD SEM C-F INQRY","",20,90,0,90,90,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
UBC,2000,W,EDCI,572, ,OVERALL,"AD SEM C-F INQRY"," ",54,88.83,4.04,96,72,52,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,9,38
UBC,2000,W,EDCI,572,B,052,"AD SEM C-F INQRY","",10,92.5,2.98,96,90,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UBC,2000,W,EDCI,572, ,OVERALL,"AD SEM C-F INQRY"," ",54,88.83,4.04,96,72,52,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,9,38
UBC,2000,W,EDCI,580,A,051,"PROB IN EDUC","",6,89.5,1.76,92,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
UBC,2000,W,EDCI,580, ,OVERALL,"PROB IN EDUC"," ",17,89.82,3.23,98,86,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
UBC,2000,W,EDCI,580,B,052,"PROB IN EDUC","",6,91.5,4.28,98,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
UBC,2000,W,EDCI,580,B,62A,"PROB IN EDUC","",4,87.75,2.87,92,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
UBC,2000,W,EDCI,580, ,OVERALL,"PROB IN EDUC"," ",17,89.82,3.23,98,86,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
UBC,2000,W,EDCI,580, ,OVERALL,"PROB IN EDUC"," ",17,89.82,3.23,98,86,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
UBC,2000,W,EDCI,590, ,052,"GRADUATING PAPER","",6,,,,,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,EDCI,590, ,61A,"GRADUATING PAPER","",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,EDCI,590, ,OVERALL,"GRADUATING PAPER"," ",20,,,,,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,EDCI,598,A,62A,"FIELD EXPERIENCE","",22,89.55,3.11,95,85,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16
UBC,2000,W,EDCI,598, ,OVERALL,"FIELD EXPERIENCE"," ",22,89.55,3.11,95,85,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16
UBC,2000,W,EDCI,599,C,052,"MASTER'S THESIS","",6,90,3.74,93,85,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
UBC,2000,W,EDCI,599, ,OVERALL,"MASTER'S THESIS"," ",12,90.38,3.46,95,85,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
UBC,2000,W,EDCI,601,A,051,"DOCTORAL SEM","",10,89,1.41,90,86,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
UBC,2000,W,EDCI,601, ,OVERALL,"DOCTORAL SEM"," ",36,88.91,2.39,94,82,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,20
UBC,2000,W,EDCI,601,C,052,"DOCTORAL SEM","",13,87.64,3.64,94,82,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2
UBC,2000,W,EDCI,601, ,OVERALL,"DOCTORAL SEM"," ",36,88.91,2.39,94,82,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,20
UBC,2000,W,EDCI,601,D,054,"DOCTORAL SEM","",13,90,0,90,90,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
UBC,2000,W,EDCI,601, ,OVERALL,"DOCTORAL SEM"," ",36,88.91,2.39,94,82,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,20
UBC,2000,W,EDCI,699, ,051,"DOCTORAL THESIS","",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,EDCI,699, ,OVERALL,"DOCTORAL THESIS"," ",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
