Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2000,W,FILM,230, ,001,"INTR FILM & TV","",129,74.24,11.03,92,0,120,3,6,0,0,1,0,1,0,1,3,0,1,5,7,18,27,29,22,10,1
UBC,2000,W,FILM,230, ,L01,"INTR FILM & TV","",5,,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,FILM,230, ,OVERALL,"INTR FILM & TV"," ",134,74.24,11.03,92,0,120,3,11,0,0,1,0,1,0,1,3,0,1,5,7,18,27,29,22,10,1
UBC,2000,W,FILM,233, ,002,"INTR VIDEO PROD","",15,83.6,3.94,88,73,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,9,0
UBC,2000,W,FILM,233, ,OVERALL,"INTR VIDEO PROD"," ",15,83.6,3.94,88,73,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,9,0
UBC,2000,W,FILM,330, ,001,"HISTORY OF FILM","",57,74.14,8.01,88,42,50,1,4,2,0,0,0,0,0,1,1,0,1,2,1,8,16,6,13,3,0
UBC,2000,W,FILM,330, ,99A,"HISTORY OF FILM","",25,59.62,30.31,90,0,17,4,3,0,1,4,0,0,0,0,4,0,1,0,1,5,5,1,3,0,1
UBC,2000,W,FILM,330, ,L01,"HISTORY OF FILM","",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,FILM,330, ,OVERALL,"HISTORY OF FILM"," ",86,69.9,18.66,90,0,67,5,11,2,1,4,0,0,0,1,5,0,2,2,2,13,21,7,16,3,1
UBC,2000,W,FILM,331, ,001,"STUD FILM THEORY","",15,81.87,4.6,88,74,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,6,0
UBC,2000,W,FILM,331, ,OVERALL,"STUD FILM THEORY"," ",15,81.87,4.6,88,74,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,6,0
UBC,2000,W,FILM,332, ,001,"STUD GENRE/PERIO","",24,76.13,17.09,88,0,23,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,9,9,3,0
UBC,2000,W,FILM,332, ,902,"STUD GENRE/PERIO","",10,74.5,27.59,90,0,9,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,3,3
UBC,2000,W,FILM,332, ,OVERALL,"STUD GENRE/PERIO"," ",34,75.65,20.29,90,0,32,2,0,0,0,2,0,0,0,0,2,0,0,1,2,1,0,9,10,6,3
UBC,2000,W,FILM,333, ,001,"MOTN PIC PROD I","",15,84.8,4.52,91,71,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,7,1
UBC,2000,W,FILM,333, ,OVERALL,"MOTN PIC PROD I"," ",15,84.8,4.52,91,71,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,7,1
UBC,2000,W,FILM,335, ,001,"DIRECTING","",15,83.87,4.87,90,73,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,1
UBC,2000,W,FILM,335, ,OVERALL,"DIRECTING"," ",15,83.87,4.87,90,73,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,1
UBC,2000,W,FILM,430, ,901,"STUS AUTEURISM","",29,79.69,11.91,99,53,29,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,5,5,4,7
UBC,2000,W,FILM,430, ,OVERALL,"STUS AUTEURISM"," ",29,79.69,11.91,99,53,29,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,5,5,4,7
UBC,2000,W,FILM,432, ,001,"SEM MTN PIC FORM","",6,82.17,3.31,86,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0
UBC,2000,W,FILM,432, ,OVERALL,"SEM MTN PIC FORM"," ",6,82.17,3.31,86,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0
UBC,2000,W,FILM,433, ,001,"MOTN PIC PROD II","",13,87.69,6.61,98,75,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,3
UBC,2000,W,FILM,433, ,OVERALL,"MOTN PIC PROD II"," ",13,87.69,6.61,98,75,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,3
UBC,2000,W,FILM,434,A,001,"STUDIES IN FILM","",8,69.57,30.94,88,0,6,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,1,0
UBC,2000,W,FILM,434,A,102,"STUDIES IN FILM","",4,81.25,2.5,84,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
UBC,2000,W,FILM,434, ,OVERALL,"STUDIES IN FILM"," ",27,78.39,18.04,93,0,22,1,0,3,1,1,0,0,0,0,1,0,0,0,0,1,2,3,10,3,3
UBC,2000,W,FILM,434,B,002,"STUDIES IN FILM","",10,82.44,8,93,69,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2
UBC,2000,W,FILM,434, ,OVERALL,"STUDIES IN FILM"," ",27,78.39,18.04,93,0,22,1,0,3,1,1,0,0,0,0,1,0,0,0,0,1,2,3,10,3,3
UBC,2000,W,FILM,434, ,OVERALL,"STUDIES IN FILM"," ",27,78.39,18.04,93,0,22,1,0,3,1,1,0,0,0,0,1,0,0,0,0,1,2,3,10,3,3
UBC,2000,W,FILM,434, ,OVERALL,"STUDIES IN FILM"," ",27,78.39,18.04,93,0,22,1,0,3,1,1,0,0,0,0,1,0,0,0,0,1,2,3,10,3,3
UBC,2000,W,FILM,434, ,OVERALL,"STUDIES IN FILM"," ",27,78.39,18.04,93,0,22,1,0,3,1,1,0,0,0,0,1,0,0,0,0,1,2,3,10,3,3
UBC,2000,W,FILM,437, ,001,"CAM,LIGHT& SOUND","",11,79.18,12.75,92,52,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,3,2
UBC,2000,W,FILM,437, ,OVERALL,"CAM,LIGHT& SOUND"," ",11,79.18,12.75,92,52,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,3,2
