Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2000,W,FRE ,295, ,OVERALL,"MANAGERIAL ECON"," ",6,59.5,11.54,74,44,5,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0
UBC,2000,W,FRE ,302, ,001,"Sm Bus Mgt Ag","",39,74.97,6.71,90,61,39,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,8,10,7,2,1
UBC,2000,W,FRE ,302, ,OVERALL,"Sm Bus Mgt Ag"," ",39,74.97,6.71,90,61,39,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,8,10,7,2,1
UBC,2000,W,FRE ,306, ,001,"Int Glo Food Mkt","",50,72.08,10.41,92,34,48,2,0,0,0,0,0,0,1,1,2,1,1,2,6,7,11,10,8,1,1
UBC,2000,W,FRE ,306, ,OVERALL,"Int Glo Food Mkt"," ",50,72.08,10.41,92,34,48,2,0,0,0,0,0,0,1,1,2,1,1,2,6,7,11,10,8,1,1
UBC,2000,W,FRE ,340, ,001,"Inter Agri Dev","",35,72.06,9.62,86,36,34,1,0,0,0,0,0,0,1,0,1,0,1,2,5,7,6,4,8,1,0
UBC,2000,W,FRE ,340, ,OVERALL,"Inter Agri Dev"," ",35,72.06,9.62,86,36,34,1,0,0,0,0,0,0,1,0,1,0,1,2,5,7,6,4,8,1,0
UBC,2000,W,FRE ,374, ,001,"Land Econ","",8,75.25,11.09,88,57,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,1,0
UBC,2000,W,FRE ,374, ,OVERALL,"Land Econ"," ",8,75.25,11.09,88,57,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,1,0
UBC,2000,W,FRE ,420, ,001,"Tr Dom Pol Pro","",16,73.5,7.4,91,63,16,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,2,2,0,1
UBC,2000,W,FRE ,420, ,OVERALL,"Tr Dom Pol Pro"," ",16,73.5,7.4,91,63,16,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,2,2,0,1
UBC,2000,W,FRE ,475, ,001,"Reg Food Safety","",18,76.39,8.81,90,55,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,1,5,1,2
UBC,2000,W,FRE ,475, ,OVERALL,"Reg Food Safety"," ",18,76.39,8.81,90,55,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,1,5,1,2
