Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2000,W,INDS,501, ,101,"INST SKILLS WKSH","",49,,,,,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,INDS,501, ,OVERALL,"INST SKILLS WKSH"," ",51,,,,,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,INDS,502, ,OVERALL,"INTERFACULTY THM"," ",26,80.19,18.86,92,0,20,1,1,4,0,1,0,0,0,0,1,0,0,0,0,0,1,2,5,11,1
UBC,2000,W,INDS,502, ,OVERALL,"INTERFACULTY THM"," ",26,80.19,18.86,92,0,20,1,1,4,0,1,0,0,0,0,1,0,0,0,0,0,1,2,5,11,1
UBC,2000,W,INDS,502, ,OVERALL,"INTERFACULTY THM"," ",26,80.19,18.86,92,0,20,1,1,4,0,1,0,0,0,0,1,0,0,0,0,0,1,2,5,11,1
UBC,2000,W,INDS,502,Q,002,"INTERFACULTY THM","",16,78.64,26.22,92,0,10,1,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,7,1
UBC,2000,W,INDS,502, ,OVERALL,"INTERFACULTY THM"," ",26,80.19,18.86,92,0,20,1,1,4,0,1,0,0,0,0,1,0,0,0,0,0,1,2,5,11,1
UBC,2000,W,INDS,502,S,007,"INTERFACULTY THM","",10,81.9,4.51,88,75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0
UBC,2000,W,INDS,502, ,OVERALL,"INTERFACULTY THM"," ",26,80.19,18.86,92,0,20,1,1,4,0,1,0,0,0,0,1,0,0,0,0,0,1,2,5,11,1
UBC,2000,W,INDS,549,B,001,"MASTERS THESIS","",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,INDS,549, ,OVERALL,"MASTERS THESIS"," ",7,88,0,88,88,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UBC,2000,W,INDS,649, ,001,"PHD THESIS","",59,,,,,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,INDS,649, ,OVERALL,"PHD THESIS"," ",64,,,,,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
