Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2000,W,ISCI,311, ,101,"SIZE OF THINGS","",43,84.79,5.32,96,73,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,14,13,8
UBC,2000,W,ISCI,311, ,OVERALL,"SIZE OF THINGS"," ",43,84.79,5.32,96,73,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,14,13,8
UBC,2000,W,ISCI,320, ,201,"INTRDSC SC FLD","",31,80.35,15.64,93,0,30,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,13,8,3
UBC,2000,W,ISCI,320, ,OVERALL,"INTRDSC SC FLD"," ",31,80.35,15.64,93,0,30,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,13,8,3
UBC,2000,W,ISCI,322, ,101,"SCIE MEAS&INSTR","",25,81.92,2.34,85,77,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,5,0
UBC,2000,W,ISCI,322, ,OVERALL,"SCIE MEAS&INSTR"," ",25,81.92,2.34,85,77,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,5,0
UBC,2000,W,ISCI,333, ,201,"PRN BIO&ART C SY","",27,83,2.76,88,78,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,11,0
UBC,2000,W,ISCI,333, ,OVERALL,"PRN BIO&ART C SY"," ",27,83,2.76,88,78,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,11,0
UBC,2000,W,ISCI,411, ,001,"Sci Uncert Risk","",29,84.52,8.72,95,50,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,10,6,9
UBC,2000,W,ISCI,411, ,OVERALL,"Sci Uncert Risk"," ",29,84.52,8.72,95,50,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,10,6,9
