Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2000,W,PHIL,100, ,001,"INTRO TO PHIL","",103,72.71,10.4,91,14,96,3,4,0,0,0,1,0,0,2,3,2,3,4,8,14,21,20,16,6,2
UBC,2000,W,PHIL,100, ,002,"INTRO TO PHIL","",68,71,14.26,88,0,63,3,2,0,0,1,0,2,0,0,3,3,1,3,3,2,20,17,11,3,0
UBC,2000,W,PHIL,100, ,901,"INTRO TO PHIL","",36,74.29,6.34,90,60,31,0,5,0,0,0,0,0,0,0,0,0,0,1,2,5,12,3,5,2,1
UBC,2000,W,PHIL,100, ,OVERALL,"INTRO TO PHIL"," ",207,72.38,11.38,91,0,190,6,11,0,0,1,1,2,0,2,6,5,4,8,13,21,53,40,32,11,3
UBC,2000,W,PHIL,120, ,001,"LOG & CRIT THINK","",126,75.31,16,96,0,114,7,5,0,0,1,0,2,2,2,7,5,3,3,10,8,13,15,20,21,16
UBC,2000,W,PHIL,120, ,002,"LOG & CRIT THINK","",143,80.33,13.68,99,30,137,4,0,0,2,0,0,0,3,1,4,4,2,6,5,11,10,9,24,24,42
UBC,2000,W,PHIL,120, ,003,"LOG & CRIT THINK","",274,84.68,7.62,98,51,271,0,3,0,0,0,0,0,0,0,0,1,0,3,7,5,10,28,61,81,75
UBC,2000,W,PHIL,120, ,004,"LOG & CRIT THINK","",96,79.9,12.13,96,28,92,1,3,0,0,0,0,1,0,0,1,2,2,3,7,7,4,8,22,15,22
UBC,2000,W,PHIL,120, ,006,"LOG & CRIT THINK","",105,69.14,20.5,97,0,89,11,5,0,0,4,0,1,2,4,11,6,6,8,8,4,8,18,11,6,14
UBC,2000,W,PHIL,120, ,007,"LOG & CRIT THINK","",75,69.53,21.93,97,0,61,11,3,0,0,2,1,2,2,4,11,4,2,5,3,3,6,10,8,9,11
UBC,2000,W,PHIL,120, ,901,"LOG & CRIT THINK","",76,73.36,12.21,96,38,71,2,3,0,0,0,0,0,1,1,2,3,4,6,7,7,11,11,10,7,5
UBC,2000,W,PHIL,120, ,902,"LOG & CRIT THINK","",113,75.7,11.86,95,35,107,3,0,0,3,0,0,0,1,2,3,4,2,4,5,15,15,11,23,15,13
UBC,2000,W,PHIL,120, ,99A,"LOG & CRIT THINK","",20,77.9,8.8,91,66,10,0,4,0,6,0,0,0,0,0,0,0,0,0,2,1,1,0,4,1,1
UBC,2000,W,PHIL,120, ,99B,"LOG & CRIT THINK","",9,,,,,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2000,W,PHIL,120, ,99C,"LOG & CRIT THINK","",14,,,,,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
