Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2001,S,MATH,100, ,921,"DF CALC AP PH SC","",63,63.9,22.07,98,0,49,10,3,1,0,3,1,0,3,3,10,4,2,8,7,4,6,4,6,3,5
UBC,2001,S,MATH,100, ,OVERALL,"DF CALC AP PH SC"," ",63,63.9,22.07,98,0,49,10,3,1,0,3,1,0,3,3,10,4,2,8,7,4,6,4,6,3,5
UBC,2001,S,MATH,101, ,921,"INT CALC AP PH S","",59,64.88,17,93,0,43,8,5,0,3,1,0,1,0,6,8,1,5,6,4,8,5,4,7,1,2
UBC,2001,S,MATH,101, ,922,"INT CALC AP PH S","",46,70.25,16.28,99,40,35,5,3,0,3,0,0,0,0,5,5,3,2,4,3,3,2,2,5,9,2
UBC,2001,S,MATH,101, ,923,"INT CALC AP PH S","",66,68.79,15.96,97,28,58,5,3,0,0,0,0,1,3,1,5,5,8,8,4,5,8,2,6,4,8
UBC,2001,S,MATH,101, ,OVERALL,"INT CALC AP PH S"," ",171,67.88,16.43,99,0,136,18,11,0,6,1,0,2,3,12,18,9,15,18,11,16,15,8,18,14,12
UBC,2001,S,MATH,104, ,921,"DFF CALC AP C&SS","",50,71.69,16.59,99,34,43,5,0,0,2,0,0,0,3,2,5,3,3,1,3,8,4,3,4,6,8
UBC,2001,S,MATH,104, ,922,"DFF CALC AP C&SS","",56,64.5,17.58,99,24,47,9,0,0,0,0,0,1,1,7,9,9,5,7,4,4,2,2,4,3,7
UBC,2001,S,MATH,104, ,OVERALL,"DFF CALC AP C&SS"," ",106,67.82,17.42,99,24,90,14,0,0,2,0,0,1,4,9,14,12,8,8,7,12,6,5,8,9,15
UBC,2001,S,MATH,105, ,921,"INT CALC AP C&SS","",72,66.48,20.63,99,0,57,10,4,0,1,2,0,2,3,3,10,4,5,6,6,8,7,3,3,7,8
UBC,2001,S,MATH,105, ,922,"INT CALC AP C&SS","",65,68.83,19.88,96,0,58,6,1,0,0,3,0,0,0,3,6,5,4,5,4,3,8,3,17,3,6
UBC,2001,S,MATH,105, ,OVERALL,"INT CALC AP C&SS"," ",137,67.63,20.22,99,0,115,16,5,0,1,5,0,2,3,6,16,9,9,11,10,11,15,6,20,10,14
UBC,2001,S,MATH,200, ,921,"CALCULUS 3","",85,73.84,18.35,99,0,75,5,5,0,0,1,0,0,3,1,5,3,5,2,11,10,4,5,8,8,19
UBC,2001,S,MATH,200, ,922,"CALCULUS 3","",93,82.8,15.62,100,0,90,2,1,0,0,1,0,1,0,0,2,1,2,0,6,5,3,10,9,19,35
UBC,2001,S,MATH,200, ,951,"CALCULUS 3","",57,74.3,15.37,99,32,51,3,0,0,3,0,0,0,2,1,3,3,3,3,5,3,8,4,9,3,10
UBC,2001,S,MATH,200, ,952,"CALCULUS 3","",76,72.86,12.42,94,45,71,2,2,0,1,0,0,0,0,2,2,1,10,6,4,12,5,11,6,9,7
UBC,2001,S,MATH,200, ,OVERALL,"CALCULUS 3"," ",311,76.44,16.16,100,0,287,12,8,0,4,2,0,1,5,4,12,8,20,11,26,30,20,30,32,39,71
UBC,2001,S,MATH,215, ,921,"ELEM DIFF EQ I","",58,62.18,16.81,96,0,48,7,1,0,2,2,0,0,0,5,7,7,6,6,6,6,9,2,4,0,2
