Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2001,S,MUSC,103, ,921,"INTRO MUSC THRY","",54,82.42,10.25,96,46,51,1,1,0,1,0,0,0,0,1,1,0,1,0,4,1,3,5,10,13,14
UBC,2001,S,MUSC,103, ,OVERALL,"INTRO MUSC THRY"," ",54,82.42,10.25,96,46,51,1,1,0,1,0,0,0,0,1,1,0,1,0,4,1,3,5,10,13,14
UBC,2001,S,MUSC,300, ,921,"CMP&ANL AP M MOD","",33,79.45,13.73,95,33,31,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,3,8,6,7,6
UBC,2001,S,MUSC,300, ,OVERALL,"CMP&ANL AP M MOD"," ",33,79.45,13.73,95,33,31,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,3,8,6,7,6
UBC,2001,S,MUSC,301, ,921,"CMP&ANL AP M TDY","",28,79.07,9.33,93,55,28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,5,8,6,2
UBC,2001,S,MUSC,301, ,OVERALL,"CMP&ANL AP M TDY"," ",28,79.07,9.33,93,55,28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,5,8,6,2
UBC,2001,S,MUSC,326,A,921,"MUSIC APPRECIATN","",32,78.71,11.87,95,37,30,1,1,0,0,0,0,0,1,0,1,0,0,2,1,3,2,7,4,6,5
UBC,2001,S,MUSC,326, ,OVERALL,"MUSIC APPRECIATN"," ",65,74.95,19.8,95,0,40,3,2,0,20,2,0,0,1,0,3,0,0,2,2,4,3,7,9,8,5
UBC,2001,S,MUSC,326,C,98Z,"MUSIC APPRECIATN","",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,S,MUSC,326,C,GIS,"MUSIC APPRECIATN","",27,65.25,31.15,86,0,10,2,1,0,14,2,0,0,0,0,2,0,0,0,1,1,1,0,5,2,0
UBC,2001,S,MUSC,326, ,OVERALL,"MUSIC APPRECIATN"," ",65,74.95,19.8,95,0,40,3,2,0,20,2,0,0,1,0,3,0,0,2,2,4,3,7,9,8,5
UBC,2001,S,MUSC,328, ,951,"WRLD MUSC CULTUR","",23,82,6.3,92,68,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7,6,3
UBC,2001,S,MUSC,328, ,OVERALL,"WRLD MUSC CULTUR"," ",23,82,6.3,92,68,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7,6,3
UBC,2001,S,MUSC,512, ,OVERALL,"INDIVDL STUDIES"," ",4,90,2.83,92,88,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UBC,2001,S,MUSC,512, ,OVERALL,"INDIVDL STUDIES"," ",4,90,2.83,92,88,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UBC,2001,S,MUSC,549,A,941,"MASTERS THESIS","",11,,,,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,S,MUSC,549, ,OVERALL,"MASTERS THESIS"," ",12,74,0,74,74,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UBC,2001,S,MUSC,649, ,941,"DOCTORAL THESIS","",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,S,MUSC,649, ,OVERALL,"DOCTORAL THESIS"," ",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
