Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2001,S,PHYS,100, ,951,"INTRO PHYSICS","",39,72.11,12.71,93,37,35,1,2,1,0,0,0,0,1,0,1,2,4,1,2,6,6,3,5,3,3
UBC,2001,S,PHYS,100, ,OVERALL,"INTRO PHYSICS"," ",42,72.11,12.71,93,37,35,1,4,2,0,0,0,0,1,0,1,2,4,1,2,6,6,3,5,3,3
UBC,2001,S,PHYS,101, ,921,"ELEM PHYSICS I","",105,77.83,9.85,96,26,101,1,3,0,0,0,0,1,0,0,1,0,1,4,5,8,18,16,22,17,10
UBC,2001,S,PHYS,101, ,OVERALL,"ELEM PHYSICS I"," ",107,77.83,9.85,96,26,101,1,5,0,0,0,0,1,0,0,1,0,1,4,5,8,18,16,22,17,10
UBC,2001,S,PHYS,102, ,951,"ELEM PHYSICS II","",70,73.87,10.16,94,40,67,2,1,0,0,0,0,0,0,2,2,1,1,4,7,11,12,3,21,5,2
UBC,2001,S,PHYS,102, ,OVERALL,"ELEM PHYSICS II"," ",71,73.87,10.16,94,40,67,2,2,0,0,0,0,0,0,2,2,1,1,4,7,11,12,3,21,5,2
UBC,2001,S,PHYS,250, ,941,"INTR MODERN PHYS","",41,77,11.76,100,54,41,0,0,0,0,0,0,0,0,0,0,1,2,3,4,3,4,3,8,7,6
UBC,2001,S,PHYS,250, ,OVERALL,"INTR MODERN PHYS"," ",41,77,11.76,100,54,41,0,0,0,0,0,0,0,0,0,0,1,2,3,4,3,4,3,8,7,6
UBC,2001,S,PHYS,252, ,941,"INTR EXPMTL TECH","",41,85.88,4.39,97,77,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,15,8
UBC,2001,S,PHYS,252, ,OVERALL,"INTR EXPMTL TECH"," ",41,85.88,4.39,97,77,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,15,8
UBC,2001,S,PHYS,253, ,941," ","",42,88.71,8.11,100,70,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,12,17
UBC,2001,S,PHYS,253, ,OVERALL," "," ",42,88.71,8.11,100,70,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,12,17
UBC,2001,S,PHYS,270, ,941,"MECHANICS II","",40,92.98,5.65,100,76,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,31
UBC,2001,S,PHYS,270, ,OVERALL,"MECHANICS II"," ",40,92.98,5.65,100,76,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,31
UBC,2001,S,PHYS,298, ,94A,"WORK PLACMNT I","",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,S,PHYS,298, ,OVERALL,"WORK PLACMNT I"," ",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,S,PHYS,299, ,94A,"WORK PLACMNT II","",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,S,PHYS,299, ,OVERALL,"WORK PLACMNT II"," ",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,S,PHYS,399, ,94A,"WORK PLACMNT III","",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,S,PHYS,399, ,OVERALL,"WORK PLACMNT III"," ",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,S,PHYS,499, ,94A,"WORK PLACMNT V","",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,S,PHYS,499, ,OVERALL,"WORK PLACMNT V"," ",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,S,PHYS,549, ,941,"MASTERS THESIS","",27,85,0,85,85,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UBC,2001,S,PHYS,549, ,OVERALL,"MASTERS THESIS"," ",28,86,1.41,87,85,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
UBC,2001,S,PHYS,649, ,941,"PHD THESIS","",44,,,,,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,S,PHYS,649, ,OVERALL,"PHD THESIS"," ",46,,,,,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
