Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2001,W,APSC,110, ,604,"COOP WORK PLCMNT","",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,W,APSC,110, ,606,"COOP WORK PLCMNT","",39,,,,,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,W,APSC,110, ,612,"COOP WORK PLCMNT","",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,W,APSC,110, ,613,"COOP WORK PLCMNT","",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,W,APSC,110, ,615,"COOP WORK PLCMNT","",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,W,APSC,110, ,OVERALL,"COOP WORK PLCMNT"," ",97,,,,,0,0,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,W,APSC,121, ,101,"SOCIETY & ENGINR","",638,,,,,0,0,2,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,W,APSC,121, ,OVERALL,"SOCIETY & ENGINR"," ",638,,,,,0,0,2,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,W,APSC,122, ,201,"INTRO ENGINEER","",513,,,,,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,W,APSC,122, ,OVERALL,"INTRO ENGINEER"," ",513,,,,,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,W,APSC,150, ,201,"Eng Case Stud","",149,75.56,8.58,92,32,147,2,0,0,0,0,0,0,1,1,2,2,2,2,10,20,26,24,47,11,3
UBC,2001,W,APSC,150, ,202,"Eng Case Stud","",145,76.74,8.92,94,18,143,2,0,0,0,0,1,0,0,1,2,1,3,3,4,9,25,33,47,15,3
UBC,2001,W,APSC,150, ,203,"Eng Case Stud","",173,76.27,8.24,91,46,170,1,1,0,1,0,0,0,0,1,1,1,4,6,9,23,37,26,34,25,5
UBC,2001,W,APSC,150, ,OVERALL,"Eng Case Stud"," ",468,76.19,8.56,94,18,460,5,2,0,1,0,1,0,1,3,5,4,9,11,23,52,88,83,128,51,11
UBC,2001,W,APSC,151, ,101,"COMP AIDED GRAPH","",82,68.65,12.71,96,16,74,5,3,0,0,0,1,0,0,4,5,4,6,9,7,15,12,6,8,4,3
UBC,2001,W,APSC,151, ,OVERALL,"COMP AIDED GRAPH"," ",85,68.65,12.71,96,16,74,5,6,0,0,0,1,0,0,4,5,4,6,9,7,15,12,6,8,4,3
UBC,2001,W,APSC,201, ,101,"TECHNICAL COMMUN","",128,62.34,12.8,85,35,88,33,4,0,3,0,0,0,4,29,33,3,10,13,9,17,15,10,10,1,0
UBC,2001,W,APSC,201, ,102,"TECHNICAL COMMUN","",106,63.84,12.65,87,18,84,19,3,0,0,0,1,0,1,17,19,4,10,11,12,22,6,4,13,2,0
UBC,2001,W,APSC,201, ,201,"TECHNICAL COMMUN","",142,68.25,12.07,86,16,128,13,1,0,0,0,1,0,1,11,13,5,13,10,17,17,19,21,21,5,0
UBC,2001,W,APSC,201, ,202,"TECHNICAL COMMUN","",125,66.62,15.02,85,0,106,19,0,0,0,2,1,0,2,14,19,3,3,6,17,22,20,20,11,4,0
UBC,2001,W,APSC,201, ,OVERALL,"TECHNICAL COMMUN"," ",509,65.45,13.34,87,0,406,84,16,0,3,2,3,0,8,71,84,15,36,40,55,78,60,55,55,12,0
UBC,2001,W,APSC,210, ,603,"COOP WORK PLCMNT","",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2001,W,APSC,210, ,604,"COOP WORK PLCMNT","",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
