Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2001,W,BAAC,500, ,002,"FINANCIAL REPT'G","",58,79.83,6.85,94,62,58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,9,7,22,11,3
UBC,2001,W,BAAC,500, ,610,"FINANCIAL REPT'G","",14,81.43,6.68,90,70,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,7,1
UBC,2001,W,BAAC,500, ,OVERALL,"FINANCIAL REPT'G"," ",72,80.14,6.8,94,62,72,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,13,7,23,18,4
UBC,2001,W,BAAC,501, ,001,"FIN STMT ANLY I","",42,85.76,4.35,96,76,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,21,6
UBC,2001,W,BAAC,501, ,OVERALL,"FIN STMT ANLY I"," ",42,85.76,4.35,96,76,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,21,6
UBC,2001,W,BAAC,502, ,001,"FIN STMT ANLY II","",22,86.36,4.33,92,75,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,6,7
UBC,2001,W,BAAC,502, ,OVERALL,"FIN STMT ANLY II"," ",22,86.36,4.33,92,75,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,6,7
UBC,2001,W,BAAC,510, ,001,"COST ANL DEC MKG","",40,78.85,9.63,95,39,39,1,0,0,0,0,0,0,1,0,1,0,0,0,1,7,1,6,16,5,3
UBC,2001,W,BAAC,510, ,OVERALL,"COST ANL DEC MKG"," ",40,78.85,9.63,95,39,39,1,0,0,0,0,0,0,1,0,1,0,0,0,1,7,1,6,16,5,3
UBC,2001,W,BAAC,521, ,002,"TAX&DEC MAK'G II","",22,82.18,5.46,91,74,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,8,2
UBC,2001,W,BAAC,521, ,OVERALL,"TAX&DEC MAK'G II"," ",22,82.18,5.46,91,74,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,8,2
