Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2001,W,BAMA,500, ,001,"MRKT DEC MAKING","",36,87.31,4.8,96,75,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,15,13
UBC,2001,W,BAMA,500, ,002,"MRKT DEC MAKING","",9,84.33,3.84,89,80,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0
UBC,2001,W,BAMA,500, ,OVERALL,"MRKT DEC MAKING"," ",45,86.71,4.74,96,75,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,19,13
UBC,2001,W,BAMA,501, ,001,"PRICING","",37,78.68,5.09,87,71,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,12,7,0
UBC,2001,W,BAMA,501, ,OVERALL,"PRICING"," ",37,78.68,5.09,87,71,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,12,7,0
UBC,2001,W,BAMA,506, ,001,"BUYER BEHAVIOUR","",28,84.36,4.47,95,75,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,8,5
UBC,2001,W,BAMA,506, ,OVERALL,"BUYER BEHAVIOUR"," ",28,84.36,4.47,95,75,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,8,5
UBC,2001,W,BAMA,507, ,001,"CREATVE MRKT STR","",39,80.29,8.14,95,59,38,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,5,6,9,9,4
UBC,2001,W,BAMA,507, ,OVERALL,"CREATVE MRKT STR"," ",39,80.29,8.14,95,59,38,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,5,6,9,9,4
UBC,2001,W,BAMA,508, ,001,"MRKT RESEARCH","",30,82.67,6.88,97,71,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,10,3,6
UBC,2001,W,BAMA,508, ,OVERALL,"MRKT RESEARCH"," ",30,82.67,6.88,97,71,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,10,3,6
UBC,2001,W,BAMA,512, ,001,"Database Mkt","",29,83.86,5.91,99,76,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,9,4
UBC,2001,W,BAMA,512, ,OVERALL,"Database Mkt"," ",29,83.86,5.91,99,76,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,9,4
UBC,2001,W,BAMA,580, ,001,"TPCS MARKETING","",25,83.68,5.66,94,69,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,10,3
UBC,2001,W,BAMA,580, ,OVERALL,"TPCS MARKETING"," ",25,83.68,5.66,94,69,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,10,3
