Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2001,W,GERM,131, ,001,"BEGIN GERM 1","",26,77.83,20.21,95,0,23,1,1,0,1,1,0,0,0,0,1,2,0,0,0,2,1,3,2,6,7
UBC,2001,W,GERM,131, ,002,"BEGIN GERM 1","",29,84.43,15.14,100,26,27,1,1,0,0,0,0,1,0,0,1,0,0,0,3,0,1,2,2,7,12
UBC,2001,W,GERM,131, ,003,"BEGIN GERM 1","",25,92.65,5.52,99,77,23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,17
UBC,2001,W,GERM,131, ,004,"BEGIN GERM 1","",24,87.57,9.51,97,58,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,7,11
UBC,2001,W,GERM,131, ,005,"BEGIN GERM 1","",32,90.25,8.29,99,56,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,7,20
UBC,2001,W,GERM,131, ,006,"BEGIN GERM 1","",25,87.68,5.1,97,77,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,11
UBC,2001,W,GERM,131, ,007,"BEGIN GERM 1","",30,86.66,10.91,98,59,29,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,5,3,15
UBC,2001,W,GERM,131, ,008,"BEGIN GERM 1","",27,84,11.22,99,57,26,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,4,3,12
UBC,2001,W,GERM,131, ,009,"BEGIN GERM 1","",24,84.13,10.07,100,60,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,4,5,9
UBC,2001,W,GERM,131, ,011,"BEGIN GERM 1","",25,84.65,10.38,94,51,23,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6,6,8
UBC,2001,W,GERM,131, ,012,"BEGIN GERM 1","",29,88.67,9.29,98,55,27,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,4,16
UBC,2001,W,GERM,131, ,013,"BEGIN GERM 1","",21,90.55,6.39,99,79,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,13
UBC,2001,W,GERM,131, ,901,"BEGIN GERM 1","",23,81,9.21,94,61,21,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,7,3,5
UBC,2001,W,GERM,131, ,902,"BEGIN GERM 1","",28,75.15,24.67,96,0,24,3,0,1,0,2,0,0,0,1,3,0,0,1,1,1,3,3,3,5,7
UBC,2001,W,GERM,131, ,903,"BEGIN GERM 1","",23,83.18,9.4,99,61,22,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,6,6,6
UBC,2001,W,GERM,131, ,OVERALL,"BEGIN GERM 1"," ",391,85.25,12.94,100,0,369,5,11,5,1,3,0,1,0,1,5,3,5,7,8,10,13,20,59,75,169
UBC,2001,W,GERM,132, ,001,"BEGIN GERM 2","",18,78.89,10.87,95,51,18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,1,4,5,2
UBC,2001,W,GERM,132, ,002,"BEGIN GERM 2","",20,73.25,7.71,87,62,20,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,3,4,2,2,0
UBC,2001,W,GERM,132, ,003,"BEGIN GERM 2","",22,79.7,22.08,97,0,19,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,4,1,4,7
UBC,2001,W,GERM,132, ,004,"BEGIN GERM 2","",20,76.5,20.56,95,0,19,1,0,0,0,1,0,0,0,0,1,0,0,1,1,2,2,1,3,4,5
UBC,2001,W,GERM,132, ,005,"BEGIN GERM 2","",24,79.67,13.46,95,37,23,1,0,0,0,0,0,0,1,0,1,0,1,1,0,2,1,3,5,5,5
UBC,2001,W,GERM,132, ,006,"BEGIN GERM 2","",19,83.72,12.6,99,51,18,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,3,2,8
UBC,2001,W,GERM,132, ,008,"BEGIN GERM 2","",17,74.5,17.28,97,36,14,2,1,0,0,0,0,0,1,1,2,0,1,0,1,2,0,3,2,2,3
UBC,2001,W,GERM,132, ,009,"BEGIN GERM 2","",12,82.67,18.12,95,29,11,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2,6
UBC,2001,W,GERM,132, ,010,"BEGIN GERM 2","",15,84.14,10.21,96,67,14,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,5,5
UBC,2001,W,GERM,132, ,901,"BEGIN GERM 2","",18,80.59,12.73,97,51,17,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,4,1,5
UBC,2001,W,GERM,132, ,902,"BEGIN GERM 2","",14,78.93,13.12,95,53,14,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,4,0,4
UBC,2001,W,GERM,132, ,903,"BEGIN GERM 2","",18,80.94,10.41,99,63,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,3,1,6
UBC,2001,W,GERM,132, ,OVERALL,"BEGIN GERM 2"," ",217,79.25,14.73,99,0,205,6,5,1,0,2,0,1,2,1,6,5,4,6,13,13,16,27,32,33,56
