Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,GENE,501, ,001,"GENETICS","",11,89.27,2.41,90,82,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
UBC,2002,W,GENE,501, ,OVERALL,"GENETICS"," ",11,89.27,2.41,90,82,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
UBC,2002,W,GENE,502, ,001,"GENETICS","Brock, Hugh",15,88.13,4.47,95,77,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,5
UBC,2002,W,GENE,502, ,OVERALL,"GENETICS"," ",15,88.13,4.47,95,77,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,5
UBC,2002,W,GENE,549,C,001,"MASTERS THESIS","Rose, Ann",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,GENE,549,C,002,"MASTERS THESIS","Rose, Ann",9,86.5,2.12,88,85,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
UBC,2002,W,GENE,549, ,OVERALL,"MASTERS THESIS"," ",27,86.5,2.12,88,85,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
UBC,2002,W,GENE,649, ,001,"PHD THESIS","Rose, Ann",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,GENE,649, ,003,"PHD THESIS","Rose, Ann",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,GENE,649, ,OVERALL,"PHD THESIS"," ",33,,,,,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
