Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,HCEP,400, ,001,"STATS HEALTH SC","Wong, Hubert",35,76.52,14.11,95,37,30,1,1,0,3,0,0,0,1,0,1,1,1,4,0,1,4,4,4,4,7
UBC,2002,W,HCEP,400, ,OVERALL,"STATS HEALTH SC"," ",35,76.52,14.11,95,37,30,1,1,0,3,0,0,0,1,0,1,1,1,4,0,1,4,4,4,4,7
UBC,2002,W,HCEP,500, ,002,"AN METH EPID RES","Sobolev, Boris",21,91.11,2.7,96,86,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12
UBC,2002,W,HCEP,500, ,OVERALL,"AN METH EPID RES"," ",21,91.11,2.7,96,86,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12
UBC,2002,W,HCEP,501, ,001,"ANA LONG DATA","MacNab, Ying",19,,,,,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,HCEP,501, ,OVERALL,"ANA LONG DATA"," ",19,,,,,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,HCEP,502, ,001,"EPID METH 1","Janssen, Patricia",46,79.49,9.12,96,52,39,0,0,3,4,0,0,0,0,0,0,1,1,0,1,2,6,9,6,10,3
UBC,2002,W,HCEP,502, ,OVERALL,"EPID METH 1"," ",46,79.49,9.12,96,52,39,0,0,3,4,0,0,0,0,0,0,1,1,0,1,2,6,9,6,10,3
UBC,2002,W,HCEP,503, ,001,"EPIDEM METHDS II","Levy, Adrian",23,83.91,7.11,93,70,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,9,5
UBC,2002,W,HCEP,503, ,OVERALL,"EPIDEM METHDS II"," ",23,83.91,7.11,93,70,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,9,5
UBC,2002,W,HCEP,504, ,001,"APPL EPIDMLGY MT","Kennedy, Susan M",10,84.44,3.61,88,78,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0
UBC,2002,W,HCEP,504, ,OVERALL,"APPL EPIDMLGY MT"," ",10,84.44,3.61,88,78,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0
UBC,2002,W,HCEP,505, ,001,"SC EPIDMLGY THNK","Mathias, Richard G",25,83.13,6.02,95,75,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,7,6
UBC,2002,W,HCEP,505, ,OVERALL,"SC EPIDMLGY THNK"," ",25,83.13,6.02,95,75,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,7,6
UBC,2002,W,HCEP,506, ,001,"INTRO ECON EVALU","Anis, Aslam;Lovato, Chris",25,84.04,5.97,93,66,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,8,4
UBC,2002,W,HCEP,506, ,OVERALL,"INTRO ECON EVALU"," ",25,84.04,5.97,93,66,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,8,4
UBC,2002,W,HCEP,507, ,001,"MSC RESEARCH SEM","Koehoorn, Mieke",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,HCEP,507, ,OVERALL,"MSC RESEARCH SEM"," ",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,HCEP,510, ,001,"MEAS HEALTH CARE","Teschke, Kay",11,87.25,4.03,92,80,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3
UBC,2002,W,HCEP,510, ,OVERALL,"MEAS HEALTH CARE"," ",11,87.25,4.03,92,80,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3
UBC,2002,W,HCEP,511, ,002,"CANCER EPID","Spinelli, John",4,83.33,3.06,86,80,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
UBC,2002,W,HCEP,511, ,OVERALL,"CANCER EPID"," ",4,83.33,3.06,86,80,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
UBC,2002,W,HCEP,512, ,001,"DSGN CLIN TRIAL","Singer, Joel",24,87.28,4.53,94,74,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,5
UBC,2002,W,HCEP,512, ,OVERALL,"DSGN CLIN TRIAL"," ",24,87.28,4.53,94,74,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,5
UBC,2002,W,HCEP,513, ,001,"CLIN EPID","Schechter, Martin",20,81.35,4.64,90,73,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,4,1
UBC,2002,W,HCEP,513, ,OVERALL,"CLIN EPID"," ",20,81.35,4.64,90,73,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,4,1
UBC,2002,W,HCEP,515, ,002,"DEMO PRIN HEALTH","HOGG, ROBERT",10,87.9,3,95,84,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2
UBC,2002,W,HCEP,515, ,OVERALL,"DEMO PRIN HEALTH"," ",10,87.9,3,95,84,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2
UBC,2002,W,HCEP,520, ,001,"CNTRL COM DIS","Patrick, David",12,84.7,4.45,93,79,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1
UBC,2002,W,HCEP,520, ,OVERALL,"CNTRL COM DIS"," ",12,84.7,4.45,93,79,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1
UBC,2002,W,HCEP,521, ,001,"SOC ECON & HLTH","Povey, W George",26,86.84,4.19,96,82,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,6
UBC,2002,W,HCEP,521, ,OVERALL,"SOC ECON & HLTH"," ",26,86.84,4.19,96,82,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,6
UBC,2002,W,HCEP,522, ,001,"TPS ENVIRON HLTH","Copes, Raymond Aldel",6,83.67,4.27,90,78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1
UBC,2002,W,HCEP,522, ,OVERALL,"TPS ENVIRON HLTH"," ",6,83.67,4.27,90,78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1
UBC,2002,W,HCEP,529, ,001,"MAJOR ESSAY","",8,,,,,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,HCEP,529, ,OVERALL,"MAJOR ESSAY"," ",12,,,,,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,HCEP,532, ,002,"RISK ASMT & COM","Kennedy, Susan M",12,81.83,2.52,86,78,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0
UBC,2002,W,HCEP,532, ,OVERALL,"RISK ASMT & COM"," ",12,81.83,2.52,86,78,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0
UBC,2002,W,HCEP,533, ,901,"OCC & ENV TOX","Van Netten, Christiaan",8,77,7.05,90,68,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,1
UBC,2002,W,HCEP,533, ,OVERALL,"OCC & ENV TOX"," ",8,77,7.05,90,68,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,1
UBC,2002,W,HCEP,534, ,901,"CURR TOP TOX","Van Netten, Christiaan",6,87.4,2.97,92,84,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
UBC,2002,W,HCEP,534, ,OVERALL,"CURR TOP TOX"," ",6,87.4,2.97,92,84,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
UBC,2002,W,HCEP,542, ,001,"SEM CAN HLTH POL","*Barer, Morris L",10,80.9,6.51,89,65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,0
UBC,2002,W,HCEP,542, ,OVERALL,"SEM CAN HLTH POL"," ",10,80.9,6.51,89,65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,0
UBC,2002,W,HCEP,544, ,002,"SOC DET POP HLTH","Ostry, Aleck",4,90.75,1.71,93,89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,2002,W,HCEP,544, ,OVERALL,"SOC DET POP HLTH"," ",4,90.75,1.71,93,89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,2002,W,HCEP,546, ,901,"COM HLTH PROM","Shoveller, Jean",5,87,1.15,88,86,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
