Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,IHHS,200, ,001," ","Frankish, Charles James;Ostry, Aleck",31,89.9,6.85,99,66,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,6,20
UBC,2002,W,IHHS,200, ,002," ","Frankish, Charles James",44,87.66,5.95,95,70,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,8,22
UBC,2002,W,IHHS,200, ,OVERALL," "," ",75,88.57,6.38,99,66,74,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,11,14,42
UBC,2002,W,IHHS,300, ,002,"Work Int Health","Seear, Michael",36,88.14,21.93,100,0,34,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,31
UBC,2002,W,IHHS,300, ,OVERALL,"Work Int Health"," ",36,88.14,21.93,100,0,34,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,31
UBC,2002,W,IHHS,301, ,002,"HLTH&TRAD PLNTS","Jovel, Eduardo",24,73.5,24.62,92,0,22,2,0,0,0,2,0,0,0,0,2,1,0,2,0,0,0,2,8,8,1
UBC,2002,W,IHHS,301, ,OVERALL,"HLTH&TRAD PLNTS"," ",24,73.5,24.62,92,0,22,2,0,0,0,2,0,0,0,0,2,1,0,2,0,0,0,2,8,8,1
UBC,2002,W,IHHS,401, ,002,"HEALTH CARE ETHC","Carpenter, Christine",30,83.62,3.03,89,78,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11,0
UBC,2002,W,IHHS,401, ,OVERALL,"HEALTH CARE ETHC"," ",30,83.62,3.03,89,78,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11,0
UBC,2002,W,IHHS,403, ,001,"INT DISC CHILD","Sullivan, T Richard",15,84.8,5.61,94,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,4
UBC,2002,W,IHHS,403, ,OVERALL,"INT DISC CHILD"," ",15,84.8,5.61,94,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,4
UBC,2002,W,IHHS,404, ,001," ","Atleo, Marlene",20,73.37,32.77,94,0,16,3,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,9,3
UBC,2002,W,IHHS,404, ,OVERALL," "," ",20,73.37,32.77,94,0,16,3,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,9,3
UBC,2002,W,IHHS,406, ,002,"AGING","O'Connor, Deborah",17,82.12,5.15,88,69,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,8,0
UBC,2002,W,IHHS,406, ,OVERALL,"AGING"," ",17,82.12,5.15,88,69,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,8,0
