Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,JRNL,503, ,OVERALL,"NEWSROOM PR&STDS"," ",30,81,5.45,90,70,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,13,7,1
UBC,2002,W,JRNL,503, ,OVERALL,"NEWSROOM PR&STDS"," ",30,81,5.45,90,70,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,13,7,1
UBC,2002,W,JRNL,503,C,004,"NEWSROOM PR&STDS","",15,76.79,4.53,83,70,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,6,0,0
UBC,2002,W,JRNL,503, ,OVERALL,"NEWSROOM PR&STDS"," ",30,81,5.45,90,70,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,13,7,1
UBC,2002,W,JRNL,503, ,OVERALL,"NEWSROOM PR&STDS"," ",30,81,5.45,90,70,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,13,7,1
UBC,2002,W,JRNL,503, ,OVERALL,"NEWSROOM PR&STDS"," ",30,81,5.45,90,70,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,13,7,1
UBC,2002,W,JRNL,503,F,006,"NEWSROOM PR&STDS","Beers, David",15,84.93,2.46,90,81,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1
UBC,2002,W,JRNL,503, ,OVERALL,"NEWSROOM PR&STDS"," ",30,81,5.45,90,70,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,13,7,1
UBC,2002,W,JRNL,505, ,OVERALL,"PRNC INVEST JRNL"," ",23,85.7,4.47,93,79,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,7,5
UBC,2002,W,JRNL,505, ,OVERALL,"PRNC INVEST JRNL"," ",23,85.7,4.47,93,79,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,7,5
UBC,2002,W,JRNL,505,C,004,"PRNC INVEST JRNL","Sullivan, Paul",23,85.7,4.47,93,79,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,7,5
UBC,2002,W,JRNL,505, ,OVERALL,"PRNC INVEST JRNL"," ",23,85.7,4.47,93,79,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,7,5
UBC,2002,W,JRNL,505, ,OVERALL,"PRNC INVEST JRNL"," ",23,85.7,4.47,93,79,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,7,5
UBC,2002,W,JRNL,520,A,001,"ISS CONTPRY JRNL","Ward, Stephen;Young, Mary-Lynn",9,81.57,3.74,85,75,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0
UBC,2002,W,JRNL,520, ,OVERALL,"ISS CONTPRY JRNL"," ",9,81.57,3.74,85,75,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0
UBC,2002,W,JRNL,520, ,OVERALL,"ISS CONTPRY JRNL"," ",9,81.57,3.74,85,75,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0
UBC,2002,W,JRNL,533, ,OVERALL,"ETHICS & THE LAW"," ",17,83.71,2.28,87,79,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,0
UBC,2002,W,JRNL,533, ,OVERALL,"ETHICS & THE LAW"," ",17,83.71,2.28,87,79,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,0
UBC,2002,W,JRNL,533, ,OVERALL,"ETHICS & THE LAW"," ",17,83.71,2.28,87,79,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,0
UBC,2002,W,JRNL,533,D,002,"ETHICS & THE LAW","Ward, Stephen",16,83.75,2.35,87,79,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,0
UBC,2002,W,JRNL,533, ,OVERALL,"ETHICS & THE LAW"," ",17,83.71,2.28,87,79,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,0
UBC,2002,W,JRNL,539,A,002,"DIRECTED STUDIES","",16,80.31,4.61,90,71,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,2,1
UBC,2002,W,JRNL,539, ,OVERALL,"DIRECTED STUDIES"," ",40,79.32,6.23,90,64,38,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,12,9,1
UBC,2002,W,JRNL,539, ,OVERALL,"DIRECTED STUDIES"," ",40,79.32,6.23,90,64,38,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,12,9,1
UBC,2002,W,JRNL,539, ,OVERALL,"DIRECTED STUDIES"," ",40,79.32,6.23,90,64,38,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,12,9,1
UBC,2002,W,JRNL,539, ,OVERALL,"DIRECTED STUDIES"," ",40,79.32,6.23,90,64,38,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,12,9,1
UBC,2002,W,JRNL,539, ,OVERALL,"DIRECTED STUDIES"," ",40,79.32,6.23,90,64,38,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,12,9,1
UBC,2002,W,JRNL,539, ,OVERALL,"DIRECTED STUDIES"," ",40,79.32,6.23,90,64,38,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,12,9,1
UBC,2002,W,JRNL,539, ,OVERALL,"DIRECTED STUDIES"," ",40,79.32,6.23,90,64,38,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,12,9,1
UBC,2002,W,JRNL,539, ,OVERALL,"DIRECTED STUDIES"," ",40,79.32,6.23,90,64,38,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,12,9,1
UBC,2002,W,JRNL,539,I,009,"DIRECTED STUDIES","",15,75.8,6.85,85,64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,3,2,0
UBC,2002,W,JRNL,539, ,OVERALL,"DIRECTED STUDIES"," ",40,79.32,6.23,90,64,38,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,12,9,1
UBC,2002,W,JRNL,539, ,OVERALL,"DIRECTED STUDIES"," ",40,79.32,6.23,90,64,38,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,12,9,1
UBC,2002,W,JRNL,539, ,OVERALL,"DIRECTED STUDIES"," ",40,79.32,6.23,90,64,38,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,12,9,1
UBC,2002,W,JRNL,549,A,001,"THESIS","",16,85.36,3.08,90,80,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2
UBC,2002,W,JRNL,549, ,OVERALL,"THESIS"," ",16,85.36,3.08,90,80,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2
