Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,KORN,102, ,001,"BASIC KOREAN","Lee, Insun",28,73.46,12.51,89,43,22,2,3,1,0,0,0,0,0,2,2,0,3,0,0,2,2,4,10,1,0
UBC,2002,W,KORN,102, ,OVERALL,"BASIC KOREAN"," ",28,73.46,12.51,89,43,22,2,3,1,0,0,0,0,0,2,2,0,3,0,0,2,2,4,10,1,0
UBC,2002,W,KORN,104, ,001,"BASIC KORN GRMMR","Kim, Soowook",8,84.33,6.56,89,73,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0
UBC,2002,W,KORN,104, ,OVERALL,"BASIC KORN GRMMR"," ",8,84.33,6.56,89,73,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0
UBC,2002,W,KORN,200, ,001,"INTERMED KOREAN","Lee, Insun",12,68.25,14.19,85,50,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,2,2,1,0
UBC,2002,W,KORN,200, ,OVERALL,"INTERMED KOREAN"," ",12,68.25,14.19,85,50,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,2,2,1,0
UBC,2002,W,KORN,300, ,001,"READ:KOREAN TOPC","Lee, Insun",10,73.75,8.19,85,60,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,1,0
UBC,2002,W,KORN,300, ,OVERALL,"READ:KOREAN TOPC"," ",10,73.75,8.19,85,60,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,1,0
UBC,2002,W,KORN,410,A,001,"MOD KORN SHRT FC","Fulton, Bruce",5,76.8,8.47,86,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
UBC,2002,W,KORN,410, ,OVERALL,"MOD KORN SHRT FC"," ",6,76.8,8.47,86,65,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
UBC,2002,W,KORN,410, ,OVERALL,"MOD KORN SHRT FC"," ",6,76.8,8.47,86,65,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
UBC,2002,W,KORN,410, ,OVERALL,"MOD KORN SHRT FC"," ",6,76.8,8.47,86,65,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
UBC,2002,W,KORN,440,B,002,"SPRV STDY KORN","Fulton, Bruce",4,77.5,3.79,80,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
UBC,2002,W,KORN,440, ,OVERALL,"SPRV STDY KORN"," ",4,77.5,3.79,80,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
UBC,2002,W,KORN,440, ,OVERALL,"SPRV STDY KORN"," ",4,77.5,3.79,80,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
