Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,S,CHIN,102, ,921,"IN BASIC CHIN I","",33,75.53,7.37,85,60,32,0,1,0,0,0,0,0,0,0,0,0,0,2,5,1,3,10,9,2,0
UBC,2003,S,CHIN,102, ,OVERALL,"IN BASIC CHIN I"," ",33,75.53,7.37,85,60,32,0,1,0,0,0,0,0,0,0,0,0,0,2,5,1,3,10,9,2,0
UBC,2003,S,CHIN,112, ,951,"IN BASIC CHIN II","",31,76.39,7.34,86,60,31,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,9,6,5,0
UBC,2003,S,CHIN,112, ,OVERALL,"IN BASIC CHIN II"," ",31,76.39,7.34,86,60,31,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,9,6,5,0
UBC,2003,S,CHIN,202, ,921,"IN INT CHINSE II","",22,76.64,6.95,90,60,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,8,4,2,1
UBC,2003,S,CHIN,202, ,OVERALL,"IN INT CHINSE II"," ",22,76.64,6.95,90,60,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,8,4,2,1
UBC,2003,S,CHIN,212, ,951,"IN INT CHIN II","",18,74.56,8.31,87,58,18,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,0
UBC,2003,S,CHIN,212, ,OVERALL,"IN INT CHIN II"," ",18,74.56,8.31,87,58,18,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,0
UBC,2003,S,CHIN,302, ,921,"INT ADV MOD CHIN","",21,77.52,4.4,84,65,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,7,0,0
UBC,2003,S,CHIN,302, ,951,"INT ADV MOD CHIN","",20,73.47,8.39,83,54,19,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,4,7,4,0,0
UBC,2003,S,CHIN,302, ,OVERALL,"INT ADV MOD CHIN"," ",41,75.6,6.83,84,54,40,0,0,1,0,0,0,0,0,0,0,1,2,0,2,0,8,16,11,0,0
UBC,2003,S,CHIN,312, ,921,"IN CH CONCOMP","",30,78.8,1.92,83,76,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0
UBC,2003,S,CHIN,312, ,OVERALL,"IN CH CONCOMP"," ",30,78.8,1.92,83,76,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0
UBC,2003,S,CHIN,322, ,951,"20th C CHIN READ","",39,75.33,6.62,86,55,39,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,9,11,1,0
UBC,2003,S,CHIN,322, ,952,"20th C CHIN READ","",34,79.41,5.22,92,70,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,14,3,8,1
UBC,2003,S,CHIN,322, ,953,"20th C CHIN READ","",37,76.92,3.68,83,66,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,11,12,0,0
UBC,2003,S,CHIN,322, ,OVERALL,"20th C CHIN READ"," ",110,77.13,5.55,92,55,110,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,28,34,26,9,1
UBC,2003,S,CHIN,332, ,921,"INT CLAS CHIN I","",30,76.69,4.13,84,70,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,9,0,0
UBC,2003,S,CHIN,332, ,OVERALL,"INT CLAS CHIN I"," ",30,76.69,4.13,84,70,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,9,0,0
UBC,2003,S,CHIN,432, ,951,"IN CLAS CH II","",35,74.66,9.13,90,50,35,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,8,7,9,2,1
UBC,2003,S,CHIN,432, ,OVERALL,"IN CLAS CH II"," ",35,74.66,9.13,90,50,35,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,8,7,9,2,1
