Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,S,CIVL,235, ,941,"PLANE SURVEYING","",92,79.49,8.06,96,59,92,0,0,0,0,0,0,0,0,0,0,0,2,1,3,12,12,12,22,19,9
UBC,2003,S,CIVL,235, ,OVERALL,"PLANE SURVEYING"," ",92,79.49,8.06,96,59,92,0,0,0,0,0,0,0,0,0,0,0,2,1,3,12,12,12,22,19,9
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596,N,94N,"PROJECT IN CIVL","",7,85.67,9.69,95,68,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,596, ,OVERALL,"PROJECT IN CIVL"," ",18,84.71,6.86,95,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,4
UBC,2003,S,CIVL,598, ,OVERALL,"TPCS IN CIVL ENG"," ",5,84,7.79,93,74,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
UBC,2003,S,CIVL,598, ,OVERALL,"TPCS IN CIVL ENG"," ",5,84,7.79,93,74,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
UBC,2003,S,CIVL,598, ,OVERALL,"TPCS IN CIVL ENG"," ",5,84,7.79,93,74,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
UBC,2003,S,CIVL,598, ,OVERALL,"TPCS IN CIVL ENG"," ",5,84,7.79,93,74,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
UBC,2003,S,CIVL,598, ,OVERALL,"TPCS IN CIVL ENG"," ",5,84,7.79,93,74,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
UBC,2003,S,CIVL,599,C,941,"MASC THESIS","",64,88.5,2.27,90,85,8,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
UBC,2003,S,CIVL,599, ,OVERALL,"MASC THESIS"," ",64,88.5,2.27,90,85,8,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
UBC,2003,S,CIVL,699, ,941,"PHD THESIS","",59,,,,,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,S,CIVL,699, ,OVERALL,"PHD THESIS"," ",59,,,,,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
