Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,ARCH,403, ,001,"THEMES IN ARCH","Macdonald, Christopher",17,77.88,8.1,90,62,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,4,2,2
UBC,2003,W,ARCH,403, ,OVERALL,"THEMES IN ARCH"," ",17,77.88,8.1,90,62,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,4,2,2
UBC,2003,W,ARCH,404, ,001,"ARCH HIST 1A","McKay, Sherry",18,70.94,14.51,86,27,16,1,0,1,0,0,0,1,0,0,1,0,2,1,1,2,3,0,5,2,0
UBC,2003,W,ARCH,404, ,OVERALL,"ARCH HIST 1A"," ",19,70.94,14.51,86,27,16,1,0,2,0,0,0,1,0,0,1,0,2,1,1,2,3,0,5,2,0
UBC,2003,W,ARCH,500, ,001,"ARCH DESIGN","",39,78.74,5.56,90,64,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,8,14,5,1
UBC,2003,W,ARCH,500, ,OVERALL,"ARCH DESIGN"," ",39,78.74,5.56,90,64,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,8,14,5,1
UBC,2003,W,ARCH,501, ,002,"ARCH DESIGN 1B","",37,79.03,6.38,90,57,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,16,6,6,2
UBC,2003,W,ARCH,501, ,OVERALL,"ARCH DESIGN 1B"," ",37,79.03,6.38,90,57,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,16,6,6,2
UBC,2003,W,ARCH,502, ,610,"INTRO WORKSHOP","Roecker, Inge",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,ARCH,502, ,OVERALL,"INTRO WORKSHOP"," ",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,ARCH,503, ,001,"Thms in Arch&Des","Macdonald, Christopher",44,79.32,5.92,92,66,34,0,1,0,9,0,0,0,0,0,0,0,0,0,1,2,6,9,8,7,1
UBC,2003,W,ARCH,503, ,OVERALL,"Thms in Arch&Des"," ",44,79.32,5.92,92,66,34,0,1,0,9,0,0,0,0,0,0,0,0,0,1,2,6,9,8,7,1
UBC,2003,W,ARCH,504, ,001,"ARCH HIST 1A","McKay, Sherry",40,77.5,7.45,90,60,30,0,1,0,9,0,0,0,0,0,0,0,0,1,1,4,6,5,8,4,1
UBC,2003,W,ARCH,504, ,OVERALL,"ARCH HIST 1A"," ",42,77.45,7.33,90,60,31,0,1,0,10,0,0,0,0,0,0,0,0,1,1,4,6,6,8,4,1
UBC,2003,W,ARCH,505, ,001,"ARCH HIST 1B","McKay, Sherry",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,ARCH,505, ,OVERALL,"ARCH HIST 1B"," ",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,ARCH,511, ,001,"ARCH TECHNOL 1","Brock, Linda Dale",40,79.37,6.55,89,66,35,0,0,1,4,0,0,0,0,0,0,0,0,0,2,2,7,4,11,9,0
UBC,2003,W,ARCH,511, ,OVERALL,"ARCH TECHNOL 1"," ",40,79.37,6.55,89,66,35,0,0,1,4,0,0,0,0,0,0,0,0,0,2,2,7,4,11,9,0
UBC,2003,W,ARCH,512, ,001,"ARCH STRUCT 1","Taylor, Stephen Ilott",45,75.83,16.58,96,28,34,6,0,0,5,0,0,1,1,4,6,0,0,0,1,2,3,3,12,7,6
UBC,2003,W,ARCH,512, ,OVERALL,"ARCH STRUCT 1"," ",45,75.83,16.58,96,28,34,6,0,0,5,0,0,1,1,4,6,0,0,0,1,2,3,3,12,7,6
UBC,2003,W,ARCH,513, ,001,"ENVIR SYS&CNTR 1","Smith, Graham",40,76.58,8.14,92,60,40,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,2,9,10,4,2
UBC,2003,W,ARCH,513, ,OVERALL,"ENVIR SYS&CNTR 1"," ",40,76.58,8.14,92,60,40,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,2,9,10,4,2
UBC,2003,W,ARCH,515, ,001,"DESIGN MEDIA 1","",40,77.67,4.32,86,68,36,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,9,11,13,1,0
UBC,2003,W,ARCH,515, ,OVERALL,"DESIGN MEDIA 1"," ",40,77.67,4.32,86,68,36,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,9,11,13,1,0
UBC,2003,W,ARCH,517, ,001,"DESIGN MEDIA 2","",38,78.84,3.88,87,71,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,16,13,2,0
UBC,2003,W,ARCH,517, ,OVERALL,"DESIGN MEDIA 2"," ",38,78.84,3.88,87,71,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,16,13,2,0
UBC,2003,W,ARCH,520, ,001,"ARCH DESIGN 2A","",32,80.9,4.09,91,74,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,10,5,2
UBC,2003,W,ARCH,520, ,OVERALL,"ARCH DESIGN 2A"," ",34,80.48,4.41,91,70,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,10,5,2
UBC,2003,W,ARCH,521, ,001,"ARCH DESIGN 2B","",15,80.53,3.68,88,77,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,0
UBC,2003,W,ARCH,521, ,002,"ARCH DESIGN 2B","",22,80.81,5.99,92,70,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,3,2
UBC,2003,W,ARCH,521, ,OVERALL,"ARCH DESIGN 2B"," ",37,80.69,5.09,92,70,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,12,6,2
UBC,2003,W,ARCH,531, ,001,"ARCH TECHNOL 2","Johnson, Gregory",34,79.27,7.41,95,60,30,0,0,0,4,0,0,0,0,0,0,0,0,1,1,3,3,7,9,4,2
UBC,2003,W,ARCH,531, ,OVERALL,"ARCH TECHNOL 2"," ",34,79.27,7.41,95,60,30,0,0,0,4,0,0,0,0,0,0,0,0,1,1,3,3,7,9,4,2
UBC,2003,W,ARCH,532, ,001,"ARCH STRUCT 2","Sundvick, Dan",35,87.88,6,97,68,33,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,12,16
