Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,CRWR,202, ,001,"CREATIVE FORMS","Parkin, Barbara",12,81.75,25.87,94,0,11,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5
UBC,2003,W,CRWR,202, ,002,"CREATIVE FORMS","VAN CAMP, RICHARD",5,90,3.81,95,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
UBC,2003,W,CRWR,202, ,901,"CREATIVE FORMS","Boga, Hiroshima",12,84.33,9.93,98,64,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,4
UBC,2003,W,CRWR,202, ,OVERALL,"CREATIVE FORMS"," ",29,84.24,17.67,98,0,28,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,2,11,12
UBC,2003,W,CRWR,301, ,001,"WRITING TECH","McWhirter, George",13,89.23,1.92,92,86,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
UBC,2003,W,CRWR,301, ,OVERALL,"WRITING TECH"," ",13,89.23,1.92,92,86,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
UBC,2003,W,CRWR,306, ,001,"INTR SCRNPLAY I","Thompson, Peggy",90,81.16,5.16,93,68,86,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,9,16,33,20,7
UBC,2003,W,CRWR,306, ,OVERALL,"INTR SCRNPLAY I"," ",90,81.16,5.16,93,68,86,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,9,16,33,20,7
UBC,2003,W,CRWR,307, ,001,"INTR SCRNPLAY II","Kinch, Martin",11,87.27,3.1,94,85,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
UBC,2003,W,CRWR,307, ,002,"INTR SCRNPLAY II","Inverarity, Geoff",12,87.75,16.76,97,35,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11
