Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,IEST,500, ,301," ","Godfrey, Sima;Unger, Frank",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,IEST,500, ,OVERALL," "," ",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,IEST,505,A,555,"EURO STUDIES","Anderson, Malcolm",16,80.75,7.38,95,71,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,2,2
UBC,2003,W,IEST,505, ,OVERALL,"EURO STUDIES"," ",26,83.24,7.58,96,71,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,6
UBC,2003,W,IEST,505,B,102,"EURO STUDIES","Unger, Frank",10,87.67,6,96,79,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
UBC,2003,W,IEST,505, ,OVERALL,"EURO STUDIES"," ",26,83.24,7.58,96,71,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,6
UBC,2003,W,IEST,521, ,101," ","PEREIRA, ALVARO",11,81.09,12.15,97,60,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,4
UBC,2003,W,IEST,521, ,OVERALL," "," ",11,81.09,12.15,97,60,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,4
UBC,2003,W,IEST,531, ,101,"EXT REL EUR UN","Biukovic, Ljiljana",10,81.25,3.85,85,75,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0
UBC,2003,W,IEST,531, ,OVERALL,"EXT REL EUR UN"," ",10,81.25,3.85,85,75,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0
UBC,2003,W,IEST,541, ,101,"pol legal fnd eu","Townsend-Gault, Ian",8,83.25,4.77,90,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1
UBC,2003,W,IEST,541, ,OVERALL,"pol legal fnd eu"," ",8,83.25,4.77,90,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1
UBC,2003,W,IEST,551,B,202,"POL& CULT IN EUR","",4,85.67,3.21,88,82,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
UBC,2003,W,IEST,551, ,OVERALL,"POL& CULT IN EUR"," ",7,86.75,3.4,90,82,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
UBC,2003,W,IEST,551,B,202,"POL& CULT IN EUR","Nelson, Robert",4,85.67,3.21,88,82,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
UBC,2003,W,IEST,551, ,OVERALL,"POL& CULT IN EUR"," ",7,86.75,3.4,90,82,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
UBC,2003,W,IEST,561, ,201," ","Torpey, John",11,81.6,4.67,87,73,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,0
UBC,2003,W,IEST,561, ,OVERALL," "," ",11,81.6,4.67,87,73,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,0
UBC,2003,W,IEST,591, ,101,"GEOG EUROPE","Kuus, Merje",8,84.13,2.03,87,81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
UBC,2003,W,IEST,591, ,OVERALL,"GEOG EUROPE"," ",8,84.13,2.03,87,81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
