Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,MINE,290, ,101,"INTRO MMP","Meech, John;Morin, Mario",23,73.74,8.43,85,55,23,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,3,4,6,1,0
UBC,2003,W,MINE,290, ,OVERALL,"INTRO MMP"," ",23,73.74,8.43,85,55,23,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,3,4,6,1,0
UBC,2003,W,MINE,293, ,001,"SEMINAR","Staff",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,MINE,293, ,OVERALL,"SEMINAR"," ",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,MINE,295, ,201,"MIN DEP MODEL","Morin, Mario",22,74.19,9.19,91,58,21,0,1,0,0,0,0,0,0,0,0,0,1,0,3,6,4,1,2,2,2
UBC,2003,W,MINE,295, ,OVERALL,"MIN DEP MODEL"," ",24,74.19,9.19,91,58,21,0,3,0,0,0,0,0,0,0,0,0,1,0,3,6,4,1,2,2,2
UBC,2003,W,MINE,302, ,101,"UNDG MIN DES","Pakalnis, Rimas C",11,63.18,11.12,83,44,10,1,0,0,0,0,0,0,0,1,1,1,3,1,2,1,0,1,1,0,0
UBC,2003,W,MINE,302, ,OVERALL,"UNDG MIN DES"," ",11,63.18,11.12,83,44,10,1,0,0,0,0,0,0,0,1,1,1,3,1,2,1,0,1,1,0,0
UBC,2003,W,MINE,303, ,201,"ROCK MECH FUN","Pakalnis, Rimas C",23,74.57,7.01,88,60,23,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,6,3,2,0
UBC,2003,W,MINE,303, ,OVERALL,"ROCK MECH FUN"," ",23,74.57,7.01,88,60,23,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,6,3,2,0
UBC,2003,W,MINE,304, ,101,"DRILL & BLAST","Forsyth, William",16,67.75,7.71,81,52,16,0,0,0,0,0,0,0,0,0,0,1,1,1,6,2,3,0,2,0,0
UBC,2003,W,MINE,304, ,OVERALL,"DRILL & BLAST"," ",16,67.75,7.71,81,52,16,0,0,0,0,0,0,0,0,0,0,1,1,1,6,2,3,0,2,0,0
UBC,2003,W,MINE,305, ,201,"GEOMECH FUN","Pakalnis, Rimas C",10,70.2,6.36,84,60,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,1,1,0,0
UBC,2003,W,MINE,305, ,OVERALL,"GEOMECH FUN"," ",10,70.2,6.36,84,60,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,1,1,0,0
UBC,2003,W,MINE,331, ,101,"UNIT OP","Klein, Bern",13,68.08,11.89,83,44,12,1,0,0,0,0,0,0,0,1,1,0,3,1,0,2,2,1,3,0,0
UBC,2003,W,MINE,331, ,OVERALL,"UNIT OP"," ",13,68.08,11.89,83,44,12,1,0,0,0,0,0,0,0,1,1,0,3,1,0,2,2,1,3,0,0
UBC,2003,W,MINE,333, ,201,"FLOTATION","Pawlik, Marek",14,77.46,11.51,93,57,13,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,2,1,3,2,2
UBC,2003,W,MINE,333, ,OVERALL,"FLOTATION"," ",14,77.46,11.51,93,57,13,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,2,1,3,2,2
UBC,2003,W,MINE,338, ,201,"PROCESS MINERLGY","Klein, Bern",15,75.93,9.33,90,62,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,3,2,2,1
UBC,2003,W,MINE,338, ,OVERALL,"PROCESS MINERLGY"," ",15,75.93,9.33,90,62,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,3,2,2,1
UBC,2003,W,MINE,391, ,201,"MIN & THE ENV","Veiga, Marcello",18,73.89,11.66,92,50,18,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,3,2,1,1,3
UBC,2003,W,MINE,391, ,OVERALL,"MIN & THE ENV"," ",18,73.89,11.66,92,50,18,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,3,2,1,1,3
UBC,2003,W,MINE,393, ,001,"SEMINAR","Staff",11,80.18,4.17,87,70,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2,0
UBC,2003,W,MINE,393, ,OVERALL,"SEMINAR"," ",12,80.58,4.21,87,70,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,3,0
UBC,2003,W,MINE,396, ,101,"ENG ECON","MacKinnon, Ronald",24,76.38,9.5,95,61,24,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,4,4,2,3
UBC,2003,W,MINE,396, ,201,"ENG ECON","Donaldson, Robert W.",19,64.89,10.18,80,42,17,1,0,0,1,0,0,0,0,1,1,2,2,1,3,5,1,2,1,0,0
UBC,2003,W,MINE,396, ,OVERALL,"ENG ECON"," ",43,71.45,11.26,95,42,41,1,0,0,1,0,0,0,0,1,1,2,2,2,6,9,4,6,5,2,3
UBC,2003,W,MINE,402, ,101,"MINE VENT","Chessor, Edward Stanley",12,72.25,8.92,87,57,12,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,4,1,1,0
UBC,2003,W,MINE,402, ,OVERALL,"MINE VENT"," ",12,72.25,8.92,87,57,12,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,4,1,1,0
UBC,2003,W,MINE,403, ,101,"ROCK MECH","Pakalnis, Rimas C",13,61.17,20.82,91,10,11,1,0,0,1,0,1,0,0,0,1,2,3,1,0,1,2,0,1,0,1
UBC,2003,W,MINE,403, ,201,"ROCK MECH","Scoble, Malcolm",8,78.75,7.44,90,70,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,1
UBC,2003,W,MINE,403, ,OVERALL,"ROCK MECH"," ",21,68.2,18.7,91,10,19,1,0,0,1,0,1,0,0,0,1,2,3,1,0,3,4,0,2,2,2
UBC,2003,W,MINE,404, ,201,"MINE MGMT","Stanley, Bill",21,88.05,5.77,97,78,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,8
UBC,2003,W,MINE,404, ,OVERALL,"MINE MGMT"," ",21,88.05,5.77,97,78,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,8
UBC,2003,W,MINE,410, ,101,"SURF MIN DES","Scoble, Malcolm",21,72.65,8.29,87,58,20,0,0,1,0,0,0,0,0,0,0,0,2,0,3,6,2,1,4,2,0
UBC,2003,W,MINE,410, ,OVERALL,"SURF MIN DES"," ",21,72.65,8.29,87,58,20,0,0,1,0,0,0,0,0,0,0,0,2,0,3,6,2,1,4,2,0
UBC,2003,W,MINE,432, ,101,"IND AUTO ROB","Meech, John",16,78.81,4.18,86,73,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,2,0
UBC,2003,W,MINE,432, ,OVERALL,"IND AUTO ROB"," ",16,78.81,4.18,86,73,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,2,0
UBC,2003,W,MINE,435, ,101,"PLA PRO DES","Klein, Bern",12,75.18,12.07,90,50,11,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,2,2,2,1
UBC,2003,W,MINE,435, ,OVERALL,"PLA PRO DES"," ",13,74.17,12.04,90,50,12,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,2,2,2,1
UBC,2003,W,MINE,462, ,101,"COAL PREP TECH","Pawlik, Marek",5,73.2,7.12,83,63,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0
UBC,2003,W,MINE,462, ,OVERALL,"COAL PREP TECH"," ",5,73.2,7.12,83,63,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0
UBC,2003,W,MINE,480, ,201,"MIN WAST MGMT","Wilson, Ward",14,74.57,7.35,86,64,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,3,2,0
UBC,2003,W,MINE,480, ,OVERALL,"MIN WAST MGMT"," ",14,74.57,7.35,86,64,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,3,2,0
UBC,2003,W,MINE,482, ,201,"MAIN ENG","Hall, Robert",36,75.91,9.71,92,52,35,0,1,0,0,0,0,0,0,0,0,2,1,0,3,2,6,10,3,7,1
UBC,2003,W,MINE,482, ,OVERALL,"MAIN ENG"," ",36,75.91,9.71,92,52,35,0,1,0,0,0,0,0,0,0,0,2,1,0,3,2,6,10,3,7,1
UBC,2003,W,MINE,491, ,001,"MIN PLANT FEAS","Staff",15,76.53,8,88,59,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3,5,2,0
UBC,2003,W,MINE,491, ,OVERALL,"MIN PLANT FEAS"," ",15,76.53,8,88,59,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3,5,2,0
UBC,2003,W,MINE,493, ,001,"SEMINAR","Staff",13,80.23,5.97,91,73,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,2
UBC,2003,W,MINE,493, ,OVERALL,"SEMINAR"," ",13,80.23,5.97,91,73,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,2
UBC,2003,W,MINE,497, ,OVERALL,"DIR STUD"," ",4,85.75,1.5,87,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2003,W,MINE,497, ,OVERALL,"DIR STUD"," ",4,85.75,1.5,87,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2003,W,MINE,497, ,OVERALL,"DIR STUD"," ",4,85.75,1.5,87,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2003,W,MINE,497, ,OVERALL,"DIR STUD"," ",4,85.75,1.5,87,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2003,W,MINE,497, ,OVERALL,"DIR STUD"," ",4,85.75,1.5,87,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2003,W,MINE,497, ,OVERALL,"DIR STUD"," ",4,85.75,1.5,87,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2003,W,MINE,572, ,OVERALL,"PRO MIN FINES"," ",5,86,5.96,94,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
UBC,2003,W,MINE,572, ,OVERALL,"PRO MIN FINES"," ",5,86,5.96,94,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
UBC,2003,W,MINE,578, ,201,"IND EXP SYS","Meech, John",5,89.2,5.26,96,83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
