Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2004,S,ECON,101, ,921,"PRNCPLS MICRECON","",279,67.21,13.08,93,0,251,15,10,0,3,3,0,3,3,6,15,17,20,28,28,67,30,22,21,14,4
UBC,2004,S,ECON,101, ,922,"PRNCPLS MICRECON","",216,66.14,16.61,99,0,191,16,8,0,1,5,0,1,2,8,16,18,25,29,16,27,19,15,19,14,9
UBC,2004,S,ECON,101, ,L2D,"PRNCPLS MICRECON","",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2004,S,ECON,101, ,OVERALL,"PRNCPLS MICRECON"," ",504,66.74,14.72,99,0,442,31,27,0,4,8,0,4,5,14,31,35,45,57,44,94,49,37,40,28,13
UBC,2004,S,ECON,102, ,921,"PRINCPL MACRECON","",113,69.33,10.99,90,31,101,3,7,0,2,0,0,0,2,1,3,7,8,11,6,27,9,10,18,4,1
UBC,2004,S,ECON,102, ,922,"PRINCPL MACRECON","",237,74,11.24,96,35,226,5,3,0,3,0,0,0,2,3,5,3,11,21,24,24,36,28,32,25,22
UBC,2004,S,ECON,102, ,L1B,"PRINCPL MACRECON","",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2004,S,ECON,102, ,OVERALL,"PRINCPL MACRECON"," ",361,72.55,11.35,96,31,327,8,21,0,5,0,0,0,4,4,8,10,19,32,30,51,45,38,50,29,23
UBC,2004,S,ECON,301, ,921,"INTRM MICRO ANLY","",70,69.59,12.22,94,45,65,4,1,0,0,0,0,0,0,4,4,2,11,4,6,12,6,6,10,5,3
UBC,2004,S,ECON,301, ,OVERALL,"INTRM MICRO ANLY"," ",70,69.59,12.22,94,45,65,4,1,0,0,0,0,0,0,4,4,2,11,4,6,12,6,6,10,5,3
UBC,2004,S,ECON,302, ,921,"INTRM MACRO ANLY","",90,70.26,11.95,96,35,86,3,1,0,0,0,0,0,1,2,3,4,7,8,13,11,12,11,10,5,5
UBC,2004,S,ECON,302, ,OVERALL,"INTRM MACRO ANLY"," ",90,70.26,11.95,96,35,86,3,1,0,0,0,0,0,1,2,3,4,7,8,13,11,12,11,10,5,5
UBC,2004,S,ECON,303, ,921,"INT MICROECON II","",68,81.48,11.15,97,30,66,1,1,0,0,0,0,0,1,0,1,0,2,1,3,2,3,7,20,15,13
UBC,2004,S,ECON,303, ,OVERALL,"INT MICROECON II"," ",68,81.48,11.15,97,30,66,1,1,0,0,0,0,0,1,0,1,0,2,1,3,2,3,7,20,15,13
UBC,2004,S,ECON,325, ,921,"EMPIRICAL ECON","",89,67.14,17.23,96,19,73,12,4,0,0,0,1,0,2,9,12,11,7,5,3,13,4,7,7,3,13
UBC,2004,S,ECON,325, ,OVERALL,"EMPIRICAL ECON"," ",92,67.14,17.23,96,19,73,12,7,0,0,0,1,0,2,9,12,11,7,5,3,13,4,7,7,3,13
UBC,2004,S,ECON,326, ,921,"MTDS EMPIRC RESR","",71,64.87,16.05,97,24,55,14,2,0,0,0,0,1,2,11,14,5,7,6,4,3,10,7,6,3,4
UBC,2004,S,ECON,326, ,OVERALL,"MTDS EMPIRC RESR"," ",72,64.87,16.05,97,24,55,14,3,0,0,0,0,1,2,11,14,5,7,6,4,3,10,7,6,3,4
UBC,2004,S,ECON,345, ,921,"MONEY & BANKING","",82,74.4,10.28,91,50,80,0,2,0,0,0,0,0,0,0,0,1,5,8,7,9,10,4,22,10,4
