Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2004,W,ECON,101, ,001,"PRNCPLS MICRECON","",234,67.12,18.64,100,0,207,21,5,0,1,7,0,0,6,8,21,21,20,24,22,19,26,15,23,14,23
UBC,2004,W,ECON,101, ,002,"PRNCPLS MICRECON","",246,67.8,11.77,94,34,221,13,6,0,6,0,0,0,2,11,13,20,27,18,23,38,35,16,30,7,7
UBC,2004,W,ECON,101, ,003,"PRNCPLS MICRECON","",256,67.44,17.88,100,0,228,25,3,0,0,2,2,5,7,9,25,27,26,22,17,25,21,26,20,16,28
UBC,2004,W,ECON,101, ,004,"PRNCPLS MICRECON","",252,68.7,11.38,94,0,234,9,6,0,3,1,0,0,2,6,9,10,25,32,20,49,34,21,25,11,7
UBC,2004,W,ECON,101, ,005,"PRNCPLS MICRECON","",260,68.51,17.25,100,0,237,22,0,0,1,2,0,2,4,14,22,29,27,22,29,17,28,19,16,15,35
UBC,2004,W,ECON,101, ,006,"PRNCPLS MICRECON","",463,67.55,11.49,95,31,411,25,21,0,6,0,0,0,7,18,25,33,45,46,36,81,69,30,47,13,11
UBC,2004,W,ECON,101, ,007,"PRNCPLS MICRECON","",229,68.88,11.85,94,30,202,12,9,0,6,0,0,0,3,9,12,12,21,21,19,42,26,19,20,15,7
UBC,2004,W,ECON,101, ,L6E,"PRNCPLS MICRECON","",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2004,W,ECON,101, ,L7D,"PRNCPLS MICRECON","",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2004,W,ECON,101, ,OVERALL,"PRNCPLS MICRECON"," ",1993,67.95,14.42,100,0,1740,127,103,0,23,12,2,7,31,75,127,152,191,185,166,271,239,146,181,91,118
UBC,2004,W,ECON,102, ,001,"PRINCPL MACRECON","",267,65.17,17.3,100,0,239,26,1,0,1,5,1,2,11,7,26,31,27,30,26,32,24,17,22,8,22
UBC,2004,W,ECON,102, ,002,"PRINCPL MACRECON","",269,66.65,12.48,97,0,247,19,2,0,1,1,0,0,5,13,19,20,27,25,28,47,39,19,31,7,4
UBC,2004,W,ECON,102, ,003,"PRINCPL MACRECON","",262,67.85,16.71,100,0,242,17,3,0,0,5,0,2,3,7,17,24,16,33,40,27,21,21,22,14,24
UBC,2004,W,ECON,102, ,004,"PRINCPL MACRECON","",260,68.25,15.47,100,0,237,20,2,0,1,2,0,1,2,15,20,28,16,32,25,24,23,25,20,26,18
UBC,2004,W,ECON,102, ,005,"PRINCPL MACRECON","",260,67.22,16.48,100,0,232,28,0,0,0,4,0,2,5,17,28,15,19,42,27,28,18,15,31,19,18
UBC,2004,W,ECON,102, ,006,"PRINCPL MACRECON","",336,67,13.71,96,0,298,23,12,0,3,3,0,3,8,9,23,17,33,36,28,57,40,32,37,13,5
UBC,2004,W,ECON,102, ,007,"PRINCPL MACRECON","",272,65.39,15.44,98,0,235,26,7,0,4,5,0,2,5,14,26,19,14,38,26,43,39,15,29,7,5
UBC,2004,W,ECON,102, ,OVERALL,"PRINCPL MACRECON"," ",1957,66.79,15.41,100,0,1730,159,58,0,10,25,1,12,39,82,159,154,152,236,200,258,204,144,192,94,96
UBC,2004,W,ECON,221, ,001,"INT STRA THINK","",102,63.94,15.63,98,0,84,13,3,1,1,1,0,0,4,8,13,12,12,10,4,16,5,6,12,3,4
UBC,2004,W,ECON,221, ,002,"INT STRA THINK","",107,78.5,11.45,99,50,101,0,6,0,0,0,0,0,0,0,0,3,3,6,5,13,7,10,24,10,20
UBC,2004,W,ECON,221, ,OVERALL,"INT STRA THINK"," ",217,71.37,15.46,99,0,185,13,17,1,1,1,0,0,4,8,13,15,15,16,9,29,12,16,36,13,24
UBC,2004,W,ECON,226, ,001,"ECON DATA","",49,72.39,11.52,92,36,47,2,0,0,0,0,0,0,1,1,2,3,0,4,4,5,5,11,9,4,2
