Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2004,W,ZOOL,500,A,001,"DST IN ZOOLOGY","",5,90.2,4.02,95,86,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
UBC,2004,W,ZOOL,500, ,OVERALL,"DST IN ZOOLOGY"," ",18,88.17,4.11,95,82,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7
UBC,2004,W,ZOOL,500,C,201,"DST IN ZOOLOGY","",7,88,4.24,93,82,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3
UBC,2004,W,ZOOL,500, ,OVERALL,"DST IN ZOOLOGY"," ",18,88.17,4.11,95,82,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7
UBC,2004,W,ZOOL,500,D,101,"DST IN ZOOLOGY","",6,86.67,3.98,92,82,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
UBC,2004,W,ZOOL,500, ,OVERALL,"DST IN ZOOLOGY"," ",18,88.17,4.11,95,82,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7
UBC,2004,W,ZOOL,502, ,001,"ECOLOGY SEMINAR","",10,89.1,4.23,95,81,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4
UBC,2004,W,ZOOL,502, ,OVERALL,"ECOLOGY SEMINAR"," ",10,89.1,4.23,95,81,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4
UBC,2004,W,ZOOL,503, ,001,"COMP ANIMAL PHYL","",9,82.78,5.95,89,71,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0
UBC,2004,W,ZOOL,503, ,OVERALL,"COMP ANIMAL PHYL"," ",9,82.78,5.95,89,71,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0
UBC,2004,W,ZOOL,549, ,OVERALL,"MASTERS THESIS"," ",66,87.7,3.68,95,83,10,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4
UBC,2004,W,ZOOL,549,B,002,"MASTERS THESIS","",51,87.6,4.88,95,83,5,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
UBC,2004,W,ZOOL,549,B,102,"MASTERS THESIS","",6,87.8,2.59,90,85,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
UBC,2004,W,ZOOL,549, ,OVERALL,"MASTERS THESIS"," ",66,87.7,3.68,95,83,10,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4
UBC,2004,W,ZOOL,549,C,003,"MASTERS THESIS","",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2004,W,ZOOL,549, ,OVERALL,"MASTERS THESIS"," ",66,87.7,3.68,95,83,10,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4
UBC,2004,W,ZOOL,553, ,001,"ENVIRON PHYS","",9,91.78,2.11,96,90,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
UBC,2004,W,ZOOL,553, ,OVERALL,"ENVIRON PHYS"," ",9,91.78,2.11,96,90,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
UBC,2004,W,ZOOL,649, ,001,"PHD THESIS","",47,,,,,0,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2004,W,ZOOL,649, ,101,"PHD THESIS","",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2004,W,ZOOL,649, ,201,"PHD THESIS","",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2004,W,ZOOL,649, ,OVERALL,"PHD THESIS"," ",62,,,,,0,0,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
