Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,S,JAPN,150, ,921,"IN BEGIN JAPN I","",18,80,12.69,91,39,14,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,4,4,2
UBC,2005,S,JAPN,150, ,OVERALL,"IN BEGIN JAPN I"," ",18,80,12.69,91,39,14,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,4,4,2
UBC,2005,S,JAPN,151, ,951,"IN BEGIN JAPN II","",25,76.13,9.58,93,60,23,0,1,1,0,0,0,0,0,0,0,0,0,2,3,1,4,4,4,2,3
UBC,2005,S,JAPN,151, ,OVERALL,"IN BEGIN JAPN II"," ",25,76.13,9.58,93,60,23,0,1,1,0,0,0,0,0,0,0,0,0,2,3,1,4,4,4,2,3
UBC,2005,S,JAPN,200, ,921,"IN JPN READ&WRI","",24,74.33,14.77,91,25,23,1,0,0,0,0,0,1,0,0,1,1,0,2,4,1,1,1,7,5,1
UBC,2005,S,JAPN,200, ,OVERALL,"IN JPN READ&WRI"," ",24,74.33,14.77,91,25,23,1,0,0,0,0,0,1,0,0,1,1,0,2,4,1,1,1,7,5,1
UBC,2005,S,JAPN,201, ,921,"INT JPN READ&WRI","",17,69,21.08,89,0,16,1,0,0,0,1,0,0,0,0,1,1,2,1,2,0,0,1,8,1,0
UBC,2005,S,JAPN,201, ,OVERALL,"INT JPN READ&WRI"," ",17,69,21.08,89,0,16,1,0,0,0,1,0,0,0,0,1,1,2,1,2,0,0,1,8,1,0
UBC,2005,S,JAPN,202, ,951,"IN JAPN CONV&COM","",17,76.63,10.02,94,56,16,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,4,3,1
UBC,2005,S,JAPN,202, ,OVERALL,"IN JAPN CONV&COM"," ",17,76.63,10.02,94,56,16,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,4,3,1
UBC,2005,S,JAPN,203, ,951,"IN JAPN CONV&COM","",15,74.2,12.79,92,46,14,1,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,4,3,2,1
UBC,2005,S,JAPN,203, ,OVERALL,"IN JAPN CONV&COM"," ",15,74.2,12.79,92,46,14,1,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,4,3,2,1
UBC,2005,S,JAPN,300, ,921,"ADV  READ&WRIT","",28,73.5,12.39,92,48,26,2,0,0,0,0,0,0,0,2,2,1,1,2,2,2,2,5,6,4,1
UBC,2005,S,JAPN,300, ,OVERALL,"ADV  READ&WRIT"," ",28,73.5,12.39,92,48,26,2,0,0,0,0,0,0,0,2,2,1,1,2,2,2,2,5,6,4,1
UBC,2005,S,JAPN,301, ,921,"ADV READ&WRIT","",25,74.46,11.03,92,48,23,1,1,0,0,0,0,0,0,1,1,1,0,0,3,4,2,5,4,2,2
UBC,2005,S,JAPN,301, ,OVERALL,"ADV READ&WRIT"," ",25,74.46,11.03,92,48,23,1,1,0,0,0,0,0,0,1,1,1,0,0,3,4,2,5,4,2,2
UBC,2005,S,JAPN,302, ,951,"ADV CONV & COMP","",25,74.48,8.32,90,58,25,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,5,4,7,0,1
UBC,2005,S,JAPN,302, ,OVERALL,"ADV CONV & COMP"," ",25,74.48,8.32,90,58,25,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,5,4,7,0,1
UBC,2005,S,JAPN,303, ,951,"ADV CONV&COMP","",23,75.57,7.18,90,59,23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,3,4,2,1
UBC,2005,S,JAPN,303, ,OVERALL,"ADV CONV&COMP"," ",23,75.57,7.18,90,59,23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,3,4,2,1
