Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,BASC,500, ,001,"INTR LGSTCS&OPRT","Puterman, Martin",27,78.12,5.93,91,62,26,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5,9,6,3,1
UBC,2005,W,BASC,500, ,303,"INTR LGSTCS&OPRT","GRAYSTONE, BRIAN",16,81.69,2.63,88,78,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,0
UBC,2005,W,BASC,500, ,OVERALL,"INTR LGSTCS&OPRT"," ",43,79.48,5.2,91,62,42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5,12,17,5,1
UBC,2005,W,BASC,504, ,001,"AIR TRNSPRT POL","Gillen, David",12,82,6.71,96,76,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,2
UBC,2005,W,BASC,504, ,OVERALL,"AIR TRNSPRT POL"," ",12,82,6.71,96,76,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,2
UBC,2005,W,BASC,510, ,001,"OPERN SUPPLY CH","Queyranne, Maurice",44,82.93,4.89,92,72,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,19,15,5
UBC,2005,W,BASC,510, ,OVERALL,"OPERN SUPPLY CH"," ",44,82.93,4.89,92,72,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,19,15,5
UBC,2005,W,BASC,511, ,001,"SUPPLY CH DESIGN","GRAYSTONE, BRIAN",13,83.23,4.09,89,74,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,0
UBC,2005,W,BASC,511, ,OVERALL,"SUPPLY CH DESIGN"," ",13,83.23,4.09,89,74,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,0
UBC,2005,W,BASC,512, ,001,"Sup Mgmt E-Bus","GRAYSTONE, BRIAN",28,85.18,4.07,92,78,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,9,5
UBC,2005,W,BASC,512, ,OVERALL,"Sup Mgmt E-Bus"," ",28,85.18,4.07,92,78,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,9,5
UBC,2005,W,BASC,514, ,001,"SUPPLY CHAIN MNG","Chow, Garland",18,82.5,4.05,92,76,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,1
UBC,2005,W,BASC,514, ,302,"SUPPLY CHAIN MNG","Chow, Garland",20,79,3.7,85,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,11,1,0
UBC,2005,W,BASC,514, ,801,"SUPPLY CHAIN MNG","Chow, Garland",25,87.12,1.59,90,84,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2
UBC,2005,W,BASC,514, ,OVERALL,"SUPPLY CHAIN MNG"," ",63,83.22,4.66,92,70,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,20,28,3
UBC,2005,W,BASC,515, ,001,"TOTAL QLTY MNGMT","Farrell, David Irwin",20,80.1,1.55,84,78,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0
UBC,2005,W,BASC,515, ,OVERALL,"TOTAL QLTY MNGMT"," ",20,80.1,1.55,84,78,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0
UBC,2005,W,BASC,520, ,001,"TPCS LOG/OP MGMT","Chow, Garland",16,78.25,2.24,82,74,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6,0,0
UBC,2005,W,BASC,520, ,OVERALL,"TPCS LOG/OP MGMT"," ",16,78.25,2.24,82,74,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6,0,0
UBC,2005,W,BASC,580, ,001,"CURR ISS LOG MGM","Chen, Hong",6,83.17,2.93,87,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
UBC,2005,W,BASC,580, ,OVERALL,"CURR ISS LOG MGM"," ",6,83.17,2.93,87,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
