Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,EADM,501, ,021,"RSRCH&RSRCH TRAD","Gill, Hartej",12,89.42,1.56,92,88,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
UBC,2005,W,EADM,501, ,61A,"RSRCH&RSRCH TRAD","Brown, Daniel J",23,86,1.28,89,83,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0
UBC,2005,W,EADM,501, ,61B,"RSRCH&RSRCH TRAD","Mazawi, Andre",22,87.77,4.67,92,77,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,9
UBC,2005,W,EADM,501, ,OVERALL,"RSRCH&RSRCH TRAD"," ",57,87.4,3.32,92,77,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,38,14
UBC,2005,W,EADM,508,A,022,"REV RES MTH EADM","BROWN, LEE",6,85.17,14.99,96,55,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
UBC,2005,W,EADM,508, ,OVERALL,"REV RES MTH EADM"," ",6,85.17,14.99,96,55,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
UBC,2005,W,EADM,508, ,OVERALL,"REV RES MTH EADM"," ",6,85.17,14.99,96,55,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
UBC,2005,W,EADM,531, ,021,"POLITIC EDUGOV","Webb, Philip",6,83.33,1.75,86,81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
UBC,2005,W,EADM,531, ,OVERALL,"POLITIC EDUGOV"," ",6,83.33,1.75,86,81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
UBC,2005,W,EADM,532, ,021,"LDRSHP ED ORG","Webb, Philip",21,86.14,0.91,88,84,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0
UBC,2005,W,EADM,532, ,OVERALL,"LDRSHP ED ORG"," ",21,86.14,0.91,88,84,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0
UBC,2005,W,EADM,553,A,021,"SEM-GRP INQ EADM","Gill, Hartej",9,91.44,3.09,95,88,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
UBC,2005,W,EADM,553,A,022,"SEM-GRP INQ EADM","Dillabough, Jo-Anne",9,89.78,2.28,92,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
UBC,2005,W,EADM,553,A,023,"SEM-GRP INQ EADM","Brown, Daniel J",9,88.44,2.01,93,86,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
UBC,2005,W,EADM,553,A,62A,"SEM-GRP INQ EADM","Brown, Daniel J",23,88.78,1.44,91,87,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9
UBC,2005,W,EADM,553,A,62B,"SEM-GRP INQ EADM","Stack, Michelle",22,87.77,4.67,92,77,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,9
UBC,2005,W,EADM,553, ,OVERALL,"SEM-GRP INQ EADM"," ",72,88.89,3.25,95,77,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37,32
UBC,2005,W,EADM,565,A,022,"SP CRS SBJCT FLD","Vokey, Daniel",17,88.29,1.61,90,86,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
UBC,2005,W,EADM,565, ,OVERALL,"SP CRS SBJCT FLD"," ",24,87.46,2.19,90,82,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,7
UBC,2005,W,EADM,565,B,021,"SP CRS SBJCT FLD","Webb, Philip",7,85.43,2.15,88,82,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
UBC,2005,W,EADM,565, ,OVERALL,"SP CRS SBJCT FLD"," ",24,87.46,2.19,90,82,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,7
UBC,2005,W,EADM,581, ,022," ","Coulter, David",20,86.8,2.33,90,81,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,4
UBC,2005,W,EADM,581, ,OVERALL," "," ",20,86.8,2.33,90,81,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,4
UBC,2005,W,EADM,590, ,OVERALL,"GRADUATING PAPER"," ",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
