Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,ENDS,211, ,001,"INTRO ENV DES","TBA",24,79.48,17.65,95,7,22,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,2,3,7,1,7
UBC,2005,W,ENDS,211, ,OVERALL,"INTRO ENV DES"," ",24,79.48,17.65,95,7,22,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,2,3,7,1,7
UBC,2005,W,ENDS,301, ,001,"ENVR DES 1","Girling, Cynthia",16,81.38,3.67,89,76,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0
UBC,2005,W,ENDS,301,A,001,"ENVR DES 1","Girling, Cynthia",25,80.32,5.46,90,67,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,9,5,1
UBC,2005,W,ENDS,301, ,OVERALL,"ENVR DES 1"," ",41,80.73,4.82,90,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,17,9,1
UBC,2005,W,ENDS,301,A,001,"ENVR DES 1","",25,80.32,5.46,90,67,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,9,5,1
UBC,2005,W,ENDS,301, ,OVERALL,"ENVR DES 1"," ",41,80.73,4.82,90,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,17,9,1
UBC,2005,W,ENDS,301, ,OVERALL,"ENVR DES 1"," ",41,80.73,4.82,90,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,17,9,1
UBC,2005,W,ENDS,302, ,001,"ENVR DES 2","Pechet, Bill",16,83.69,3.65,92,78,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,1
UBC,2005,W,ENDS,302,A,002,"ENVR DES 2","",25,81.2,5.03,88,65,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,12,6,0
UBC,2005,W,ENDS,302, ,OVERALL,"ENVR DES 2"," ",41,82.17,4.66,92,65,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,20,11,1
UBC,2005,W,ENDS,302,A,002,"ENVR DES 2","",25,81.2,5.03,88,65,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,12,6,0
UBC,2005,W,ENDS,302, ,OVERALL,"ENVR DES 2"," ",41,82.17,4.66,92,65,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,20,11,1
UBC,2005,W,ENDS,302, ,OVERALL,"ENVR DES 2"," ",41,82.17,4.66,92,65,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,20,11,1
UBC,2005,W,ENDS,320, ,001,"DSG, MED&REP","Bass, John",17,81.65,3.89,88,78,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0
UBC,2005,W,ENDS,320, ,OVERALL,"DSG, MED&REP"," ",17,81.65,3.89,88,78,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0
UBC,2005,W,ENDS,401,C,001,"ENV DES 3","Kellett, Ronald",14,80.86,8.24,91,67,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,3
UBC,2005,W,ENDS,401, ,OVERALL,"ENV DES 3"," ",16,81.75,8.12,91,67,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4
UBC,2005,W,ENDS,401,C,001,"ENV DES 3","",14,80.86,8.24,91,67,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,3
UBC,2005,W,ENDS,401, ,OVERALL,"ENV DES 3"," ",16,81.75,8.12,91,67,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4
UBC,2005,W,ENDS,402,C,002,"ARCH DES FOUND","",13,79.85,5.68,90,72,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,3,1
UBC,2005,W,ENDS,402, ,OVERALL,"ARCH DES FOUND"," ",14,79.71,5.48,90,72,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,3,1
UBC,2005,W,ENDS,402,C,002,"ARCH DES FOUND","",13,79.85,5.68,90,72,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,3,1
UBC,2005,W,ENDS,402, ,OVERALL,"ARCH DES FOUND"," ",14,79.71,5.48,90,72,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,3,1
UBC,2005,W,ENDS,410, ,001,"URBAN FORM","TBA",16,77.38,6.54,91,65,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,3,1,1
UBC,2005,W,ENDS,410, ,OVERALL,"URBAN FORM"," ",16,77.38,6.54,91,65,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,3,1,1
UBC,2005,W,ENDS,420, ,001,"TECHNOL&TECHN","TBA",17,92.06,7.01,100,72,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,12
UBC,2005,W,ENDS,420, ,OVERALL,"TECHNOL&TECHN"," ",17,92.06,7.01,100,72,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,12
UBC,2005,W,ENDS,440, ,001,"ECOL& URBN DES","Kellett, Ronald",29,75.48,8.22,88,60,29,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,5,7,6,4,0
UBC,2005,W,ENDS,440, ,OVERALL,"ECOL& URBN DES"," ",29,75.48,8.22,88,60,29,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,5,7,6,4,0
