Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,ETEC,500, ,65A,"RES METH EDUC","Falk, Clifford",17,85.38,3.38,89,79,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,0
UBC,2005,W,ETEC,500, ,65B,"RES METH EDUC","Falk, Clifford",18,85.81,3.04,91,82,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2
UBC,2005,W,ETEC,500, ,65C,"RES METH EDUC","Munteanu, Mircea",16,89.81,3.67,94,81,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11
UBC,2005,W,ETEC,500, ,OVERALL,"RES METH EDUC"," ",51,87,3.87,94,79,48,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,22,13
UBC,2005,W,ETEC,510, ,65A,"DES TECH","Kennedy, Mary",16,83,22.56,95,0,15,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,7,6
UBC,2005,W,ETEC,510, ,65B,"DES TECH","Miller, Jeffrey D",18,90.5,2.09,94,87,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14
UBC,2005,W,ETEC,510, ,OVERALL,"DES TECH"," ",34,86.97,15.75,95,0,33,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,11,20
UBC,2005,W,ETEC,511, ,64A,"FOUND ED TECH","Boshier, Roger W",19,87.21,4.65,96,80,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6
UBC,2005,W,ETEC,511, ,64B,"FOUND ED TECH","Bullen, Mark",17,86.24,4.38,93,75,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,4
UBC,2005,W,ETEC,511, ,OVERALL,"FOUND ED TECH"," ",36,86.75,4.49,96,75,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,17,10
UBC,2005,W,ETEC,512, ,64A,"APPL LEAR THEOR","Falk, Clifford",21,85.2,5.93,92,69,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,8,4
UBC,2005,W,ETEC,512, ,64B,"APPL LEAR THEOR","Falk, Clifford",17,84.31,5.96,91,71,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,8,2
UBC,2005,W,ETEC,512, ,64C,"APPL LEAR THEOR","Fatemi, Sayyed Mohsen",15,89.73,2.43,94,85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9
UBC,2005,W,ETEC,512, ,OVERALL,"APPL LEAR THEOR"," ",53,86.25,5.57,94,69,51,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,9,22,15
UBC,2005,W,ETEC,521, ,64A,"INDIG, TECH&ED","Marker, Michael",22,87.65,13.68,97,40,19,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3,14
UBC,2005,W,ETEC,521, ,OVERALL,"INDIG, TECH&ED"," ",22,87.65,13.68,97,40,19,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3,14
UBC,2005,W,ETEC,522, ,64A,"BUS E-LEARN","Vogt, David",16,81.13,10.14,88,46,15,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,8,6,0
UBC,2005,W,ETEC,522, ,64B,"BUS E-LEARN","Stewart, Bruce",16,83.63,3.42,91,79,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,2
UBC,2005,W,ETEC,522, ,OVERALL,"BUS E-LEARN"," ",32,82.38,7.55,91,46,31,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,18,9,2
UBC,2005,W,ETEC,530, ,65A,"CONSTR STRAT","Nashon, Samson",16,85.19,20.54,96,9,15,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,8
UBC,2005,W,ETEC,530, ,65B,"CONSTR STRAT","Janes, Diane",15,88.07,1.91,92,87,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
UBC,2005,W,ETEC,530, ,65C,"CONSTR STRAT","Feng, Francis",14,83.21,10.61,98,64,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,5,4
UBC,2005,W,ETEC,530, ,OVERALL,"CONSTR STRAT"," ",45,85.53,13.5,98,9,44,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,1,23,16
