Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,HUNU,500, ,001,"RES MTHDS HUNU","Chapman, Gwenneth",6,79.17,4.75,85,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0
UBC,2005,W,HUNU,500, ,OVERALL,"RES MTHDS HUNU"," ",6,79.17,4.75,85,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0
UBC,2005,W,HUNU,505, ,001,"CUR ISS NTR&DIS","Keiver, Kathy",8,83.14,2.85,88,79,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0
UBC,2005,W,HUNU,505, ,OVERALL,"CUR ISS NTR&DIS"," ",8,83.14,2.85,88,79,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0
UBC,2005,W,HUNU,507, ,001,"CUR ISS NTR LFSP","Barr, Susan Irene",7,81.43,3.26,86,77,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0
UBC,2005,W,HUNU,507, ,OVERALL,"CUR ISS NTR LFSP"," ",7,81.43,3.26,86,77,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0
UBC,2005,W,HUNU,531, ,001,"NUTRITION SEMNR","Barr, Susan Irene",16,,,,,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,HUNU,531, ,101,"NUTRITION SEMNR","Barr, Susan Irene;Levy Milne, Ryna",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,HUNU,531, ,OVERALL,"NUTRITION SEMNR"," ",20,,,,,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,HUNU,549,B,101,"MASTERS THESIS","",13,,,,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,HUNU,549, ,OVERALL,"MASTERS THESIS"," ",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,HUNU,649, ,001,"PH D THESIS","",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,HUNU,649, ,OVERALL,"PH D THESIS"," ",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
