Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,IAR ,500, ,001," ","",13,83.85,2.03,88,81,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0
UBC,2005,W,IAR ,500, ,OVERALL," "," ",14,83.79,1.97,88,81,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0
UBC,2005,W,IAR ,506, ,001,"GLOBAL ASIA PAC","",10,83.6,3.5,89,76,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0
UBC,2005,W,IAR ,506, ,OVERALL,"GLOBAL ASIA PAC"," ",10,83.6,3.5,89,76,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0
UBC,2005,W,IAR ,507, ,001,"EAST ASIAN ORG","",7,84.29,5.12,90,77,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
UBC,2005,W,IAR ,507, ,OVERALL,"EAST ASIAN ORG"," ",7,84.29,5.12,90,77,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
UBC,2005,W,IAR ,511, ,001,"C-N COMP SOC SCI","",8,86.63,2.33,89,83,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0
UBC,2005,W,IAR ,511, ,OVERALL,"C-N COMP SOC SCI"," ",8,86.63,2.33,89,83,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515,I,00I,"TPCS ASPCF POLI","",5,86.2,1.3,88,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515,L,00L,"TPCS ASPCF POLI","",8,80.13,3.4,85,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515,M,00M,"TPCS ASPCF POLI","",5,86,2.24,90,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515,V,00V,"TPCS ASPCF POLI","",5,68,38.34,90,0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
UBC,2005,W,IAR ,515,Z,00Z,"TPCS ASPCF POLI","",5,82.6,3.21,86,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0
UBC,2005,W,IAR ,515, ,OVERALL,"TPCS ASPCF POLI"," ",36,82.25,14.72,94,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,8,17,6
