Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,MTRL,250, ,101,"MET THERMODYN I","Dixon, David",35,64.43,8.5,83,43,33,2,0,0,0,0,0,0,0,2,2,2,2,9,11,4,2,0,3,0,0
UBC,2005,W,MTRL,250, ,OVERALL,"MET THERMODYN I"," ",35,64.43,8.5,83,43,33,2,0,0,0,0,0,0,0,2,2,2,2,9,11,4,2,0,3,0,0
UBC,2005,W,MTRL,252, ,201,"PYROMETALLURGY I","Barr, Peter",31,76.6,7.25,97,62,30,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,8,9,6,2,1
UBC,2005,W,MTRL,252, ,OVERALL,"PYROMETALLURGY I"," ",31,76.6,7.25,97,62,30,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,8,9,6,2,1
UBC,2005,W,MTRL,263, ,201,"TRANSPORT PHEN I","Alfantazi, Akram",31,70.29,10.56,85,40,30,1,0,0,0,0,0,0,0,1,1,1,1,6,3,1,5,7,5,1,0
UBC,2005,W,MTRL,263, ,OVERALL,"TRANSPORT PHEN I"," ",31,70.29,10.56,85,40,30,1,0,0,0,0,0,0,0,1,1,1,1,6,3,1,5,7,5,1,0
UBC,2005,W,MTRL,280, ,201,"MATLS IN DESIGN","Sinclair, Chadwick",55,64.33,9.42,82,35,52,3,0,0,0,0,0,0,2,1,3,3,6,9,13,8,10,1,2,0,0
UBC,2005,W,MTRL,280, ,OVERALL,"MATLS IN DESIGN"," ",55,64.33,9.42,82,35,52,3,0,0,0,0,0,0,2,1,3,3,6,9,13,8,10,1,2,0,0
UBC,2005,W,MTRL,350, ,101,"MET THERMODYN II","Cockcroft, Steven",38,65.55,16.4,93,13,33,5,0,0,0,0,1,1,0,3,5,1,4,2,5,7,4,4,4,1,1
UBC,2005,W,MTRL,350, ,OVERALL,"MET THERMODYN II"," ",38,65.55,16.4,93,13,33,5,0,0,0,0,1,1,0,3,5,1,4,2,5,7,4,4,4,1,1
UBC,2005,W,MTRL,358, ,101,"HYDROMETALRGY I","Wassink, Berend",53,72,13.21,92,17,50,3,0,0,0,0,1,0,1,1,3,1,3,2,8,6,6,8,8,7,1
UBC,2005,W,MTRL,358, ,OVERALL,"HYDROMETALRGY I"," ",53,72,13.21,92,17,50,3,0,0,0,0,1,0,1,1,3,1,3,2,8,6,6,8,8,7,1
UBC,2005,W,MTRL,359, ,1L1,"HYDROMTL I LAB","Wassink, Berend",40,86.65,7.24,95,54,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,7,14,16
UBC,2005,W,MTRL,359, ,1L2,"HYDROMTL I LAB","Wassink, Berend",6,75.67,33.22,93,8,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1
UBC,2005,W,MTRL,359, ,OVERALL,"HYDROMTL I LAB"," ",46,85.22,13.5,95,8,45,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,7,18,17
UBC,2005,W,MTRL,361, ,101,"MODLG MATLS PROC","Barr, Peter",43,83.95,5.28,95,66,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,25,9,6
UBC,2005,W,MTRL,361, ,OVERALL,"MODLG MATLS PROC"," ",43,83.95,5.28,95,66,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,25,9,6
UBC,2005,W,MTRL,363, ,101,"TRANS PHEN II","Barr, Peter",44,74.02,10.18,95,31,42,1,1,0,0,0,0,0,1,0,1,0,1,0,4,10,8,8,6,4,1
UBC,2005,W,MTRL,363, ,OVERALL,"TRANS PHEN II"," ",45,74.02,10.18,95,31,42,1,2,0,0,0,0,0,1,0,1,0,1,0,4,10,8,8,6,4,1
UBC,2005,W,MTRL,365, ,201,"MECH BEH MATLS","RAEISINIA, BABAK",50,66.71,17.16,94,28,43,6,0,1,0,0,0,1,4,1,6,5,4,5,4,3,6,1,8,2,5
